run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260624_214843,vee_50_side_lv2_new_001,vee,side wind,Level2,50,drone_1,192.168.0.102,B11,1,vee_1,1,0,0,node_logging,2026-06-24T21:50:36.788,113.046,0.0,0.0,2,-11,-33,91,-11.0,17.0,91,0.0,250.0,80,6,250,10,11.0,233.0,-11,233.519,10.929,29.26,72,72,,0,0,1,0,0,0,5.0,-10.0,-972.0,62,64,83,80,-112.84,87
20260624_214843,vee_50_side_lv2_new_001,vee,side wind,Level2,50,drone_2,192.168.0.109,B10,2,vee_2,6,1,0,node_segment_1_of_5,2026-06-24T21:50:36.788,113.046,0.0,0.0,6,-4,-7,80,31.355339059327378,28.355339059327378,80,35.35533905932738,285.3553390593274,80,3,250,10,4.0,257.0,0,257.031,10.929,29.26,74,74,,3,0,0,0,0,0,9.0,-13.0,-1006.0,62,65,81,70,-112.02,131
20260624_214843,vee_50_side_lv2_new_001,vee,side wind,Level2,50,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-06-24T21:50:36.788,113.046,0.0,0.0,3,-1,-7,84,69.71067811865476,63.710678118654755,84,70.71067811865476,320.71067811865476,80,8,250,10,1.0,257.0,-4,257.033,10.929,29.26,70,70,,8,0,0,0,0,0,3.0,-12.0,-1047.0,64,65,82,70,-112.07,61
20260624_214843,vee_50_side_lv2_new_001,vee,side wind,Level2,50,drone_4,192.168.0.106,B14,4,vee_4,8,3,0,node_segment_1_of_5,2026-06-24T21:50:36.788,113.046,0.0,0.0,8,2,-9,85,108.06601717798213,26.355339059327378,85,106.06601717798213,285.3553390593274,80,5,250,10,-2.0,259.0,-5,259.056,10.929,29.26,73,73,,18,1,0,0,0,0,15.0,-14.0,-999.0,57,60,84,70,-111.63,59
20260624_214843,vee_50_side_lv2_new_001,vee,side wind,Level2,50,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-24T21:50:36.788,113.046,0.0,0.0,5,-16,15,78,125.42135623730951,15.0,78,141.4213562373095,250.0,80,2,250,10,16.0,235.0,2,235.553,10.929,29.26,70,70,,5,1,1,0,0,0,49.0,-21.0,-1055.0,61,64,75,60,-112.97,115
20260624_214843,vee_50_side_lv2_new_001,vee,side wind,Level2,50,drone_1,192.168.0.102,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-06-24T21:50:36.898,113.156,0.111,0.111,2,-11,-33,91,-11.0,17.0,91,0.0,250.0,80,6,250,10,11.0,233.0,-11,233.519,10.929,29.26,72,72,,0,0,1,0,0,0,1.0,-20.0,-987.0,62,64,83,80,-112.89,88
20260624_214843,vee_50_side_lv2_new_001,vee,side wind,Level2,50,drone_2,192.168.0.109,B10,2,vee_2,6,1,0,node_segment_1_of_5,2026-06-24T21:50:36.898,113.156,0.111,0.111,6,-4,-7,80,31.355339059327378,28.355339059327378,80,35.35533905932738,285.3553390593274,80,3,250,10,4.0,257.0,0,257.031,10.929,29.26,74,74,,3,0,0,0,0,0,21.0,-32.0,-1014.0,62,65,81,70,-111.96,131
20260624_214843,vee_50_side_lv2_new_001,vee,side wind,Level2,50,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-06-24T21:50:36.898,113.156,0.111,0.111,3,-1,-7,84,69.71067811865476,63.710678118654755,84,70.71067811865476,320.71067811865476,80,8,250,10,1.0,257.0,-4,257.033,10.929,29.26,70,70,,8,0,0,0,0,0,10.0,20.0,-990.0,64,65,82,70,-112.1,61
20260624_214843,vee_50_side_lv2_new_001,vee,side wind,Level2,50,drone_4,192.168.0.106,B14,4,vee_4,8,3,0,node_segment_1_of_5,2026-06-24T21:50:36.898,113.156,0.111,0.111,8,2,-9,85,108.06601717798213,26.355339059327378,85,106.06601717798213,285.3553390593274,80,5,250,10,-2.0,259.0,-5,259.056,10.929,29.26,73,73,,18,1,0,0,0,0,19.0,4.0,-998.0,57,60,84,70,-111.64,59
20260624_214843,vee_50_side_lv2_new_001,vee,side wind,Level2,50,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-24T21:50:36.898,113.156,0.111,0.111,5,-16,15,78,125.42135623730951,15.0,78,141.4213562373095,250.0,80,2,250,10,16.0,235.0,2,235.553,10.929,29.26,70,70,,5,1,1,0,0,0,-35.0,-12.0,-954.0,61,64,75,60,-112.96,115
20260624_214843,vee_50_side_lv2_new_001,vee,side wind,Level2,50,drone_1,192.168.0.102,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-06-24T21:50:37.004,113.262,0.217,0.217,2,-11,-33,91,-11.0,17.0,91,0.0,250.0,80,6,250,10,11.0,233.0,-11,233.519,10.939,29.26,72,72,,0,0,1,0,0,0,-30.0,38.0,-988.0,62,64,82,80,-112.9,88
20260624_214843,vee_50_side_lv2_new_001,vee,side wind,Level2,50,drone_2,192.168.0.109,B10,2,vee_2,6,1,0,node_segment_1_of_5,2026-06-24T21:50:37.004,113.262,0.217,0.217,6,-4,-7,80,31.355339059327378,28.355339059327378,80,35.35533905932738,285.3553390593274,80,3,250,10,4.0,257.0,0,257.031,10.939,29.26,74,74,,2,0,0,0,0,0,-1.0,-7.0,-1006.0,62,65,82,70,-112.04,131
20260624_214843,vee_50_side_lv2_new_001,vee,side wind,Level2,50,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-06-24T21:50:37.004,113.262,0.217,0.217,3,-2,-7,84,68.71067811865476,63.710678118654755,84,70.71067811865476,320.71067811865476,80,8,250,10,2.0,257.0,-4,257.039,10.939,29.26,70,70,,8,0,0,0,0,0,15.0,3.0,-993.0,64,65,82,70,-112.01,61
20260624_214843,vee_50_side_lv2_new_001,vee,side wind,Level2,50,drone_4,192.168.0.106,B14,4,vee_4,8,3,0,node_segment_1_of_5,2026-06-24T21:50:37.004,113.262,0.217,0.217,8,2,-9,85,108.06601717798213,26.355339059327378,85,106.06601717798213,285.3553390593274,80,5,250,10,-2.0,259.0,-5,259.056,10.939,29.26,73,73,,18,0,0,0,0,0,12.0,-30.0,-977.0,57,60,84,70,-111.66,59
20260624_214843,vee_50_side_lv2_new_001,vee,side wind,Level2,50,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-24T21:50:37.004,113.262,0.217,0.217,5,-16,15,78,125.42135623730951,15.0,78,141.4213562373095,250.0,80,2,250,10,16.0,235.0,2,235.553,10.939,29.26,70,70,,5,1,1,0,0,0,26.0,4.0,-986.0,61,64,75,60,-112.93,115
20260624_214843,vee_50_side_lv2_new_001,vee,side wind,Level2,50,drone_1,192.168.0.102,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-06-24T21:50:37.111,113.368,0.323,0.323,2,-11,-33,91,-11.0,17.0,91,0.0,250.0,80,6,250,10,11.0,233.0,-11,233.519,10.342,28.049,72,72,,0,0,0,0,0,0,-10.0,-51.0,-1013.0,62,64,81,80,-112.93,88
20260624_214843,vee_50_side_lv2_new_001,vee,side wind,Level2,50,drone_2,192.168.0.109,B10,2,vee_2,6,1,0,node_segment_1_of_5,2026-06-24T21:50:37.111,113.368,0.323,0.323,6,-4,-7,80,31.355339059327378,28.355339059327378,80,35.35533905932738,285.3553390593274,80,3,250,10,4.0,257.0,0,257.031,10.342,28.049,74,74,,2,0,0,0,0,0,31.0,-10.0,-999.0,62,65,83,70,-112.04,131
20260624_214843,vee_50_side_lv2_new_001,vee,side wind,Level2,50,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-06-24T21:50:37.111,113.368,0.323,0.323,3,-2,-7,84,68.71067811865476,63.710678118654755,84,70.71067811865476,320.71067811865476,80,8,250,10,2.0,257.0,-4,257.039,10.342,28.049,70,70,,8,1,0,0,0,0,14.0,27.0,-1003.0,64,65,82,70,-112.02,61
