run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260528_141223,vee_50_tail_lv1_new_003,vee,tail wind,Level1,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-28T14:12:39.029,15.618,0.0,0.0,1,-2,8,87,139.4213562373095,8.0,87,141.4213562373095,250.0,80,8,250,10,2.0,242.0,-7,242.109,8.827,21.049,48,48,,-32,3,0,0,0,0,50.0,22.0,-978.0,63,66,85,70,74.62,306
20260528_141223,vee_50_tail_lv1_new_003,vee,tail wind,Level1,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-28T14:12:39.137,15.726,0.108,0.108,1,-2,8,87,139.4213562373095,8.0,87,141.4213562373095,250.0,80,8,250,10,2.0,242.0,-7,242.109,8.827,21.049,48,48,,-32,3,-1,0,0,0,44.0,8.0,-986.0,63,66,84,70,74.62,307
20260528_141223,vee_50_tail_lv1_new_003,vee,tail wind,Level1,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-28T14:12:39.245,15.833,0.215,0.215,1,-2,8,87,139.4213562373095,8.0,87,141.4213562373095,250.0,80,8,250,10,2.0,242.0,-7,242.109,8.827,21.049,48,48,,-32,4,-2,0,0,0,53.0,26.0,-984.0,63,66,84,70,74.67,307
20260528_141223,vee_50_tail_lv1_new_003,vee,tail wind,Level1,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-28T14:12:39.350,15.938,0.32,0.32,1,-2,8,87,139.4213562373095,8.0,87,141.4213562373095,250.0,80,8,250,10,2.0,242.0,-7,242.109,8.108,17.848,48,48,,-32,0,-2,0,0,0,85.0,25.0,-1006.0,63,66,84,70,74.66,307
20260528_141223,vee_50_tail_lv1_new_003,vee,tail wind,Level1,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-28T14:12:39.458,16.046,0.428,0.428,1,-2,9,87,139.4213562373095,9.0,87,141.4213562373095,250.0,80,8,250,10,2.0,241.0,-7,241.11,4.76,15.003,48,48,,-32,0,0,0,0,0,83.0,38.0,-972.0,63,66,84,70,74.68,307
20260528_141223,vee_50_tail_lv1_new_003,vee,tail wind,Level1,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-28T14:12:39.566,16.155,0.537,0.537,1,-2,9,87,139.4213562373095,9.0,87,141.4213562373095,250.0,80,8,250,10,2.0,241.0,-7,241.11,7.461,15.003,48,48,,-32,1,0,-1,0,0,43.0,31.0,-966.0,63,66,84,70,74.64,307
20260528_141223,vee_50_tail_lv1_new_003,vee,tail wind,Level1,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-28T14:12:39.674,16.263,0.645,0.645,1,-2,9,87,139.4213562373095,9.0,87,141.4213562373095,250.0,80,8,250,10,2.0,241.0,-7,241.11,7.461,15.003,48,48,,-32,2,-1,-1,0,0,72.0,48.0,-1011.0,63,66,83,70,74.82,307
20260528_141223,vee_50_tail_lv1_new_003,vee,tail wind,Level1,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-28T14:12:39.782,16.371,0.753,0.753,1,-2,9,87,139.4213562373095,9.0,87,141.4213562373095,250.0,80,8,250,10,2.0,241.0,-7,241.11,7.73,16.079,48,48,,-32,3,-3,-1,0,0,45.0,21.0,-1006.0,63,66,83,70,75.06,307
20260528_141223,vee_50_tail_lv1_new_003,vee,tail wind,Level1,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-28T14:12:39.889,16.478,0.86,0.86,1,2,9,86,143.4213562373095,9.0,86,141.4213562373095,250.0,80,8,250,10,-2.0,241.0,-6,241.083,8.852,20.077,48,48,,-32,3,-2,-1,0,0,43.0,-4.0,-979.0,63,66,83,70,74.83,307
20260528_141223,vee_50_tail_lv1_new_003,vee,tail wind,Level1,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-28T14:12:39.995,16.584,0.966,0.966,1,2,9,86,143.4213562373095,9.0,86,141.4213562373095,250.0,80,8,250,10,-2.0,241.0,-6,241.083,8.793,20.077,48,48,,-32,3,-1,-1,0,0,75.0,41.0,-986.0,63,65,83,70,74.97,307
