run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260529_133327,vee_50_tail_lv2_new_005,vee,tail wind,Level2,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_logging,2026-05-29T13:35:50.903,143.654,0.0,0.0,2,8,-16,88,8.0,34.0,88,0.0,250.0,80,6,250,10,-8.0,216.0,-8,216.296,14.699,32.72,75,75,,15,5,0,0,0,0,48.0,84.0,-960.0,64,67,85,70,119.72,108
20260529_133327,vee_50_tail_lv2_new_005,vee,tail wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-29T13:35:50.903,143.654,0.0,0.0,5,0,-4,81,35.35533905932738,31.355339059327378,81,35.35533905932738,285.3553390593274,80,2,250,10,0.0,254.0,-1,254.002,14.699,32.72,74,74,,24,2,0,0,0,0,52.0,-20.0,-985.0,64,67,83,70,120.57,112
20260529_133327,vee_50_tail_lv2_new_005,vee,tail wind,Level2,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-29T13:35:50.903,143.654,0.0,0.0,3,-3,-3,79,67.71067811865476,67.71067811865476,79,70.71067811865476,320.71067811865476,80,8,250,10,3.0,253.0,1,253.02,14.699,32.72,71,71,,43,4,1,0,0,0,23.0,12.0,-995.0,62,64,79,40,120.22,56
20260529_133327,vee_50_tail_lv2_new_005,vee,tail wind,Level2,drone_4,192.168.0.106,B14,4,vee_4,5,3,0,node_segment_1_of_5,2026-05-29T13:35:50.903,143.654,0.0,0.0,5,-19,-3,83,87.06601717798213,32.35533905932738,83,106.06601717798213,285.3553390593274,80,2,250,10,19.0,253.0,-3,253.73,14.699,32.72,73,73,,-11,3,-1,0,0,0,46.0,-30.0,-985.0,59,62,83,70,120.76,72
20260529_133327,vee_50_tail_lv2_new_005,vee,tail wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-29T13:35:50.903,143.654,0.0,0.0,1,-6,2,86,135.4213562373095,2.0,86,141.4213562373095,250.0,80,8,250,10,6.0,248.0,-6,248.145,14.699,32.72,71,71,,0,3,1,0,0,0,63.0,-23.0,-1028.0,58,61,84,70,119.64,60
20260529_133327,vee_50_tail_lv2_new_005,vee,tail wind,Level2,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-05-29T13:35:51.018,143.769,0.116,0.116,2,8,-16,88,8.0,34.0,88,0.0,250.0,80,6,250,10,-8.0,216.0,-8,216.296,15.857,35.09,75,75,,15,4,0,1,0,-1,60.0,28.0,-1015.0,64,67,84,70,119.49,108
20260529_133327,vee_50_tail_lv2_new_005,vee,tail wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-29T13:35:51.018,143.769,0.116,0.116,5,0,-4,81,35.35533905932738,31.355339059327378,81,35.35533905932738,285.3553390593274,80,2,250,10,0.0,254.0,-1,254.002,15.857,35.09,74,74,,23,3,0,0,0,0,36.0,-64.0,-1078.0,64,67,83,70,120.49,112
20260529_133327,vee_50_tail_lv2_new_005,vee,tail wind,Level2,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-29T13:35:51.018,143.769,0.116,0.116,3,-5,-7,80,65.71067811865476,63.710678118654755,80,70.71067811865476,320.71067811865476,80,8,250,10,5.0,257.0,0,257.049,15.857,35.09,71,71,,43,3,1,0,0,0,21.0,2.0,-1002.0,62,64,78,40,120.2,56
20260529_133327,vee_50_tail_lv2_new_005,vee,tail wind,Level2,drone_4,192.168.0.106,B14,4,vee_4,5,3,0,node_segment_1_of_5,2026-05-29T13:35:51.018,143.769,0.116,0.116,5,-19,-3,83,87.06601717798213,32.35533905932738,83,106.06601717798213,285.3553390593274,80,2,250,10,19.0,253.0,-3,253.73,15.857,35.09,73,73,,-11,3,1,0,0,0,114.0,-45.0,-959.0,59,62,83,70,120.82,72
20260529_133327,vee_50_tail_lv2_new_005,vee,tail wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-29T13:35:51.018,143.769,0.116,0.116,1,-6,2,86,135.4213562373095,2.0,86,141.4213562373095,250.0,80,8,250,10,6.0,248.0,-6,248.145,15.857,35.09,71,71,,-1,3,1,0,0,0,86.0,-17.0,-1003.0,58,61,84,70,119.53,60
