run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260612_202932,vee_75_head_lv1_new_001,vee,head wind,Level1,75,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_logging,2026-06-12T20:29:49.027,16.814,0.0,0.0,1,-9,7,84,-9.0,7.0,84,0.0,250.0,80,6,250,10,9.0,243.0,-4,243.2,8.287,14.7,73,73,,73,0,0,0,0,0,6.0,23.0,-1039.0,61,64,80,60,-121.4,96
20260612_202932,vee_75_head_lv1_new_001,vee,head wind,Level1,75,drone_2,192.168.0.109,B10,2,vee_2,2,1,0,node_segment_1_of_5,2026-06-12T20:29:49.027,16.814,0.0,0.0,2,0,10,83,49.49747468305833,59.49747468305833,83,49.49747468305833,299.49747468305833,80,7,250,10,0.0,240.0,-3,240.019,8.287,14.7,74,74,,152,-2,0,0,0,0,-81.0,0.0,-1015.0,63,66,84,50,-120.96,135
20260612_202932,vee_75_head_lv1_new_001,vee,head wind,Level1,75,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-06-12T20:29:49.027,16.814,0.0,0.0,3,1,-15,84,107.06601717798213,91.06601717798213,84,106.06601717798213,356.06601717798213,80,8,250,10,-1.0,265.0,-4,265.032,8.287,14.7,72,72,,-28,-3,0,0,0,0,-43.0,-12.0,-998.0,62,63,85,50,-121.22,85
20260612_202932,vee_75_head_lv1_new_001,vee,head wind,Level1,75,drone_4,192.168.0.106,B14,4,vee_4,4,3,0,node_segment_1_of_5,2026-06-12T20:29:49.027,16.814,0.0,0.0,4,0,0,85,162.63455967290594,49.49747468305833,85,162.63455967290594,299.49747468305833,80,1,250,10,0.0,250.0,-5,250.05,8.287,14.7,73,73,,-10,-2,0,0,0,0,-43.0,-8.0,-998.0,58,61,84,70,-120.54,140
20260612_202932,vee_75_head_lv1_new_001,vee,head wind,Level1,75,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-12T20:29:49.027,16.814,0.0,0.0,5,4,11,81,216.13203435596427,11.0,81,212.13203435596427,250.0,80,2,250,10,-4.0,239.0,-1,239.036,8.287,14.7,73,73,,93,0,0,0,0,0,0.0,-8.0,-994.0,60,64,79,80,-121.72,123
20260612_202932,vee_75_head_lv1_new_001,vee,head wind,Level1,75,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-06-12T20:29:49.134,16.922,0.108,0.108,1,-11,8,83,-11.0,8.0,83,0.0,250.0,80,6,250,10,11.0,242.0,-3,242.268,9.629,22.467,73,73,,73,0,0,0,0,0,-18.0,36.0,-1006.0,61,64,80,60,-121.41,96
20260612_202932,vee_75_head_lv1_new_001,vee,head wind,Level1,75,drone_2,192.168.0.109,B10,2,vee_2,2,1,0,node_segment_1_of_5,2026-06-12T20:29:49.134,16.922,0.108,0.108,2,0,10,83,49.49747468305833,59.49747468305833,83,49.49747468305833,299.49747468305833,80,7,250,10,0.0,240.0,-3,240.019,9.629,22.467,74,74,,153,-2,1,-1,0,0,-49.0,-28.0,-1002.0,63,66,84,50,-120.95,136
20260612_202932,vee_75_head_lv1_new_001,vee,head wind,Level1,75,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-06-12T20:29:49.134,16.922,0.108,0.108,3,0,-15,84,106.06601717798213,91.06601717798213,84,106.06601717798213,356.06601717798213,80,8,250,10,0.0,265.0,-4,265.03,9.629,22.467,72,72,,-28,-3,0,0,0,0,-80.0,19.0,-976.0,62,63,84,50,-121.37,85
20260612_202932,vee_75_head_lv1_new_001,vee,head wind,Level1,75,drone_4,192.168.0.106,B14,4,vee_4,4,3,0,node_segment_1_of_5,2026-06-12T20:29:49.134,16.922,0.108,0.108,4,0,0,85,162.63455967290594,49.49747468305833,85,162.63455967290594,299.49747468305833,80,1,250,10,0.0,250.0,-5,250.05,9.629,22.467,73,73,,-10,-2,0,0,0,0,-35.0,-27.0,-993.0,58,61,84,70,-120.6,140
20260612_202932,vee_75_head_lv1_new_001,vee,head wind,Level1,75,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-12T20:29:49.134,16.922,0.108,0.108,5,-6,12,81,206.13203435596427,12.0,81,212.13203435596427,250.0,80,2,250,10,6.0,238.0,-1,238.078,9.629,22.467,73,73,,93,0,0,0,0,0,-43.0,-4.0,-978.0,60,64,79,80,-121.75,123
20260612_202932,vee_75_head_lv1_new_001,vee,head wind,Level1,75,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-06-12T20:29:49.238,17.026,0.212,0.212,1,-11,8,83,-11.0,8.0,83,0.0,250.0,80,6,250,10,11.0,242.0,-3,242.268,9.629,22.467,73,73,,73,0,0,0,0,0,-9.0,21.0,-1023.0,61,64,80,60,-121.47,96
20260612_202932,vee_75_head_lv1_new_001,vee,head wind,Level1,75,drone_2,192.168.0.109,B10,2,vee_2,2,1,0,node_segment_1_of_5,2026-06-12T20:29:49.238,17.026,0.212,0.212,2,0,10,83,49.49747468305833,59.49747468305833,83,49.49747468305833,299.49747468305833,80,7,250,10,0.0,240.0,-3,240.019,9.629,22.467,74,74,,152,-3,1,0,0,0,-52.0,-13.0,-1001.0,63,66,84,50,-120.9,136
20260612_202932,vee_75_head_lv1_new_001,vee,head wind,Level1,75,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-06-12T20:29:49.238,17.026,0.212,0.212,3,0,-15,84,106.06601717798213,91.06601717798213,84,106.06601717798213,356.06601717798213,80,8,250,10,0.0,265.0,-4,265.03,9.629,22.467,72,72,,-28,-3,0,0,0,0,-62.0,-10.0,-1045.0,61,63,83,50,-121.29,85
20260612_202932,vee_75_head_lv1_new_001,vee,head wind,Level1,75,drone_4,192.168.0.106,B14,4,vee_4,4,3,0,node_segment_1_of_5,2026-06-12T20:29:49.238,17.026,0.212,0.212,4,0,0,85,162.63455967290594,49.49747468305833,85,162.63455967290594,299.49747468305833,80,1,250,10,0.0,250.0,-5,250.05,9.629,22.467,73,73,,-10,-2,0,0,0,0,-61.0,-9.0,-983.0,58,61,84,70,-120.48,140
20260612_202932,vee_75_head_lv1_new_001,vee,head wind,Level1,75,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-12T20:29:49.238,17.026,0.212,0.212,5,-6,12,81,206.13203435596427,12.0,81,212.13203435596427,250.0,80,2,250,10,6.0,238.0,-1,238.078,9.629,22.467,73,73,,93,0,0,0,0,0,4.0,-36.0,-1000.0,60,64,79,80,-121.78,123
20260612_202932,vee_75_head_lv1_new_001,vee,head wind,Level1,75,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-06-12T20:29:49.343,17.131,0.317,0.317,1,-11,8,83,-11.0,8.0,83,0.0,250.0,80,6,250,10,11.0,242.0,-3,242.268,9.629,22.467,73,73,,73,-2,0,0,0,0,26.0,18.0,-990.0,61,64,80,60,-121.41,96
20260612_202932,vee_75_head_lv1_new_001,vee,head wind,Level1,75,drone_2,192.168.0.109,B10,2,vee_2,2,1,0,node_segment_1_of_5,2026-06-12T20:29:49.343,17.131,0.317,0.317,2,0,10,83,49.49747468305833,59.49747468305833,83,49.49747468305833,299.49747468305833,80,7,250,10,0.0,240.0,-3,240.019,9.629,22.467,74,74,,152,-3,0,0,0,0,-57.0,0.0,-997.0,63,66,83,50,-121.03,136
20260612_202932,vee_75_head_lv1_new_001,vee,head wind,Level1,75,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-06-12T20:29:49.343,17.131,0.317,0.317,3,0,-15,84,106.06601717798213,91.06601717798213,84,106.06601717798213,356.06601717798213,80,8,250,10,0.0,265.0,-4,265.03,9.629,22.467,72,72,,-28,-4,0,0,0,0,-61.0,-3.0,-966.0,61,63,84,50,-121.32,85
