run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260611_213318,vee_75_tail_lv1_new_001,vee,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_logging,2026-06-11T21:33:33.531,14.664,0.0,0.0,2,-9,-18,86,-9.0,32.0,86,0.0,250.0,80,6,250,10,9.0,218.0,-6,218.268,9.131,17.847,74,74,,2,4,1,0,0,0,98.0,-48.0,-1016.0,65,67,83,70,-122.69,144
20260611_213318,vee_75_tail_lv1_new_001,vee,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-06-11T21:33:33.639,14.772,0.109,0.109,2,-9,-18,86,-9.0,32.0,86,0.0,250.0,80,6,250,10,9.0,218.0,-6,218.268,10.1,27.109,74,74,,2,5,1,0,0,0,83.0,-16.0,-967.0,65,67,83,70,-122.82,144
20260611_213318,vee_75_tail_lv1_new_001,vee,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-06-11T21:33:33.745,14.878,0.214,0.214,2,-9,-18,86,-9.0,32.0,86,0.0,250.0,80,6,250,10,9.0,218.0,-6,218.268,10.117,25.379,74,74,,2,0,2,0,0,-1,53.0,0.0,-982.0,65,67,82,70,-122.76,145
20260611_213318,vee_75_tail_lv1_new_001,vee,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-06-11T21:33:33.850,14.983,0.319,0.319,2,-12,-21,85,-12.0,29.0,85,0.0,250.0,80,6,250,10,12.0,221.0,-5,221.382,9.855,25.379,74,74,,2,0,0,0,0,0,54.0,-47.0,-1072.0,65,67,81,60,-122.79,145
20260611_213318,vee_75_tail_lv1_new_001,vee,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-06-11T21:33:33.957,15.09,0.426,0.426,2,-12,-21,85,-12.0,29.0,85,0.0,250.0,80,6,250,10,12.0,221.0,-5,221.382,9.636,25.379,74,74,,2,2,0,0,0,0,81.0,-53.0,-1035.0,65,68,80,60,-122.63,145
20260611_213318,vee_75_tail_lv1_new_001,vee,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-06-11T21:33:34.060,15.193,0.53,0.53,2,-12,-21,85,-12.0,29.0,85,0.0,250.0,80,6,250,10,12.0,221.0,-5,221.382,9.607,25.556,74,74,,2,3,0,0,0,0,49.0,0.0,-955.0,65,68,81,60,-122.64,145
20260611_213318,vee_75_tail_lv1_new_001,vee,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-06-11T21:33:34.167,15.3,0.637,0.637,2,-12,-21,85,-12.0,29.0,85,0.0,250.0,80,6,250,10,12.0,221.0,-5,221.382,9.159,23.732,74,74,,2,4,1,0,0,0,78.0,-45.0,-1023.0,65,68,81,60,-122.66,145
20260611_213318,vee_75_tail_lv1_new_001,vee,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-06-11T21:33:34.274,15.407,0.743,0.743,2,-15,-23,81,-15.0,27.0,81,0.0,250.0,80,6,250,10,15.0,223.0,-1,223.506,9.158,23.732,74,74,,3,4,1,0,0,0,62.0,-24.0,-1001.0,65,68,81,70,-122.74,145
20260611_213318,vee_75_tail_lv1_new_001,vee,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-06-11T21:33:34.381,15.514,0.85,0.85,2,-15,-23,81,-15.0,27.0,81,0.0,250.0,80,6,250,10,15.0,223.0,-1,223.506,9.158,23.732,74,74,,3,4,0,0,0,0,44.0,-21.0,-965.0,65,68,82,70,-122.69,145
20260611_213318,vee_75_tail_lv1_new_001,vee,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-06-11T21:33:34.487,15.62,0.956,0.956,2,-15,-23,81,-15.0,27.0,81,0.0,250.0,80,6,250,10,15.0,223.0,-1,223.506,9.392,27.322,74,74,,3,3,0,0,0,0,92.0,-45.0,-1011.0,65,68,82,70,-122.52,145
