run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260611_213636,vee_75_tail_lv1_new_003,vee,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-06-11T21:36:51.236,15.009,0.0,0.0,1,-5,1,85,-5.0,1.0,85,0.0,250.0,80,6,250,10,5.0,249.0,-5,249.1,9.02,17.899,58,58,,0,2,1,0,0,0,49.0,-27.0,-944.0,67,70,85,80,-123.19,267
20260611_213636,vee_75_tail_lv1_new_003,vee,tail wind,Level1,75,drone_2,192.168.0.109,B10,2,vee_2,2,1,0,node_segment_1_of_5,2026-06-11T21:36:51.236,15.009,0.0,0.0,2,-10,8,79,39.49747468305833,57.49747468305833,79,49.49747468305833,299.49747468305833,80,7,250,10,10.0,242.0,1,242.209,9.02,17.899,54,54,,-7,3,2,0,0,0,49.0,4.0,-993.0,67,69,84,70,-122.25,272
20260611_213636,vee_75_tail_lv1_new_003,vee,tail wind,Level1,75,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-06-11T21:36:51.236,15.009,0.0,0.0,3,-10,-20,80,96.06601717798213,86.06601717798213,80,106.06601717798213,356.06601717798213,80,8,250,10,10.0,270.0,0,270.185,9.02,17.899,61,61,,-5,0,0,0,0,0,40.0,-39.0,-990.0,67,69,79,60,-122.46,229
20260611_213636,vee_75_tail_lv1_new_003,vee,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,vee_4,4,3,0,node_segment_1_of_5,2026-06-11T21:36:51.236,15.009,0.0,0.0,4,1,-4,87,163.63455967290594,45.49747468305833,87,162.63455967290594,299.49747468305833,80,1,250,10,-1.0,254.0,-7,254.098,9.02,17.899,58,58,,-4,0,0,0,0,0,17.0,0.0,-1000.0,60,64,85,80,-121.79,274
20260611_213636,vee_75_tail_lv1_new_003,vee,tail wind,Level1,75,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-11T21:36:51.236,15.009,0.0,0.0,5,1,11,83,213.13203435596427,11.0,83,212.13203435596427,250.0,80,2,250,10,-1.0,239.0,-3,239.021,9.02,17.899,56,56,,1,5,0,0,0,0,116.0,5.0,-1027.0,65,67,79,60,-123.38,256
20260611_213636,vee_75_tail_lv1_new_003,vee,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-06-11T21:36:51.342,15.116,0.106,0.106,1,-3,2,86,-3.0,2.0,86,0.0,250.0,80,6,250,10,3.0,248.0,-6,248.091,8.461,20.072,58,58,,1,3,0,0,0,0,-10.0,9.0,-1024.0,67,70,84,80,-123.17,267
20260611_213636,vee_75_tail_lv1_new_003,vee,tail wind,Level1,75,drone_2,192.168.0.109,B10,2,vee_2,2,1,0,node_segment_1_of_5,2026-06-11T21:36:51.342,15.116,0.106,0.106,2,-10,8,79,39.49747468305833,57.49747468305833,79,49.49747468305833,299.49747468305833,80,7,250,10,10.0,242.0,1,242.209,8.461,20.072,54,54,,-6,3,2,0,0,0,40.0,-9.0,-1013.0,67,69,83,70,-122.12,272
20260611_213636,vee_75_tail_lv1_new_003,vee,tail wind,Level1,75,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-06-11T21:36:51.342,15.116,0.106,0.106,3,-10,-20,80,96.06601717798213,86.06601717798213,80,106.06601717798213,356.06601717798213,80,8,250,10,10.0,270.0,0,270.185,8.461,20.072,61,61,,-4,0,1,0,0,0,22.0,-2.0,-1034.0,67,69,79,60,-122.41,229
20260611_213636,vee_75_tail_lv1_new_003,vee,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,vee_4,4,3,0,node_segment_1_of_5,2026-06-11T21:36:51.342,15.116,0.106,0.106,4,0,-2,88,162.63455967290594,47.49747468305833,88,162.63455967290594,299.49747468305833,80,1,250,10,0.0,252.0,-8,252.127,8.461,20.072,58,58,,-4,0,0,0,0,0,17.0,-17.0,-967.0,60,64,86,80,-121.69,274
20260611_213636,vee_75_tail_lv1_new_003,vee,tail wind,Level1,75,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-11T21:36:51.342,15.116,0.106,0.106,5,1,11,83,213.13203435596427,11.0,83,212.13203435596427,250.0,80,2,250,10,-1.0,239.0,-3,239.021,8.461,20.072,56,56,,1,4,0,0,0,0,58.0,-18.0,-1004.0,65,67,78,60,-123.32,256
