run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260526_131820,vee_head_no_wind_new_003,vee,head wind,no wind,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-05-26T13:18:38.331,17.514,0.0,0.0,1,-7,17,83,-7.0,17.0,83,0.0,250.0,80,6,250,10,7.0,233.0,-3,233.124,6.164,9.997,65,65,,14,1,0,0,0,0,28.0,-7.0,-1038.0,64,67,81,70,-0.54,179
20260526_131820,vee_head_no_wind_new_003,vee,head wind,no wind,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T13:18:38.331,17.514,0.0,0.0,5,0,0,80,35.35533905932738,35.35533905932738,80,35.35533905932738,285.3553390593274,80,2,250,10,0.0,250.0,0,250.0,6.164,9.997,65,65,,49,0,0,0,0,0,10.0,-10.0,-1004.0,63,66,84,70,0.1,181
20260526_131820,vee_head_no_wind_new_003,vee,head wind,no wind,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-26T13:18:38.331,17.514,0.0,0.0,3,-1,-4,77,69.71067811865476,66.71067811865476,77,70.71067811865476,320.71067811865476,80,8,250,10,1.0,254.0,3,254.02,6.164,9.997,65,65,,53,0,0,0,0,0,5.0,-19.0,-985.0,65,68,79,70,-0.14,185
20260526_131820,vee_head_no_wind_new_003,vee,head wind,no wind,drone_4,192.168.0.106,B14,4,vee_4,5,3,0,node_segment_1_of_5,2026-05-26T13:18:38.331,17.514,0.0,0.0,5,8,-5,84,114.06601717798213,30.355339059327378,84,106.06601717798213,285.3553390593274,80,2,250,10,-8.0,255.0,-4,255.157,6.164,9.997,63,63,,-5,0,0,0,0,0,6.0,-3.0,-1006.0,60,62,84,70,0.65,186
20260526_131820,vee_head_no_wind_new_003,vee,head wind,no wind,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T13:18:38.331,17.514,0.0,0.0,1,2,0,82,143.4213562373095,0.0,82,141.4213562373095,250.0,80,8,250,10,-2.0,250.0,-2,250.016,6.164,9.997,63,63,,52,0,0,0,0,0,3.0,-10.0,-1003.0,62,64,80,60,-0.73,186
20260526_131820,vee_head_no_wind_new_003,vee,head wind,no wind,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-05-26T13:18:38.440,17.622,0.109,0.109,1,-7,17,83,-7.0,17.0,83,0.0,250.0,80,6,250,10,7.0,233.0,-3,233.124,8.066,16.49,65,65,,14,1,0,0,0,0,-15.0,4.0,-963.0,64,67,81,70,-0.55,179
20260526_131820,vee_head_no_wind_new_003,vee,head wind,no wind,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T13:18:38.440,17.622,0.109,0.109,5,-15,1,80,20.355339059327378,36.35533905932738,80,35.35533905932738,285.3553390593274,80,2,250,10,15.0,249.0,0,249.451,8.066,16.49,65,65,,49,0,0,0,0,0,14.0,-20.0,-985.0,63,66,84,70,0.12,181
20260526_131820,vee_head_no_wind_new_003,vee,head wind,no wind,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-26T13:18:38.440,17.622,0.109,0.109,3,-1,-4,80,69.71067811865476,66.71067811865476,80,70.71067811865476,320.71067811865476,80,8,250,10,1.0,254.0,0,254.002,8.066,16.49,65,65,,53,-1,0,0,0,0,-14.0,-7.0,-995.0,65,68,80,70,-0.05,186
20260526_131820,vee_head_no_wind_new_003,vee,head wind,no wind,drone_4,192.168.0.106,B14,4,vee_4,5,3,0,node_segment_1_of_5,2026-05-26T13:18:38.440,17.622,0.109,0.109,5,0,-5,86,106.06601717798213,30.355339059327378,86,106.06601717798213,285.3553390593274,80,2,250,10,0.0,255.0,-6,255.071,8.066,16.49,63,63,,-5,0,0,0,0,0,-5.0,-35.0,-994.0,60,62,84,70,0.65,186
20260526_131820,vee_head_no_wind_new_003,vee,head wind,no wind,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T13:18:38.440,17.622,0.109,0.109,1,0,1,82,141.4213562373095,1.0,82,141.4213562373095,250.0,80,8,250,10,0.0,249.0,-2,249.008,8.066,16.49,63,63,,52,0,0,0,0,0,-1.0,-12.0,-1002.0,62,64,81,60,-0.68,186
