run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260528_153319,vee_tail_lv1_new_005,vee,tail wind,Level1,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_logging,2026-05-28T15:33:35.232,15.473,0.0,0.0,1,-18,0,90,-18.0,0.0,90,0.0,250.0,80,6,250,10,18.0,250.0,-10,250.847,9.1,24.482,59,59,,120,3,1,0,0,0,70.0,-8.0,-1021.0,64,67,96,80,83.16,254
20260528_153319,vee_tail_lv1_new_005,vee,tail wind,Level1,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-28T15:33:35.232,15.473,0.0,0.0,5,-2,0,82,33.35533905932738,35.35533905932738,82,35.35533905932738,285.3553390593274,80,2,250,10,2.0,250.0,-2,250.016,9.1,24.482,54,54,,170,3,0,0,0,0,40.0,-35.0,-978.0,65,66,84,70,84.12,277
20260528_153319,vee_tail_lv1_new_005,vee,tail wind,Level1,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-28T15:33:35.232,15.473,0.0,0.0,3,-5,-9,81,65.71067811865476,61.710678118654755,81,70.71067811865476,320.71067811865476,80,8,250,10,5.0,259.0,-1,259.05,9.1,24.482,55,55,,123,0,-1,0,0,0,13.0,-5.0,-984.0,66,69,80,50,83.69,234
20260528_153319,vee_tail_lv1_new_005,vee,tail wind,Level1,drone_4,192.168.0.106,B14,4,vee_4,5,3,0,node_segment_1_of_5,2026-05-28T15:33:35.232,15.473,0.0,0.0,5,7,2,86,113.06601717798213,37.35533905932738,86,106.06601717798213,285.3553390593274,80,2,250,10,-7.0,248.0,-6,248.171,9.1,24.482,52,52,,-19,0,1,0,0,0,35.0,-24.0,-995.0,60,63,84,70,84.28,278
20260528_153319,vee_tail_lv1_new_005,vee,tail wind,Level1,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-28T15:33:35.232,15.473,0.0,0.0,1,-8,-1,85,133.4213562373095,-1.0,85,141.4213562373095,250.0,80,8,250,10,8.0,251.0,-5,251.177,9.1,24.482,53,53,,-92,4,0,0,0,0,71.0,-18.0,-992.0,61,64,84,70,83.0,283
20260528_153319,vee_tail_lv1_new_005,vee,tail wind,Level1,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-05-28T15:33:35.339,15.58,0.107,0.107,1,-18,0,90,-18.0,0.0,90,0.0,250.0,80,6,250,10,18.0,250.0,-10,250.847,6.821,12.003,59,59,,120,3,0,0,0,0,65.0,-58.0,-964.0,64,67,97,90,83.28,254
20260528_153319,vee_tail_lv1_new_005,vee,tail wind,Level1,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-28T15:33:35.339,15.58,0.107,0.107,5,-4,2,83,31.355339059327378,37.35533905932738,83,35.35533905932738,285.3553390593274,80,2,250,10,4.0,248.0,-3,248.05,6.821,12.003,54,54,,170,2,0,0,0,0,54.0,-14.0,-979.0,65,66,84,70,84.0,277
20260528_153319,vee_tail_lv1_new_005,vee,tail wind,Level1,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-28T15:33:35.339,15.58,0.107,0.107,3,-5,-9,81,65.71067811865476,61.710678118654755,81,70.71067811865476,320.71067811865476,80,8,250,10,5.0,259.0,-1,259.05,6.821,12.003,55,55,,123,0,-1,0,0,0,-18.0,-22.0,-987.0,66,68,79,50,83.71,234
20260528_153319,vee_tail_lv1_new_005,vee,tail wind,Level1,drone_4,192.168.0.106,B14,4,vee_4,5,3,0,node_segment_1_of_5,2026-05-28T15:33:35.339,15.58,0.107,0.107,5,-10,-1,85,96.06601717798213,34.35533905932738,85,106.06601717798213,285.3553390593274,80,2,250,10,10.0,251.0,-5,251.249,6.821,12.003,52,52,,-19,0,2,0,0,0,39.0,-28.0,-964.0,60,63,83,70,84.19,278
20260528_153319,vee_tail_lv1_new_005,vee,tail wind,Level1,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-28T15:33:35.339,15.58,0.107,0.107,1,-6,-1,86,135.4213562373095,-1.0,86,141.4213562373095,250.0,80,8,250,10,6.0,251.0,-6,251.143,6.821,12.003,53,53,,-92,5,0,0,0,0,83.0,1.0,-995.0,61,64,85,70,82.89,283
