run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260526_155846,vee_tail_lv1_new_prepare,vee,tail wind,Level1,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_logging,2026-05-26T15:59:05.997,19.464,0.0,0.0,1,-8,12,82,-8.0,12.0,82,0.0,250.0,80,6,250,10,8.0,238.0,-2,238.143,6.459,13.102,71,71,,7,1,1,0,0,0,20.0,3.0,-1061.0,64,67,81,70,2.17,46
20260526_155846,vee_tail_lv1_new_prepare,vee,tail wind,Level1,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-05-26T15:59:06.107,19.574,0.11,0.11,1,-8,12,82,-8.0,12.0,82,0.0,250.0,80,6,250,10,8.0,238.0,-2,238.143,6.044,13.102,71,71,,7,1,1,0,0,0,18.0,20.0,-955.0,64,67,81,70,2.26,46
20260526_155846,vee_tail_lv1_new_prepare,vee,tail wind,Level1,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-05-26T15:59:06.213,19.68,0.216,0.216,1,-12,10,83,-12.0,10.0,83,0.0,250.0,80,6,250,10,12.0,240.0,-3,240.319,5.44,12.862,71,71,,8,2,0,0,0,0,35.0,-17.0,-934.0,64,67,82,70,2.29,46
20260526_155846,vee_tail_lv1_new_prepare,vee,tail wind,Level1,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-05-26T15:59:06.319,19.786,0.322,0.322,1,-12,10,83,-12.0,10.0,83,0.0,250.0,80,6,250,10,12.0,240.0,-3,240.319,5.44,12.862,71,71,,8,3,0,0,0,0,18.0,-48.0,-1039.0,64,67,82,70,2.09,46
20260526_155846,vee_tail_lv1_new_prepare,vee,tail wind,Level1,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-05-26T15:59:06.428,19.895,0.432,0.432,1,-12,10,83,-12.0,10.0,83,0.0,250.0,80,6,250,10,12.0,240.0,-3,240.319,5.917,12.862,71,71,,8,0,0,0,0,0,-10.0,0.0,-941.0,64,67,83,70,2.12,46
20260526_155846,vee_tail_lv1_new_prepare,vee,tail wind,Level1,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-05-26T15:59:06.537,20.004,0.54,0.54,1,-12,10,83,-12.0,10.0,83,0.0,250.0,80,6,250,10,12.0,240.0,-3,240.319,5.917,12.862,71,71,,8,0,1,0,0,0,-33.0,20.0,-964.0,64,67,83,70,2.19,46
20260526_155846,vee_tail_lv1_new_prepare,vee,tail wind,Level1,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-05-26T15:59:06.652,20.119,0.655,0.655,1,-10,12,84,-10.0,12.0,84,0.0,250.0,80,6,250,10,10.0,238.0,-4,238.244,7.101,13.452,71,71,,7,0,1,0,0,0,22.0,-34.0,-1003.0,64,67,84,70,2.06,46
20260526_155846,vee_tail_lv1_new_prepare,vee,tail wind,Level1,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-05-26T15:59:06.769,20.236,0.773,0.773,1,-10,12,84,-10.0,12.0,84,0.0,250.0,80,6,250,10,10.0,238.0,-4,238.244,7.101,13.452,71,71,,7,0,2,0,0,0,-17.0,-3.0,-1012.0,64,67,83,70,2.15,47
20260526_155846,vee_tail_lv1_new_prepare,vee,tail wind,Level1,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-05-26T15:59:06.876,20.343,0.879,0.879,1,-10,12,84,-10.0,12.0,84,0.0,250.0,80,6,250,10,10.0,238.0,-4,238.244,7.256,13.452,71,71,,7,1,2,0,0,0,-4.0,-21.0,-1008.0,64,67,83,70,2.16,47
20260526_155846,vee_tail_lv1_new_prepare,vee,tail wind,Level1,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-05-26T15:59:06.981,20.448,0.984,0.984,1,-11,20,84,-11.0,20.0,84,0.0,250.0,80,6,250,10,11.0,230.0,-4,230.298,8.0,16.298,71,71,,7,0,1,0,0,0,-17.0,-7.0,-1000.0,63,68,83,70,2.18,47
20260526_155846,vee_tail_lv1_new_prepare,vee,tail wind,Level1,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-05-26T15:59:07.086,20.553,1.089,1.089,1,-11,20,84,-11.0,20.0,84,0.0,250.0,80,6,250,10,11.0,230.0,-4,230.298,7.313,13.687,71,71,,7,0,1,0,0,0,-29.0,-32.0,-981.0,63,68,83,70,2.2,47
20260526_155846,vee_tail_lv1_new_prepare,vee,tail wind,Level1,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-05-26T15:59:07.194,20.661,1.197,1.197,1,-11,20,84,-11.0,20.0,84,0.0,250.0,80,6,250,10,11.0,230.0,-4,230.298,7.313,13.687,71,71,,7,0,1,0,0,0,-28.0,-4.0,-1008.0,63,68,83,70,2.2,47
