run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260526_170347,vee_tail_lv2_new_003,vee,tail wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T17:04:04.357,17.271,0.0,0.0,1,0,9,92,141.4213562373095,9.0,92,141.4213562373095,250.0,80,8,250,10,0.0,241.0,-12,241.299,6.006,12.577,55,55,,117,3,0,0,0,0,85.0,14.0,-1023.0,63,65,84,70,-1.47,245
20260526_170347,vee_tail_lv2_new_003,vee,tail wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T17:04:04.464,17.378,0.107,0.107,1,0,9,92,141.4213562373095,9.0,92,141.4213562373095,250.0,80,8,250,10,0.0,241.0,-12,241.299,6.006,12.577,55,55,,117,5,-1,0,0,0,48.0,21.0,-1004.0,63,65,84,70,-1.46,245
20260526_170347,vee_tail_lv2_new_003,vee,tail wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T17:04:04.572,17.486,0.216,0.216,1,0,9,92,141.4213562373095,9.0,92,141.4213562373095,250.0,80,8,250,10,0.0,241.0,-12,241.299,6.56,14.678,55,55,,117,5,-2,0,0,0,64.0,24.0,-1012.0,63,65,84,70,-1.46,246
20260526_170347,vee_tail_lv2_new_003,vee,tail wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T17:04:04.677,17.591,0.32,0.32,1,-1,6,89,140.4213562373095,6.0,89,141.4213562373095,250.0,80,8,250,10,1.0,244.0,-9,244.168,5.83,14.678,55,55,,117,3,-1,0,0,0,71.0,25.0,-1061.0,63,65,83,70,-1.5,246
20260526_170347,vee_tail_lv2_new_003,vee,tail wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T17:04:04.785,17.699,0.428,0.428,1,-1,6,89,140.4213562373095,6.0,89,141.4213562373095,250.0,80,8,250,10,1.0,244.0,-9,244.168,3.634,6.684,55,55,,117,0,0,0,0,0,78.0,18.0,-960.0,63,65,83,70,-1.43,246
20260526_170347,vee_tail_lv2_new_003,vee,tail wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T17:04:04.892,17.805,0.535,0.535,1,-1,6,89,140.4213562373095,6.0,89,141.4213562373095,250.0,80,8,250,10,1.0,244.0,-9,244.168,3.828,6.684,55,55,,117,3,-2,0,0,0,67.0,15.0,-1072.0,63,65,82,70,-1.51,246
20260526_170347,vee_tail_lv2_new_003,vee,tail wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T17:04:04.999,17.912,0.642,0.642,1,4,10,85,145.4213562373095,10.0,85,141.4213562373095,250.0,80,8,250,10,-4.0,240.0,-5,240.085,3.812,10.119,55,55,,117,3,-1,0,0,0,107.0,37.0,-962.0,63,65,82,70,-1.45,246
20260526_170347,vee_tail_lv2_new_003,vee,tail wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T17:04:05.105,18.019,0.748,0.748,1,4,10,85,145.4213562373095,10.0,85,141.4213562373095,250.0,80,8,250,10,-4.0,240.0,-5,240.085,5.101,10.119,55,55,,117,4,-1,0,0,0,36.0,-8.0,-974.0,63,65,82,70,-1.46,246
20260526_170347,vee_tail_lv2_new_003,vee,tail wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T17:04:05.208,18.122,0.851,0.851,1,4,10,85,145.4213562373095,10.0,85,141.4213562373095,250.0,80,8,250,10,-4.0,240.0,-5,240.085,5.101,10.119,55,55,,117,3,-1,0,0,0,65.0,31.0,-994.0,63,65,82,70,-1.54,246
20260526_170347,vee_tail_lv2_new_003,vee,tail wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-26T17:04:05.316,18.229,0.959,0.959,1,4,10,85,145.4213562373095,10.0,85,141.4213562373095,250.0,80,8,250,10,-4.0,240.0,-5,240.085,5.074,9.475,55,55,,117,4,0,0,-1,0,25.0,18.0,-974.0,63,65,82,70,-1.49,246
