run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,soc_mode,target_soc_percent,soc_tolerance_percent,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,mission_pad_pitch,mission_pad_roll,mission_pad_yaw,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260905_183150,wind_tunnel_diamond_75_side_lv1_001,diamond,side wind,Level1,75,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-09-05T18:31:53.643,0.0,0.0,0.0,-1,-100,-100,-100,,,,0.0,75.0,80,5,0,0,,,,,,,100,100,,4,0,0,0.0,0.0,0.0,0,0,0,4.0,-7.0,-998.0,54,57,6553,0,74.82,16
20260905_183150,wind_tunnel_diamond_75_side_lv1_001,diamond,side wind,Level1,75,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-09-05T18:31:53.643,0.0,0.0,0.0,-1,-100,-100,-100,,,,75.0,0.0,80,6,0,0,,,,,,,100,100,,2,0,0,0.0,0.0,0.0,0,0,0,12.0,6.0,-997.0,53,57,10,0,75.91,19
20260905_183150,wind_tunnel_diamond_75_side_lv1_001,diamond,side wind,Level1,75,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-09-05T18:31:53.643,0.0,0.0,0.0,-1,-100,-100,-100,,,,75.0,75.0,80,7,0,0,,,,,,,90,90,,-2,0,0,0.0,0.0,0.0,0,0,0,10.0,2.0,-999.0,55,57,10,0,75.67,22
20260905_183150,wind_tunnel_diamond_75_side_lv1_001,diamond,side wind,Level1,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-09-05T18:31:53.643,0.0,0.0,0.0,-1,-100,-100,-100,,,,75.0,150.0,80,8,0,0,,,,,,,92,92,,2,1,0,0.0,0.0,0.0,0,0,0,25.0,-3.0,-997.0,51,54,10,0,76.52,26
20260905_183150,wind_tunnel_diamond_75_side_lv1_001,diamond,side wind,Level1,75,wind_tunnel,20,0,drone_5,192.168.0.104,B06,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-05T18:31:53.643,0.0,0.0,0.0,-1,-100,-100,-100,,,,150.0,75.0,80,1,0,0,,,,,,,85,85,,5,0,0,0.0,0.0,0.0,0,0,0,-3.0,-16.0,-999.0,52,55,10,0,75.24,30
20260905_183150,wind_tunnel_diamond_75_side_lv1_001,diamond,side wind,Level1,75,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-09-05T18:31:53.750,0.106,0.106,0.106,-1,-100,-100,-100,,,,0.0,75.0,80,5,0,0,,,,,,,100,100,,4,0,0,0.0,0.0,0.0,0,0,0,4.0,-7.0,-999.0,54,57,6553,0,74.84,16
20260905_183150,wind_tunnel_diamond_75_side_lv1_001,diamond,side wind,Level1,75,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-09-05T18:31:53.750,0.106,0.106,0.106,-1,-100,-100,-100,,,,75.0,0.0,80,6,0,0,,,,,,,100,100,,2,0,0,0.0,0.0,0.0,0,0,0,10.0,2.0,-1002.0,53,56,10,0,75.89,19
20260905_183150,wind_tunnel_diamond_75_side_lv1_001,diamond,side wind,Level1,75,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-09-05T18:31:53.750,0.106,0.106,0.106,-1,-100,-100,-100,,,,75.0,75.0,80,7,0,0,,,,,,,90,90,,-2,0,0,0.0,0.0,0.0,0,0,0,8.0,3.0,-999.0,55,57,10,0,75.65,22
20260905_183150,wind_tunnel_diamond_75_side_lv1_001,diamond,side wind,Level1,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-09-05T18:31:53.750,0.106,0.106,0.106,-1,-100,-100,-100,,,,75.0,150.0,80,8,0,0,,,,,,,92,92,,2,1,0,0.0,0.0,0.0,0,0,0,25.0,-4.0,-997.0,51,54,10,0,76.49,26
20260905_183150,wind_tunnel_diamond_75_side_lv1_001,diamond,side wind,Level1,75,wind_tunnel,20,0,drone_5,192.168.0.104,B06,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-05T18:31:53.750,0.106,0.106,0.106,-1,-100,-100,-100,,,,150.0,75.0,80,1,0,0,,,,,,,85,85,,5,0,0,0.0,0.0,0.0,0,0,0,-3.0,-14.0,-999.0,52,55,10,0,75.26,30
