run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,soc_mode,target_soc_percent,soc_tolerance_percent,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,mission_pad_pitch,mission_pad_roll,mission_pad_yaw,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-09-05T15:51:09.413,0.0,0.0,0.0,-1,-100,-100,-100,,,,0.0,75.0,80,5,0,0,,,,,,,81,81,,-1,0,0,0.0,0.0,0.0,0,0,0,4.0,-7.0,-1002.0,61,63,10,0,86.37,29
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-09-05T15:51:09.413,0.0,0.0,0.0,-1,-100,-100,-100,,,,75.0,0.0,80,6,0,0,,,,,,,81,81,,0,0,0,0.0,0.0,0.0,0,0,0,14.0,-1.0,-997.0,62,65,10,0,87.48,33
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-09-05T15:51:09.413,0.0,0.0,0.0,-1,-100,-100,-100,,,,75.0,75.0,80,7,0,0,,,,,,,69,69,,-2,0,0,0.0,0.0,0.0,0,0,0,9.0,3.0,-997.0,62,65,10,0,87.23,35
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-09-05T15:51:09.413,0.0,0.0,0.0,-1,-100,-100,-100,,,,75.0,150.0,80,8,0,0,,,,,,,84,84,,0,2,0,0.0,0.0,0.0,0,0,0,38.0,-1.0,-997.0,57,60,6553,0,87.87,40
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-05T15:51:09.413,0.0,0.0,0.0,-1,-100,-100,-100,,,,150.0,75.0,80,1,0,0,,,,,,,82,82,,1,0,0,0.0,0.0,0.0,0,0,0,-4.0,-15.0,-1000.0,59,63,10,0,86.54,44
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-09-05T15:51:09.518,0.105,0.105,0.105,-1,-100,-100,-100,,,,0.0,75.0,80,5,0,0,,,,,,,81,81,,-1,0,0,0.0,0.0,0.0,0,0,0,3.0,-7.0,-998.0,61,63,10,0,86.47,29
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-09-05T15:51:09.518,0.105,0.105,0.105,-1,-100,-100,-100,,,,75.0,0.0,80,6,0,0,,,,,,,81,81,,0,0,0,0.0,0.0,0.0,0,0,0,12.0,-1.0,-999.0,62,65,10,0,87.53,33
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-09-05T15:51:09.518,0.105,0.105,0.105,-1,-100,-100,-100,,,,75.0,75.0,80,7,0,0,,,,,,,69,69,,-2,0,0,0.0,0.0,0.0,0,0,0,8.0,4.0,-1000.0,62,65,10,0,87.23,35
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-09-05T15:51:09.518,0.105,0.105,0.105,-1,-100,-100,-100,,,,75.0,150.0,80,8,0,0,,,,,,,84,84,,0,2,0,0.0,0.0,0.0,0,0,0,38.0,-1.0,-998.0,58,60,6553,0,87.88,40
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-05T15:51:09.518,0.105,0.105,0.105,-1,-100,-100,-100,,,,150.0,75.0,80,1,0,0,,,,,,,82,82,,1,0,0,0.0,0.0,0.0,0,0,0,-3.0,-18.0,-997.0,59,63,10,0,86.56,44
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-09-05T15:51:09.621,0.208,0.208,0.208,-1,-100,-100,-100,,,,0.0,75.0,80,5,0,0,,,,,,,81,81,,-1,0,0,0.0,0.0,0.0,0,0,0,8.0,-4.0,-998.0,61,63,10,0,86.42,29
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-09-05T15:51:09.621,0.208,0.208,0.208,-1,-100,-100,-100,,,,75.0,0.0,80,6,0,0,,,,,,,81,81,,0,0,0,0.0,0.0,0.0,0,0,0,19.0,11.0,-989.0,62,65,10,0,87.53,33
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-09-05T15:51:09.621,0.208,0.208,0.208,-1,-100,-100,-100,,,,75.0,75.0,80,7,0,0,,,,,,,69,69,,-2,0,0,0.0,0.0,0.0,0,0,0,10.0,4.0,-998.0,62,65,10,0,87.25,35
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-09-05T15:51:09.621,0.208,0.208,0.208,-1,-100,-100,-100,,,,75.0,150.0,80,8,0,0,,,,,,,84,84,,0,2,0,0.0,0.0,0.0,0,0,0,36.0,-1.0,-999.0,58,60,6553,0,87.88,41
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-05T15:51:09.621,0.208,0.208,0.208,-1,-100,-100,-100,,,,150.0,75.0,80,1,0,0,,,,,,,82,82,,1,0,0,0.0,0.0,0.0,0,0,0,-5.0,-17.0,-998.0,59,63,10,0,86.56,44
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-09-05T15:51:09.728,0.315,0.315,0.315,-1,-100,-100,-100,,,,0.0,75.0,80,5,0,0,,,,,,,81,81,,-1,0,0,0.0,0.0,0.0,0,0,0,-5.0,-28.0,-996.0,61,63,10,0,86.42,29
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-09-05T15:51:09.728,0.315,0.315,0.315,-1,-100,-100,-100,,,,75.0,0.0,80,6,0,0,,,,,,,81,81,,0,0,0,0.0,0.0,0.0,0,0,0,12.0,-4.0,-1000.0,62,65,10,0,87.53,33
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-09-05T15:51:09.728,0.315,0.315,0.315,-1,-100,-100,-100,,,,75.0,75.0,80,7,0,0,,,,,,,69,69,,-2,0,0,0.0,0.0,0.0,0,0,0,9.0,0.0,-999.0,62,65,10,0,87.25,36
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-09-05T15:51:09.728,0.315,0.315,0.315,-1,-100,-100,-100,,,,75.0,150.0,80,8,0,0,,,,,,,84,84,,0,2,0,0.0,0.0,0.0,0,0,0,35.0,12.0,-999.0,58,60,6553,0,87.88,41
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-05T15:51:09.728,0.315,0.315,0.315,-1,-100,-100,-100,,,,150.0,75.0,80,1,0,0,,,,,,,82,82,,1,0,0,0.0,0.0,0.0,0,0,0,-4.0,-14.0,-999.0,59,63,10,0,86.56,44
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-09-05T15:51:09.865,0.453,0.453,0.453,-1,-100,-100,-100,,,,0.0,75.0,80,5,0,0,,,,,,,81,81,,-1,0,0,0.0,0.0,0.0,0,0,0,62.0,-14.0,-1003.0,61,63,10,0,86.42,30
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-09-05T15:51:09.865,0.453,0.453,0.453,-1,-100,-100,-100,,,,75.0,0.0,80,6,0,0,,,,,,,81,81,,0,0,0,0.0,0.0,0.0,0,0,0,5.0,-9.0,-1015.0,62,65,10,0,87.53,33
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-09-05T15:51:09.865,0.453,0.453,0.453,-1,-100,-100,-100,,,,75.0,75.0,80,7,0,0,,,,,,,69,69,,-1,0,0,0.0,0.0,0.0,0,0,0,12.0,10.0,-1015.0,62,65,10,0,87.25,36
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-09-05T15:51:09.865,0.453,0.453,0.453,-1,-100,-100,-100,,,,75.0,150.0,80,8,0,0,,,,,,,84,84,,0,2,0,0.0,0.0,0.0,0,0,0,32.0,-9.0,-992.0,58,60,6553,0,87.88,41
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-05T15:51:09.865,0.453,0.453,0.453,-1,-100,-100,-100,,,,150.0,75.0,80,1,0,0,,,,,,,82,82,,1,0,0,0.0,0.0,0.0,0,0,0,-5.0,-28.0,-1000.0,60,63,10,0,86.56,45
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-09-05T15:51:09.967,0.555,0.555,0.555,-1,-100,-100,-100,,,,0.0,75.0,80,5,0,0,,,,,,,81,81,,-1,0,0,0.0,0.0,0.0,0,0,0,15.0,17.0,-1005.0,61,63,10,0,86.42,30
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-09-05T15:51:09.967,0.555,0.555,0.555,-1,-100,-100,-100,,,,75.0,0.0,80,6,0,0,,,,,,,81,81,,0,0,0,0.0,0.0,0.0,0,0,0,-7.0,-8.0,-985.0,62,65,10,0,87.53,33
20260905_155105,wind_tunnel_diamond_75_side_no_wind_prepare,diamond,side wind,no wind,75,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-09-05T15:51:09.967,0.555,0.555,0.555,-1,-100,-100,-100,,,,75.0,75.0,80,7,0,0,,,,,,,69,69,,0,0,0,0.0,0.0,0.0,0,0,0,-13.0,18.0,-976.0,62,65,10,0,87.25,36
