run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,soc_mode,target_soc_percent,soc_tolerance_percent,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,mission_pad_pitch,mission_pad_roll,mission_pad_yaw,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260908_210026,wind_tunnel_echalon_50_head_lv1_003,echalon,head wind,Level1,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-09-08T21:00:28.891,0.0,0.0,0.0,-1,-100,-100,-100,,,,70.71067811865474,70.71067811865474,80,7,0,0,,,,,,,76,76,,-2,0,0,0.0,0.0,0.0,0,0,0,-10.0,2.0,-998.0,61,63,6553,0,-55.32,72
20260908_210026,wind_tunnel_echalon_50_head_lv1_003,echalon,head wind,Level1,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-09-08T21:00:28.994,0.103,0.103,0.103,-1,-100,-100,-100,,,,70.71067811865474,70.71067811865474,80,7,0,0,,,,,,,76,76,,-2,0,0,0.0,0.0,0.0,0,0,0,-8.0,3.0,-1000.0,61,63,6553,0,-55.27,72
20260908_210026,wind_tunnel_echalon_50_head_lv1_003,echalon,head wind,Level1,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-09-08T21:00:29.098,0.207,0.207,0.207,-1,-100,-100,-100,,,,70.71067811865474,70.71067811865474,80,7,0,0,,,,,,,76,76,,-2,0,0,0.0,0.0,0.0,0,0,0,-7.0,0.0,-999.0,61,63,6553,0,-55.31,72
20260908_210026,wind_tunnel_echalon_50_head_lv1_003,echalon,head wind,Level1,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-09-08T21:00:29.202,0.311,0.311,0.311,-1,-100,-100,-100,,,,70.71067811865474,70.71067811865474,80,7,0,0,,,,,,,76,76,,-2,0,0,0.0,0.0,0.0,0,0,0,-14.0,3.0,-999.0,61,63,6553,0,-55.31,72
20260908_210026,wind_tunnel_echalon_50_head_lv1_003,echalon,head wind,Level1,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-09-08T21:00:29.308,0.417,0.417,0.417,-1,-100,-100,-100,,,,70.71067811865474,70.71067811865474,80,7,0,0,,,,,,,76,76,,-2,0,0,0.0,0.0,0.0,0,0,0,0.0,-1.0,-1003.0,61,63,6553,0,-55.31,72
20260908_210026,wind_tunnel_echalon_50_head_lv1_003,echalon,head wind,Level1,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-09-08T21:00:29.415,0.524,0.524,0.524,-1,-100,-100,-100,,,,70.71067811865474,70.71067811865474,80,7,0,0,,,,,,,76,76,,-3,0,0,0.0,0.0,0.0,0,0,0,-72.0,4.0,-1026.0,61,63,6553,0,-55.31,72
20260908_210026,wind_tunnel_echalon_50_head_lv1_003,echalon,head wind,Level1,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-09-08T21:00:29.522,0.631,0.631,0.631,-1,-100,-100,-100,,,,70.71067811865474,70.71067811865474,80,7,0,0,,,,,,,76,76,,-3,0,0,0.0,0.0,0.0,0,0,0,-14.0,0.0,-1126.0,62,64,6553,0,-55.31,72
20260908_210026,wind_tunnel_echalon_50_head_lv1_003,echalon,head wind,Level1,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-09-08T21:00:29.629,0.738,0.738,0.738,-1,-100,-100,-100,,,,70.71067811865474,70.71067811865474,80,7,0,0,,,,,,,76,76,,-4,0,0,0.0,0.0,0.0,0,0,1,5.0,22.0,-1202.0,62,64,10,0,-55.31,72
20260908_210026,wind_tunnel_echalon_50_head_lv1_003,echalon,head wind,Level1,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-09-08T21:00:29.734,0.842,0.842,0.842,-1,-100,-100,-100,,,,70.71067811865474,70.71067811865474,80,7,0,0,,,,,,,76,76,,-4,-1,0,0.0,0.0,0.0,0,0,4,-36.0,3.0,-1315.0,62,64,10,0,-55.31,72
20260908_210026,wind_tunnel_echalon_50_head_lv1_003,echalon,head wind,Level1,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-09-08T21:00:29.841,0.95,0.95,0.95,-1,-100,-100,-100,,,,70.71067811865474,70.71067811865474,80,7,0,0,,,,,,,76,76,,-3,-1,-1,0.0,0.0,0.0,0,0,6,-11.0,4.0,-1137.0,62,64,10,0,-55.31,72
