run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,soc_mode,target_soc_percent,soc_tolerance_percent,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,mission_pad_pitch,mission_pad_roll,mission_pad_yaw,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260908_193626,wind_tunnel_front_50_tail_lv2_003,front,tail wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-08T19:36:30.060,0.0,0.0,0.0,-1,-100,-100,-100,,,,200,0,80,1,0,0,,,,,,,64,64,,1,0,0,0.0,0.0,0.0,0,0,0,-3.0,-10.0,-999.0,63,66,6553,0,-54.9,253
20260908_193626,wind_tunnel_front_50_tail_lv2_003,front,tail wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-08T19:36:30.168,0.108,0.108,0.108,-1,-100,-100,-100,,,,200,0,80,1,0,0,,,,,,,64,64,,1,0,0,0.0,0.0,0.0,0,0,0,-3.0,-9.0,-999.0,63,66,6553,0,-54.88,253
20260908_193626,wind_tunnel_front_50_tail_lv2_003,front,tail wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-08T19:36:30.274,0.215,0.215,0.215,-1,-100,-100,-100,,,,200,0,80,1,0,0,,,,,,,64,64,,1,0,0,0.0,0.0,0.0,0,0,0,-5.0,-10.0,-1002.0,63,66,6553,0,-54.89,253
20260908_193626,wind_tunnel_front_50_tail_lv2_003,front,tail wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-08T19:36:30.381,0.322,0.322,0.322,-1,-100,-100,-100,,,,200,0,80,1,0,0,,,,,,,64,64,,1,0,0,0.0,0.0,0.0,0,0,0,-3.0,-11.0,-1002.0,63,66,6553,0,-54.89,253
20260908_193626,wind_tunnel_front_50_tail_lv2_003,front,tail wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-08T19:36:30.484,0.425,0.425,0.425,-1,-100,-100,-100,,,,200,0,80,1,0,0,,,,,,,64,64,,2,0,0,0.0,0.0,0.0,0,0,0,0.0,-8.0,-1002.0,63,66,6553,0,-54.89,253
20260908_193626,wind_tunnel_front_50_tail_lv2_003,front,tail wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-08T19:36:30.590,0.53,0.53,0.53,-1,-100,-100,-100,,,,200,0,80,1,0,0,,,,,,,64,64,,2,0,0,0.0,0.0,0.0,0,0,0,-8.0,-5.0,-999.0,63,66,6553,0,-54.89,253
20260908_193626,wind_tunnel_front_50_tail_lv2_003,front,tail wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-08T19:36:30.696,0.636,0.636,0.636,-1,-100,-100,-100,,,,200,0,80,1,0,0,,,,,,,64,64,,2,0,0,0.0,0.0,0.0,0,0,0,-18.0,-13.0,-1010.0,63,66,6553,0,-54.89,253
20260908_193626,wind_tunnel_front_50_tail_lv2_003,front,tail wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-08T19:36:30.802,0.742,0.742,0.742,-1,-100,-100,-100,,,,200,0,80,1,0,0,,,,,,,64,64,,2,-1,0,0.0,0.0,0.0,0,0,0,18.0,-6.0,-998.0,63,66,10,0,-54.89,253
20260908_193626,wind_tunnel_front_50_tail_lv2_003,front,tail wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-08T19:36:30.912,0.853,0.853,0.853,-1,-100,-100,-100,,,,200,0,80,1,0,0,,,,,,,64,64,,1,0,0,0.0,0.0,0.0,0,0,2,-13.0,5.0,-1247.0,63,66,10,0,-54.89,253
20260908_193626,wind_tunnel_front_50_tail_lv2_003,front,tail wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-08T19:36:31.019,0.959,0.959,0.959,-1,-100,-100,-100,,,,200,0,80,1,0,0,,,,,,,64,64,,1,0,0,0.0,0.0,0.0,0,0,5,-5.0,26.0,-1312.0,63,66,10,0,-54.89,253
