run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,soc_mode,target_soc_percent,soc_tolerance_percent,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260829_234238,wind_tunnel_front_75_head_lv1_practice2,front,head wind,Level1,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-29T23:42:42.259,0.0,0.0,0.0,-1,-100,-100,-100,,,,225,0,80,8,0,0,,,,,,,94,94,,0,0,1,0,0,0,8.0,-19.0,-999.0,64,67,10,0,-111.1,0
20260829_234238,wind_tunnel_front_75_head_lv1_practice2,front,head wind,Level1,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-29T23:42:42.367,0.108,0.108,0.108,-1,-100,-100,-100,,,,225,0,80,8,0,0,,,,,,,94,94,,0,0,1,0,0,0,8.0,-18.0,-999.0,64,67,10,0,-111.06,0
20260829_234238,wind_tunnel_front_75_head_lv1_practice2,front,head wind,Level1,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-29T23:42:42.473,0.214,0.214,0.214,-1,-100,-100,-100,,,,225,0,80,8,0,0,,,,,,,94,94,,0,0,1,0,0,0,10.0,-19.0,-998.0,64,67,10,0,-111.07,0
20260829_234238,wind_tunnel_front_75_head_lv1_practice2,front,head wind,Level1,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-29T23:42:42.579,0.321,0.321,0.321,-1,-100,-100,-100,,,,225,0,80,8,0,0,,,,,,,94,94,,0,0,1,0,0,0,14.0,-19.0,-996.0,64,67,10,0,-111.07,0
20260829_234238,wind_tunnel_front_75_head_lv1_practice2,front,head wind,Level1,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-29T23:42:42.683,0.424,0.424,0.424,-1,-100,-100,-100,,,,225,0,80,8,0,0,,,,,,,94,94,,0,0,1,0,0,0,23.0,-13.0,-1001.0,64,67,10,0,-111.07,0
20260829_234238,wind_tunnel_front_75_head_lv1_practice2,front,head wind,Level1,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-29T23:42:42.789,0.53,0.53,0.53,-1,-100,-100,-100,,,,225,0,80,8,0,0,,,,,,,94,94,,0,0,1,0,0,0,-23.0,1.0,-1054.0,64,67,10,0,-111.07,0
20260829_234238,wind_tunnel_front_75_head_lv1_practice2,front,head wind,Level1,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-29T23:42:42.897,0.639,0.639,0.639,-1,-100,-100,-100,,,,225,0,80,8,0,0,,,,,,,94,94,,0,0,0,0,0,0,7.0,-10.0,-1204.0,64,67,10,0,-111.07,0
20260829_234238,wind_tunnel_front_75_head_lv1_practice2,front,head wind,Level1,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-29T23:42:43.000,0.741,0.741,0.741,-1,-100,-100,-100,,,,225,0,80,8,0,0,,,,,,,94,94,,0,0,0,0,0,1,16.0,-3.0,-1327.0,64,67,10,0,-111.07,0
20260829_234238,wind_tunnel_front_75_head_lv1_practice2,front,head wind,Level1,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-29T23:42:43.106,0.848,0.848,0.848,-1,-100,-100,-100,,,,225,0,80,8,0,0,,,,,,,94,94,,0,0,0,0,0,4,-3.0,-2.0,-1228.0,64,67,10,0,-111.07,0
20260829_234238,wind_tunnel_front_75_head_lv1_practice2,front,head wind,Level1,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-29T23:42:43.213,0.955,0.955,0.955,-1,-100,-100,-100,,,,225,0,80,8,0,0,,,,,,,94,94,,0,0,0,0,0,6,-12.0,-8.0,-1059.0,64,67,14,0,-110.89,0
