run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,soc_mode,target_soc_percent,soc_tolerance_percent,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,mission_pad_pitch,mission_pad_roll,mission_pad_yaw,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260830_173838,wind_tunnel_front_75_head_lv2_prepare3,front,head wind,Level2,75,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-08-30T17:38:42.300,0.0,0.0,0.0,-1,-100,-100,-100,,,,0,0,80,5,0,0,,,,,,,67,67,,-1,0,0,0.0,0.0,0.0,0,0,0,-15.0,3.0,-999.0,63,65,10,0,-97.69,30
20260830_173838,wind_tunnel_front_75_head_lv2_prepare3,front,head wind,Level2,75,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-08-30T17:38:42.300,0.0,0.0,0.0,-1,-100,-100,-100,,,,75,0,80,6,0,0,,,,,,,78,78,,0,0,0,0.0,0.0,0.0,0,0,0,-9.0,-2.0,-1000.0,67,70,10,0,-96.75,33
20260830_173838,wind_tunnel_front_75_head_lv2_prepare3,front,head wind,Level2,75,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-08-30T17:38:42.300,0.0,0.0,0.0,-1,-100,-100,-100,,,,150,0,80,7,0,0,,,,,,,58,58,,-38,0,0,0.0,0.0,0.0,0,0,0,-6.0,-5.0,-999.0,60,62,6553,0,-96.92,26
20260830_173838,wind_tunnel_front_75_head_lv2_prepare3,front,head wind,Level2,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-30T17:38:42.300,0.0,0.0,0.0,-1,-100,-100,-100,,,,225,0,80,8,0,0,,,,,,,44,44,,-6,0,0,0.0,0.0,0.0,0,0,0,4.0,-12.0,-998.0,57,59,10,0,-96.34,39
20260830_173838,wind_tunnel_front_75_head_lv2_prepare3,front,head wind,Level2,75,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-08-30T17:38:42.300,0.0,0.0,0.0,-1,-100,-100,-100,,,,300,0,80,1,0,0,,,,,,,26,26,,13,1,0,0.0,0.0,0.0,0,0,0,32.0,7.0,-1001.0,58,62,6553,0,-97.49,43
20260830_173838,wind_tunnel_front_75_head_lv2_prepare3,front,head wind,Level2,75,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-08-30T17:38:42.407,0.107,0.107,0.107,-1,-100,-100,-100,,,,0,0,80,5,0,0,,,,,,,67,67,,-1,0,0,0.0,0.0,0.0,0,0,0,-16.0,2.0,-1000.0,63,65,10,0,-97.71,30
20260830_173838,wind_tunnel_front_75_head_lv2_prepare3,front,head wind,Level2,75,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-08-30T17:38:42.407,0.107,0.107,0.107,-1,-100,-100,-100,,,,75,0,80,6,0,0,,,,,,,78,78,,0,0,0,0.0,0.0,0.0,0,0,0,-7.0,0.0,-1002.0,67,70,10,0,-96.71,34
20260830_173838,wind_tunnel_front_75_head_lv2_prepare3,front,head wind,Level2,75,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-08-30T17:38:42.407,0.107,0.107,0.107,-1,-100,-100,-100,,,,150,0,80,7,0,0,,,,,,,58,58,,-38,0,0,0.0,0.0,0.0,0,0,0,-8.0,-3.0,-1000.0,60,62,6553,0,-96.91,26
20260830_173838,wind_tunnel_front_75_head_lv2_prepare3,front,head wind,Level2,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-30T17:38:42.407,0.107,0.107,0.107,-1,-100,-100,-100,,,,225,0,80,8,0,0,,,,,,,44,44,,-6,0,0,0.0,0.0,0.0,0,0,0,4.0,-13.0,-1000.0,57,59,10,0,-96.3,39
20260830_173838,wind_tunnel_front_75_head_lv2_prepare3,front,head wind,Level2,75,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-08-30T17:38:42.407,0.107,0.107,0.107,-1,-100,-100,-100,,,,300,0,80,1,0,0,,,,,,,26,26,,13,1,0,0.0,0.0,0.0,0,0,0,30.0,8.0,-998.0,58,62,6553,0,-97.53,43
20260830_173838,wind_tunnel_front_75_head_lv2_prepare3,front,head wind,Level2,75,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-08-30T17:38:42.509,0.209,0.209,0.209,-1,-100,-100,-100,,,,0,0,80,5,0,0,,,,,,,67,67,,-1,0,0,0.0,0.0,0.0,0,0,0,-17.0,1.0,-998.0,63,65,10,0,-97.72,30
20260830_173838,wind_tunnel_front_75_head_lv2_prepare3,front,head wind,Level2,75,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-08-30T17:38:42.509,0.209,0.209,0.209,-1,-100,-100,-100,,,,75,0,80,6,0,0,,,,,,,78,78,,0,0,0,0.0,0.0,0.0,0,0,0,-7.0,0.0,-1002.0,67,70,10,0,-96.71,34
20260830_173838,wind_tunnel_front_75_head_lv2_prepare3,front,head wind,Level2,75,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-08-30T17:38:42.509,0.209,0.209,0.209,-1,-100,-100,-100,,,,150,0,80,7,0,0,,,,,,,58,58,,-38,0,0,0.0,0.0,0.0,0,0,0,-8.0,-3.0,-1000.0,60,62,6553,0,-96.91,26
20260830_173838,wind_tunnel_front_75_head_lv2_prepare3,front,head wind,Level2,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-30T17:38:42.509,0.209,0.209,0.209,-1,-100,-100,-100,,,,225,0,80,8,0,0,,,,,,,44,44,,-6,0,0,0.0,0.0,0.0,0,0,0,-1.0,-5.0,-997.0,57,59,10,0,-96.32,39
20260830_173838,wind_tunnel_front_75_head_lv2_prepare3,front,head wind,Level2,75,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-08-30T17:38:42.509,0.209,0.209,0.209,-1,-100,-100,-100,,,,300,0,80,1,0,0,,,,,,,26,26,,13,1,0,0.0,0.0,0.0,0,0,0,32.0,8.0,-996.0,59,62,6553,0,-97.52,43
20260830_173838,wind_tunnel_front_75_head_lv2_prepare3,front,head wind,Level2,75,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-08-30T17:38:42.614,0.314,0.314,0.314,-1,-100,-100,-100,,,,0,0,80,5,0,0,,,,,,,67,67,,-1,0,0,0.0,0.0,0.0,0,0,0,-15.0,1.0,-1002.0,63,66,10,0,-97.72,30
20260830_173838,wind_tunnel_front_75_head_lv2_prepare3,front,head wind,Level2,75,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-08-30T17:38:42.614,0.314,0.314,0.314,-1,-100,-100,-100,,,,75,0,80,6,0,0,,,,,,,78,78,,0,0,0,0.0,0.0,0.0,0,0,0,-10.0,-12.0,-995.0,67,69,10,0,-96.71,34
20260830_173838,wind_tunnel_front_75_head_lv2_prepare3,front,head wind,Level2,75,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-08-30T17:38:42.614,0.314,0.314,0.314,-1,-100,-100,-100,,,,150,0,80,7,0,0,,,,,,,58,58,,-38,0,0,0.0,0.0,0.0,0,0,0,1.0,-16.0,-1003.0,60,62,6553,0,-96.91,26
20260830_173838,wind_tunnel_front_75_head_lv2_prepare3,front,head wind,Level2,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-30T17:38:42.614,0.314,0.314,0.314,-1,-100,-100,-100,,,,225,0,80,8,0,0,,,,,,,44,44,,-6,0,0,0.0,0.0,0.0,0,0,0,0.0,-16.0,-996.0,57,59,10,0,-96.32,39
20260830_173838,wind_tunnel_front_75_head_lv2_prepare3,front,head wind,Level2,75,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-08-30T17:38:42.614,0.314,0.314,0.314,-1,-100,-100,-100,,,,300,0,80,1,0,0,,,,,,,26,26,,13,1,0,0.0,0.0,0.0,0,0,0,26.0,5.0,-1001.0,59,62,6553,0,-97.52,43
20260830_173838,wind_tunnel_front_75_head_lv2_prepare3,front,head wind,Level2,75,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-08-30T17:38:42.719,0.419,0.419,0.419,-1,-100,-100,-100,,,,0,0,80,5,0,0,,,,,,,67,67,,-1,0,0,0.0,0.0,0.0,0,0,0,-11.0,-5.0,-1000.0,63,66,10,0,-97.72,30
20260830_173838,wind_tunnel_front_75_head_lv2_prepare3,front,head wind,Level2,75,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-08-30T17:38:42.719,0.419,0.419,0.419,-1,-100,-100,-100,,,,75,0,80,6,0,0,,,,,,,78,78,,0,0,0,0.0,0.0,0.0,0,0,0,15.0,-4.0,-1005.0,67,69,10,0,-96.71,34
20260830_173838,wind_tunnel_front_75_head_lv2_prepare3,front,head wind,Level2,75,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-08-30T17:38:42.719,0.419,0.419,0.419,-1,-100,-100,-100,,,,150,0,80,7,0,0,,,,,,,58,58,,-38,0,0,0.0,0.0,0.0,0,0,0,-3.0,-3.0,-1001.0,60,63,6553,0,-96.91,26
20260830_173838,wind_tunnel_front_75_head_lv2_prepare3,front,head wind,Level2,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-30T17:38:42.719,0.419,0.419,0.419,-1,-100,-100,-100,,,,225,0,80,8,0,0,,,,,,,44,44,,-6,0,0,0.0,0.0,0.0,0,0,0,10.0,-16.0,-1006.0,57,59,10,0,-96.32,39
20260830_173838,wind_tunnel_front_75_head_lv2_prepare3,front,head wind,Level2,75,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-08-30T17:38:42.719,0.419,0.419,0.419,-1,-100,-100,-100,,,,300,0,80,1,0,0,,,,,,,26,26,,13,1,0,0.0,0.0,0.0,0,0,0,38.0,22.0,-993.0,59,62,6553,0,-97.52,43
