run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260504_205529,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B05,3,front_3,3,2,0,hover_recenter,2026-05-04T20:55:50.421,20.836,0.0,3,-1,0,86,99,0,86,100,0,80,1,0,-6,6.083,7.33,14.058,48,48,,0,-2,0,0,0,0,-88.0,5.0,-972.0,69,72,87,100,14.55,55
20260504_205529,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B05,3,front_3,3,2,0,hover_recenter,2026-05-04T20:55:50.530,20.945,0.109,3,-1,5,87,99,5,87,100,0,80,1,-5,-7,8.66,8.532,17.332,48,48,,0,-4,0,1,0,0,-69.0,3.0,-973.0,69,72,87,100,14.53,55
20260504_205529,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B05,3,front_3,3,2,0,hover_recenter,2026-05-04T20:55:50.637,21.052,0.216,3,-1,5,87,99,5,87,100,0,80,1,-5,-7,8.66,8.532,17.332,48,48,,0,-5,-1,1,0,0,-86.0,-7.0,-975.0,69,72,87,100,14.5,55
20260504_205529,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B05,3,front_3,3,2,0,hover_recenter,2026-05-04T20:55:50.742,21.158,0.322,3,-1,5,87,99,5,87,100,0,80,1,-5,-7,8.66,8.532,17.332,48,48,,0,-5,0,1,0,0,-65.0,10.0,-979.0,69,72,87,100,14.56,55
20260504_205529,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B05,3,front_3,3,2,0,hover_recenter,2026-05-04T20:55:50.846,21.262,0.426,3,-1,5,87,99,5,87,100,0,80,1,-5,-7,8.66,9.265,19.112,48,48,,0,-5,0,0,0,0,-56.0,15.0,-979.0,69,72,87,100,14.65,55
20260504_205529,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B05,3,front_3,3,2,0,hover_recenter,2026-05-04T20:55:50.953,21.369,0.533,3,1,-4,87,101,-4,87,100,0,80,-1,4,-7,8.124,9.644,19.112,48,48,,0,-4,0,0,0,0,-67.0,24.0,-968.0,69,72,86,100,14.5,55
20260504_205529,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B05,3,front_3,3,2,0,hover_recenter,2026-05-04T20:55:51.059,21.474,0.638,3,1,-4,87,101,-4,87,100,0,80,-1,4,-7,8.124,9.644,19.112,48,48,,0,-4,0,0,0,0,-95.0,23.0,-987.0,69,72,85,100,14.58,56
20260504_205529,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B05,3,front_3,3,2,0,hover_recenter,2026-05-04T20:55:51.164,21.58,0.744,3,1,-4,87,101,-4,87,100,0,80,-1,4,-7,8.124,10.052,20.082,48,48,,0,-4,-1,0,0,0,-86.0,-7.0,-1002.0,69,72,84,100,14.46,56
20260504_205529,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B05,3,front_3,3,2,0,hover_recenter,2026-05-04T20:55:51.270,21.686,0.85,3,1,-4,87,101,-4,87,100,0,80,-1,4,-7,8.124,10.03,20.082,48,48,,0,-4,-1,0,0,0,-89.0,4.0,-1025.0,69,72,83,100,14.29,56
20260504_205529,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B05,3,front_3,3,2,0,hover_recenter,2026-05-04T20:55:51.376,21.792,0.956,3,2,-8,86,102,-8,86,100,0,80,-2,8,-6,10.198,10.931,22.009,48,48,,0,-5,0,0,0,0,-68.0,3.0,-1004.0,69,72,84,100,14.54,56
20260504_205529,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B05,3,front_3,3,2,0,hover_recenter,2026-05-04T20:55:51.481,21.897,1.061,3,2,-8,86,102,-8,86,100,0,80,-2,8,-6,10.198,10.931,22.009,48,48,,0,-5,0,0,0,0,-81.0,11.0,-1007.0,69,72,83,100,14.51,56
20260504_205529,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B05,3,front_3,3,2,0,hover_recenter,2026-05-04T20:55:51.589,22.004,1.168,3,2,-8,86,102,-8,86,100,0,80,-2,8,-6,10.198,8.912,17.037,48,48,,0,-5,0,0,0,0,-64.0,0.0,-966.0,69,72,82,100,14.57,56
20260504_205529,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B05,3,front_3,3,2,0,hover_recenter,2026-05-04T20:55:51.696,22.112,1.276,3,0,-4,84,100,-4,84,100,0,80,0,4,-4,5.657,6.612,14.114,48,48,,0,-5,-1,0,0,0,-59.0,-19.0,-991.0,69,72,81,100,14.57,56
20260504_205529,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B05,3,front_3,3,2,0,hover_recenter,2026-05-04T20:55:51.800,22.215,1.379,3,0,-4,84,100,-4,84,100,0,80,0,4,-4,5.657,6.612,14.114,48,48,,0,-4,-1,0,0,0,-51.0,-24.0,-1020.0,69,72,81,100,14.52,56
20260504_205529,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B05,3,front_3,3,2,0,hover_recenter,2026-05-04T20:55:51.905,22.32,1.484,3,0,-4,84,100,-4,84,100,0,80,0,4,-4,5.657,6.612,14.114,48,48,,0,-4,-1,0,0,0,-51.0,-24.0,-1020.0,69,72,81,100,14.52,56
20260504_205529,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B05,3,front_3,3,2,0,hover_recenter,2026-05-04T20:55:52.011,22.426,1.59,3,0,-4,84,100,-4,84,100,0,80,0,4,-4,5.657,6.226,14.114,48,48,,0,-4,0,0,0,0,-60.0,-13.0,-1010.0,70,71,81,100,14.49,57
20260504_205529,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B05,3,front_3,3,2,0,hover_recenter,2026-05-04T20:55:52.113,22.529,1.693,3,0,-4,84,100,-4,84,100,0,80,0,4,-4,5.657,4.53,10.038,48,48,,0,-3,1,0,0,0,-64.0,0.0,-1011.0,70,71,82,100,14.38,57
20260504_205529,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B05,3,front_3,3,2,0,hover_recenter,2026-05-04T20:55:52.220,22.635,1.799,3,0,-4,84,100,-4,84,100,0,80,0,4,-4,5.657,4.53,10.038,48,48,,0,-3,1,0,0,0,-83.0,3.0,-1002.0,70,71,82,100,14.54,57
20260504_205529,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B05,3,front_3,3,2,0,hover_recenter,2026-05-04T20:55:52.325,22.74,1.904,3,0,-4,84,100,-4,84,100,0,80,0,4,-4,5.657,4.53,10.038,48,48,,0,-4,1,0,0,0,-37.0,0.0,-967.0,70,71,82,100,14.6,57
20260504_205529,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B05,3,front_3,3,2,0,hover_recenter,2026-05-04T20:55:52.431,22.847,2.011,3,6,-20,78,106,-20,78,100,0,80,-6,20,2,20.976,5.749,15.447,48,48,,0,-3,0,0,0,0,-45.0,13.0,-992.0,70,71,83,100,14.65,57
20260504_205529,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B05,3,front_3,3,2,0,hover_recenter,2026-05-04T20:55:52.537,22.952,2.117,3,6,-20,78,106,-20,78,100,0,80,-6,20,2,20.976,4.446,11.83,48,48,,0,-2,1,0,0,0,-33.0,3.0,-999.0,70,71,83,100,14.61,57
20260504_205529,front_head_lv1_prepare,front,head wind,Level1,drone_3,192.168.0.103,B05,3,front_3,3,2,0,hover_recenter,2026-05-04T20:55:52.642,23.057,2.221,3,6,-20,78,106,-20,78,100,0,80,-6,20,2,20.976,4.446,11.83,48,48,,0,-3,0,0,0,0,-61.0,-12.0,-1022.0,70,71,82,100,14.62,57
