run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260506_144926,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B07,3,front_3,3,2,0,node_segment_1,2026-05-06T14:49:46.777,20.219,0.0,0.0,3,-10,-18,87,90,-18,87,100,250,80,8,250,10,10,268,-7,268.278,9.549,18.112,73,73,,1,-2,0,0,0,0,-9.0,18.0,-956.0,65,67,86,70,3.07,77
20260506_144926,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B07,3,front_3,3,2,0,node_segment_1,2026-05-06T14:49:46.886,20.328,0.109,0.109,3,-10,-18,87,90,-18,87,100,250,80,8,250,10,10,268,-7,268.278,9.381,18.112,73,73,,1,-2,0,0,0,0,-35.0,56.0,-997.0,65,67,85,70,3.16,78
20260506_144926,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B07,3,front_3,3,2,0,node_segment_1,2026-05-06T14:49:46.993,20.435,0.216,0.216,3,-10,-18,87,90,-18,87,100,250,80,8,250,10,10,268,-7,268.278,9.381,18.112,73,73,,1,-2,-1,0,0,0,-23.0,20.0,-1033.0,65,67,84,70,3.04,78
20260506_144926,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B07,3,front_3,3,2,0,node_segment_1,2026-05-06T14:49:47.095,20.537,0.318,0.318,3,-10,-18,87,90,-18,87,100,250,80,8,250,10,10,268,-7,268.278,10.721,21.057,73,73,,1,-2,-3,0,0,0,-36.0,-13.0,-1003.0,65,67,84,70,2.88,78
20260506_144926,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B07,3,front_3,3,2,0,node_segment_1,2026-05-06T14:49:47.201,20.643,0.424,0.424,3,-10,-18,87,90,-18,87,100,250,80,8,250,10,10,268,-7,268.278,10.319,20.082,73,73,,1,-2,-2,0,0,0,-22.0,-3.0,-1022.0,65,67,84,70,3.08,78
20260506_144926,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B07,3,front_3,3,2,0,node_segment_1,2026-05-06T14:49:47.303,20.745,0.526,0.526,3,-10,-18,87,90,-18,87,100,250,80,8,250,10,10,268,-7,268.278,10.319,20.082,73,73,,1,-2,0,-1,0,0,-32.0,-5.0,-991.0,65,67,84,70,3.12,78
20260506_144926,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B07,3,front_3,3,2,0,node_segment_1,2026-05-06T14:49:47.411,20.853,0.634,0.634,3,0,-14,85,100,-14,85,100,250,80,8,250,10,0,264,-5,264.047,10.141,21.145,73,73,,1,-2,0,-1,0,0,-35.0,17.0,-982.0,65,67,84,70,3.12,78
20260506_144926,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B07,3,front_3,3,2,0,node_segment_1,2026-05-06T14:49:47.516,20.959,0.74,0.74,3,0,-14,85,100,-14,85,100,250,80,8,250,10,0,264,-5,264.047,10.745,22.441,73,73,,1,-2,0,-1,0,0,-47.0,13.0,-967.0,65,67,84,70,2.93,78
20260506_144926,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B07,3,front_3,3,2,0,node_segment_1,2026-05-06T14:49:47.622,21.064,0.845,0.845,3,0,-14,85,100,-14,85,100,250,80,8,250,10,0,264,-5,264.047,10.97,22.441,73,73,,1,-1,0,-1,0,0,-11.0,-1.0,-1018.0,65,67,83,70,2.92,78
20260506_144926,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B07,3,front_3,3,2,0,node_segment_1,2026-05-06T14:49:47.728,21.17,0.951,0.951,3,-4,-4,86,96,-4,86,100,250,80,8,250,10,4,254,-6,254.102,10.456,22.441,73,73,,0,-1,0,-1,0,0,-38.0,-3.0,-1029.0,65,67,81,70,2.99,78
