run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260506_144926,front_head_lv1_001,front,head wind,Level1,drone_1,192.168.0.101,B06,1,front_1,1,0,0,node_logging,2026-05-06T14:49:46.777,20.219,0.0,0.0,1,-13,-3,80,-13,-3,80,0,250,80,6,250,10,13,253,0,253.334,9.549,18.112,84,84,,0,0,0,0,0,0,45.0,19.0,-984.0,66,69,81,80,2.47,72
20260506_144926,front_head_lv1_001,front,head wind,Level1,drone_2,192.168.0.102,B04,2,front_2,2,1,0,node_segment_1,2026-05-06T14:49:46.777,20.219,0.0,0.0,2,-8,-2,82,42,-2,82,50,250,80,7,250,10,8,252,-2,252.135,9.549,18.112,87,87,,-3,0,0,0,0,0,-16.0,5.0,-981.0,65,68,79,70,2.32,76
20260506_144926,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B07,3,front_3,3,2,0,node_segment_1,2026-05-06T14:49:46.777,20.219,0.0,0.0,3,-10,-18,87,90,-18,87,100,250,80,8,250,10,10,268,-7,268.278,9.549,18.112,73,73,,1,-2,0,0,0,0,-9.0,18.0,-956.0,65,67,86,70,3.07,77
20260506_144926,front_head_lv1_001,front,head wind,Level1,drone_4,192.168.0.106,B08,4,front_4,4,3,0,node_segment_1,2026-05-06T14:49:46.777,20.219,0.0,0.0,4,-1,2,86,149,2,86,150,250,80,1,250,10,1,248,-6,248.075,9.549,18.112,84,84,,-19,-5,0,0,0,0,-75.0,-5.0,-979.0,60,63,84,80,3.71,77
20260506_144926,front_head_lv1_001,front,head wind,Level1,drone_5,192.168.0.107,B10,5,front_5,5,4,0,node_segment_1,2026-05-06T14:49:46.777,20.219,0.0,0.0,5,5,4,86,205,4,86,200,250,80,2,250,10,-5,246,-6,246.124,9.549,18.112,79,79,,53,0,0,0,0,0,-14.0,-31.0,-985.0,61,64,84,70,2.74,76
20260506_144926,front_head_lv1_001,front,head wind,Level1,drone_1,192.168.0.101,B06,1,front_1,1,0,0,node_segment_1,2026-05-06T14:49:46.886,20.328,0.109,0.109,1,-13,-3,80,-13,-3,80,0,250,80,6,250,10,13,253,0,253.334,9.381,18.112,84,84,,0,0,0,0,0,0,21.0,5.0,-1009.0,66,69,80,80,2.46,73
20260506_144926,front_head_lv1_001,front,head wind,Level1,drone_2,192.168.0.102,B04,2,front_2,2,1,0,node_segment_1,2026-05-06T14:49:46.886,20.328,0.109,0.109,2,-6,-1,81,44,-1,81,50,250,80,7,250,10,6,251,-1,251.074,9.381,18.112,87,87,,-3,-1,0,0,0,0,7.0,-8.0,-1014.0,65,68,80,70,2.34,76
20260506_144926,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B07,3,front_3,3,2,0,node_segment_1,2026-05-06T14:49:46.886,20.328,0.109,0.109,3,-10,-18,87,90,-18,87,100,250,80,8,250,10,10,268,-7,268.278,9.381,18.112,73,73,,1,-2,0,0,0,0,-35.0,56.0,-997.0,65,67,85,70,3.16,78
20260506_144926,front_head_lv1_001,front,head wind,Level1,drone_4,192.168.0.106,B08,4,front_4,4,3,0,node_segment_1,2026-05-06T14:49:46.886,20.328,0.109,0.109,4,-1,2,86,149,2,86,150,250,80,1,250,10,1,248,-6,248.075,9.381,18.112,84,84,,-19,-5,0,0,0,0,-76.0,-3.0,-975.0,60,63,84,80,3.78,77
20260506_144926,front_head_lv1_001,front,head wind,Level1,drone_5,192.168.0.107,B10,5,front_5,5,4,0,node_segment_1,2026-05-06T14:49:46.886,20.328,0.109,0.109,5,5,4,86,205,4,86,200,250,80,2,250,10,-5,246,-6,246.124,9.381,18.112,79,79,,53,0,0,0,0,0,-6.0,-26.0,-980.0,61,64,84,70,2.8,76
