run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:05.192,28.318,0.0,3,8,-8,80,108,-8,80,100,0,80,-8,8,0,11.314,19.297,38.212,86,86,,0,-3,-1,0,0,0,-42.0,9.0,-1002.0,50,52,79,40,20.79,16
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:05.300,28.426,0.108,3,8,-8,80,108,-8,80,100,0,80,-8,8,0,11.314,18.52,38.212,86,86,,0,-2,-1,0,0,0,-66.0,16.0,-1016.0,49,51,78,40,20.63,16
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:05.404,28.53,0.212,3,8,-8,80,108,-8,80,100,0,80,-8,8,0,11.314,18.52,38.212,85,86,,0,-3,-1,0,0,0,-70.0,27.0,-1017.0,49,51,78,40,20.69,17
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:05.511,28.637,0.319,3,8,-8,80,108,-8,80,100,0,80,-8,8,0,11.314,17.61,36.222,85,86,,0,-3,-1,0,0,0,-58.0,5.0,-1016.0,49,51,78,40,20.65,17
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:05.618,28.744,0.426,3,8,-8,80,108,-8,80,100,0,80,-8,8,0,11.314,16.81,36.222,85,86,,0,-3,0,0,0,0,-43.0,17.0,-1001.0,49,51,79,40,20.67,17
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:05.725,28.851,0.533,3,4,-1,81,104,-1,81,100,0,80,-4,1,-1,4.243,16.622,36.222,85,86,,0,-3,-1,0,0,0,-70.0,12.0,-988.0,49,51,80,40,20.66,17
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:05.830,28.956,0.638,3,4,-1,81,104,-1,81,100,0,80,-4,1,-1,4.243,16.622,36.222,85,86,,0,-3,-2,0,0,0,-55.0,0.0,-972.0,49,51,80,40,20.71,17
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:05.937,29.063,0.745,3,4,-1,81,104,-1,81,100,0,80,-4,1,-1,4.243,17.331,37.929,85,86,,0,-3,-1,0,0,0,-48.0,8.0,-987.0,49,51,79,40,20.79,17
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:06.044,29.17,0.852,3,4,-1,81,104,-1,81,100,0,80,-4,1,-1,4.243,17.327,37.929,85,86,,0,-2,-1,0,0,0,-52.0,-1.0,-1010.0,49,51,79,40,20.73,17
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:06.150,29.276,0.958,3,10,-12,79,110,-12,79,100,0,80,-10,12,1,15.652,17.676,37.929,85,86,,0,-3,0,0,0,0,-11.0,-2.0,-988.0,49,51,79,40,20.79,17
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:06.253,29.38,1.062,3,10,-12,79,110,-12,79,100,0,80,-10,12,1,15.652,17.676,37.929,85,86,,0,-2,0,0,0,0,-47.0,-3.0,-992.0,49,51,79,40,20.79,17
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:06.361,29.487,1.169,3,10,-12,79,110,-12,79,100,0,80,-10,12,1,15.652,17.678,38.027,85,86,,0,-2,0,0,0,0,-23.0,-4.0,-1002.0,50,52,79,40,20.75,17
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:06.468,29.595,1.276,3,10,-12,79,110,-12,79,100,0,80,-10,12,1,15.652,17.547,38.027,85,86,,0,-1,0,0,0,0,-45.0,4.0,-1002.0,50,52,78,40,20.68,18
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:06.573,29.699,1.381,3,10,-12,79,110,-12,79,100,0,80,-10,12,1,15.652,17.547,38.027,85,86,,0,-2,0,0,0,0,-47.0,1.0,-1018.0,50,52,78,40,20.78,18
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:06.680,29.807,1.489,3,10,-12,79,110,-12,79,100,0,80,-10,12,1,15.652,17.68,38.581,85,86,,0,-1,0,0,0,0,-55.0,-5.0,-991.0,50,52,78,40,20.72,18
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:06.784,29.91,1.592,3,24,-10,75,124,-10,75,100,0,80,-24,10,5,26.476,20.434,38.581,85,86,,0,-2,0,0,0,0,-57.0,-19.0,-1009.0,50,52,78,40,20.66,18
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:06.891,30.017,1.699,3,24,-10,75,124,-10,75,100,0,80,-24,10,5,26.476,20.603,38.581,85,86,,0,-2,0,0,0,0,-61.0,-10.0,-1015.0,50,52,78,40,20.67,18
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:06.996,30.122,1.804,3,24,-10,75,124,-10,75,100,0,80,-24,10,5,26.476,20.603,38.581,85,86,,0,-2,0,0,0,0,-67.0,2.0,-990.0,50,52,79,40,20.61,18
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:07.103,30.23,1.912,3,24,-10,75,124,-10,75,100,0,80,-24,10,5,26.476,19.477,37.481,85,86,,0,-3,0,0,0,0,-65.0,16.0,-999.0,50,52,79,40,20.69,18
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:07.209,30.336,2.017,3,6,-1,81,106,-1,81,100,0,80,-6,1,-1,6.164,15.147,33.636,85,86,,0,-3,0,0,0,0,-60.0,28.0,-967.0,50,52,80,40,20.79,18
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:07.316,30.442,2.124,3,6,-1,81,106,-1,81,100,0,80,-6,1,-1,6.164,15.147,33.636,84,86,,0,-3,0,0,0,0,-53.0,18.0,-999.0,50,53,80,40,20.75,18
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:07.423,30.55,2.231,3,6,-1,81,106,-1,81,100,0,80,-6,1,-1,6.164,15.147,33.636,84,86,,0,-3,-2,0,0,0,-60.0,21.0,-984.0,50,53,80,40,20.74,19
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:07.530,30.656,2.338,3,6,-1,81,106,-1,81,100,0,80,-6,1,-1,6.164,17.312,39.201,84,86,,0,-3,-1,0,0,0,-53.0,3.0,-988.0,50,53,80,40,20.79,19
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:07.636,30.762,2.444,3,2,2,82,102,2,82,100,0,80,-2,-2,-2,3.464,16.851,39.201,84,86,,0,-3,0,0,0,0,-69.0,-13.0,-1006.0,50,53,80,40,20.71,19
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:07.741,30.867,2.549,3,2,2,82,102,2,82,100,0,80,-2,-2,-2,3.464,16.851,39.201,84,86,,0,-4,-1,0,0,0,-68.0,31.0,-1000.0,50,53,80,40,20.8,19
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:07.848,30.975,2.657,3,4,2,82,104,2,82,100,0,80,-4,-2,-2,4.899,16.607,38.214,84,86,,0,-3,-2,0,0,0,-49.0,19.0,-967.0,50,53,80,40,20.82,19
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:07.952,31.078,2.76,3,4,2,82,104,2,82,100,0,80,-4,-2,-2,4.899,16.183,36.907,84,86,,0,-3,-2,0,0,0,-49.0,19.0,-967.0,50,53,80,40,20.82,19
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:08.055,31.182,2.863,3,4,2,82,104,2,82,100,0,80,-4,-2,-2,4.899,16.183,36.907,84,86,,0,-4,-2,0,0,0,-62.0,25.0,-1004.0,50,53,79,40,20.63,19
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:08.162,31.288,2.97,3,4,2,82,104,2,82,100,0,80,-4,-2,-2,4.899,16.085,36.603,84,86,,0,-4,-1,0,0,0,-66.0,0.0,-1003.0,50,53,79,40,20.82,19
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:08.267,31.393,3.075,3,10,-15,78,110,-15,78,100,0,80,-10,15,2,18.138,17.327,36.603,84,86,,0,-4,-1,0,0,0,-80.0,1.0,-1025.0,50,52,79,40,20.81,19
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:08.374,31.5,3.182,3,10,-15,78,110,-15,78,100,0,80,-10,15,2,18.138,17.192,36.783,84,86,,0,-4,-1,0,0,0,-81.0,-4.0,-1004.0,50,52,79,40,20.76,20
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:08.482,31.608,3.29,3,10,-15,78,110,-15,78,100,0,80,-10,15,2,18.138,17.192,36.783,84,86,,0,-4,-1,0,0,0,-107.0,4.0,-1015.0,50,52,79,40,20.62,20
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:08.588,31.714,3.396,3,10,-15,78,110,-15,78,100,0,80,-10,15,2,18.138,18.473,39.76,84,86,,0,-4,0,0,0,0,-114.0,21.0,-993.0,50,52,79,40,20.8,20
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:08.691,31.817,3.499,3,10,-15,78,110,-15,78,100,0,80,-10,15,2,18.138,18.44,39.76,84,86,,0,-4,0,0,0,0,-85.0,30.0,-1015.0,50,52,80,40,20.84,20
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:08.798,31.925,3.607,3,10,-15,78,110,-15,78,100,0,80,-10,15,2,18.138,18.235,39.019,84,86,,0,-5,0,0,0,0,-89.0,24.0,-1015.0,50,52,80,40,20.66,20
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:08.906,32.032,3.714,3,10,-15,78,110,-15,78,100,0,80,-10,15,2,18.138,17.362,36.662,84,86,,0,-5,-1,0,0,0,-84.0,17.0,-950.0,50,52,80,40,20.82,20
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:09.012,32.138,3.82,3,10,-15,78,110,-15,78,100,0,80,-10,15,2,18.138,17.291,36.662,84,86,,0,-5,-1,0,0,0,-107.0,23.0,-975.0,50,52,81,40,20.79,20
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:09.120,32.246,3.928,3,11,-7,80,111,-7,80,100,0,80,-11,7,0,13.038,19.326,39.527,84,86,,0,-5,-2,0,0,0,-102.0,-6.0,-958.0,50,52,81,40,20.62,20
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:09.227,32.354,4.036,3,11,-7,80,111,-7,80,100,0,80,-11,7,0,13.038,19.326,39.527,84,86,,0,-5,-2,0,0,0,-95.0,-14.0,-992.0,50,52,81,40,20.53,20
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:09.332,32.458,4.14,3,11,-7,80,111,-7,80,100,0,80,-11,7,0,13.038,19.326,39.527,83,86,,0,-5,-1,0,0,0,-109.0,8.0,-1020.0,51,52,80,40,20.73,20
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:09.438,32.565,4.246,3,11,-7,80,111,-7,80,100,0,80,-11,7,0,13.038,19.196,39.527,83,86,,0,-5,0,0,0,0,-99.0,23.0,-1017.0,51,52,80,40,20.69,21
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:09.546,32.672,4.354,3,11,-7,80,111,-7,80,100,0,80,-11,7,0,13.038,20.342,41.746,83,86,,0,-5,0,0,0,0,-95.0,16.0,-1022.0,51,52,80,40,20.68,21
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:09.650,32.776,4.458,3,11,-7,80,111,-7,80,100,0,80,-11,7,0,13.038,19.294,39.286,83,86,,0,-4,-1,0,0,0,-102.0,-3.0,-1009.0,51,52,80,40,20.65,21
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:09.757,32.884,4.566,3,11,-7,80,111,-7,80,100,0,80,-11,7,0,13.038,19.294,39.286,83,86,,0,-5,0,1,0,0,-94.0,3.0,-1000.0,51,52,80,40,20.55,21
20260504_175836,front_head_lv1_001,front,head wind,Level1,drone_3,192.168.0.103,B08,3,front_3,3,2,0,hover_hold,2026-05-04T17:59:09.866,32.992,4.674,3,11,-7,80,111,-7,80,100,0,80,-11,7,0,13.038,19.243,39.286,83,86,,0,-5,0,1,0,0,-78.0,11.0,-984.0,51,52,80,40,20.72,21
