run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260514_173645,drone_1_B11_head_forward_250_20260514_173645,single_drone_baseline,head_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,1,0,0,pre_node_settle,2026-05-14T17:37:00.574,13.003,0.0,0.0,1,-12,3,82,-12,3,82,0,250,80,6,250,10,12,247,-2,247.299,,,55,55,,-4,2,0,0,0,0,28.0,-17.0,-1004.0,63,66,81,80,-110.7,274
20260514_173645,drone_1_B11_head_forward_250_20260514_173645,single_drone_baseline,head_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,1,0,0,node_segment_1_of_5,2026-05-14T17:37:01.580,14.009,1.006,1.006,1,-6,5,82,-6,5,82,0,250,80,6,250,10,6,245,-2,245.082,,,55,55,,-4,1,0,0,0,0,-3.0,0.0,-985.0,63,66,79,80,-110.73,275
20260514_173645,drone_1_B11_head_forward_250_20260514_173645,single_drone_baseline,head_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,1,0,0,node_segment_1_of_5,2026-05-14T17:37:02.582,15.011,2.009,2.009,1,-10,8,79,-10,8,79,0,250,80,6,250,10,10,242,1,242.209,,,55,55,,-4,1,0,-1,0,0,-1.0,7.0,-966.0,63,66,77,70,-110.76,276
20260514_173645,drone_1_B11_head_forward_250_20260514_173645,single_drone_baseline,head_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,1,0,0,node_segment_1_of_5,2026-05-14T17:37:03.589,16.017,3.015,3.015,2,-14,-25,76,-14,25,76,0,250,80,6,250,10,14,225,4,225.471,,,55,55,,-4,1,0,-1,0,0,-18.0,18.0,-949.0,63,66,77,70,-110.84,277
20260514_173645,drone_1_B11_head_forward_250_20260514_173645,single_drone_baseline,head_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,1,0,0,node_segment_1_of_5,2026-05-14T17:37:04.595,17.024,4.021,4.021,2,-11,-7,78,-11,43,78,0,250,80,6,250,10,11,207,2,207.302,,,55,55,,-4,0,1,0,0,0,18.0,-29.0,-1013.0,63,66,76,70,-110.9,278
20260514_173645,drone_1_B11_head_forward_250_20260514_173645,single_drone_baseline,head_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,1,0,0,node_segment_1_of_5,2026-05-14T17:37:05.601,18.03,5.027,5.027,2,-18,4,77,-18,54,77,0,250,80,6,250,10,18,196,3,196.848,,,55,55,,-4,0,0,0,0,0,3.0,-6.0,-989.0,64,67,79,80,-110.78,279
20260514_173645,drone_1_B11_head_forward_250_20260514_173645,single_drone_baseline,head_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,1,0,0,node_segment_1_of_5,2026-05-14T17:37:06.607,19.036,6.033,6.033,2,-17,-3,81,-17,47,81,0,250,80,6,250,10,17,203,-1,203.713,,,55,55,,-4,0,0,0,-1,0,-18.0,3.0,-1013.0,63,66,80,80,-110.74,280
20260514_173645,drone_1_B11_head_forward_250_20260514_173645,single_drone_baseline,head_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,1,0,0,node_segment_1_of_5,2026-05-14T17:37:07.613,20.042,7.039,7.039,2,-6,3,83,-6,53,83,0,250,80,6,250,10,6,197,-3,197.114,,,55,55,,-4,0,1,0,0,0,-13.0,13.0,-1060.0,63,66,83,80,-110.7,281
20260514_173645,drone_1_B11_head_forward_250_20260514_173645,single_drone_baseline,head_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,1,0,0,node_segment_1_of_5,2026-05-14T17:37:08.616,21.045,8.042,8.042,2,-7,0,85,-7,50,85,0,250,80,6,250,10,7,200,-5,200.185,,,55,55,,-4,-1,-1,0,0,0,-16.0,-3.0,-958.0,63,67,83,80,-110.59,282
20260514_173645,drone_1_B11_head_forward_250_20260514_173645,single_drone_baseline,head_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,1,0,0,node_segment_2_of_5,2026-05-14T17:37:09.621,22.05,9.048,9.048,2,-2,-2,84,-2,48,84,0,250,80,6,250,10,2,202,-4,202.049,,,55,55,,-5,-2,-1,0,0,0,-3.0,35.0,-990.0,63,67,81,80,-110.67,283
20260514_173645,drone_1_B11_head_forward_250_20260514_173645,single_drone_baseline,head_forward_250,lv1,drone_1,192.168.0.101,B11,1,single_baseline,1,0,0,node_segment_2_of_5,2026-05-14T17:37:10.624,23.053,10.051,10.051,2,0,8,81,0,58,81,0,250,80,6,250,10,0,192,-1,192.003,,,55,55,,-5,0,-1,-1,0,0,-39.0,15.0,-954.0,63,66,78,80,-110.75,284
