run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,pre_node_settle,2026-05-14T18:54:25.792,17.542,0.001,0.001,3,-4,-9,83,96,-9,83,100,250,80,8,250,10,4,259,-3,259.048,,,75,75,,58,-3,0,0,0,0,-57.0,-14.0,-1008.0,56,58,82,30,-114.46,67
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_1_of_5,2026-05-14T18:54:26.802,18.551,1.01,1.01,3,-1,-5,84,99,-5,84,100,250,80,8,250,10,1,255,-4,255.033,,,75,75,,58,-4,0,0,0,0,-53.0,-13.0,-994.0,55,58,82,30,-114.41,68
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_1_of_5,2026-05-14T18:54:27.806,19.556,2.014,2.014,3,-2,-1,83,98,-1,83,100,250,80,8,250,10,2,251,-3,251.026,,,75,75,,58,-3,0,0,-1,0,-50.0,4.0,-1002.0,57,58,79,30,-114.36,69
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_1_of_5,2026-05-14T18:54:28.809,20.559,3.018,3.018,3,-4,5,81,96,5,81,100,250,80,8,250,10,4,245,-1,245.035,,,75,75,,58,-3,0,0,-1,0,-61.0,7.0,-1026.0,56,58,79,30,-114.36,70
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_1_of_5,2026-05-14T18:54:29.818,21.567,4.026,4.026,3,-4,11,82,96,11,82,100,250,80,8,250,10,4,239,-2,239.042,,,75,75,,58,-3,0,0,0,0,-40.0,-24.0,-1003.0,57,58,80,30,-114.41,71
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_1_of_5,2026-05-14T18:54:30.823,22.572,5.031,5.031,3,-5,15,83,95,15,83,100,250,80,8,250,10,5,235,-3,235.072,,,75,75,,58,-3,0,0,-1,0,-45.0,11.0,-992.0,57,59,80,30,-114.32,72
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_1_of_5,2026-05-14T18:54:31.826,23.576,6.035,6.035,4,4,-30,79,104,20,79,100,250,80,8,250,10,-4,230,1,230.037,,,74,75,,58,-2,-1,0,0,0,-70.0,-19.0,-997.0,57,59,80,30,-114.32,73
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_1_of_5,2026-05-14T18:54:32.834,24.584,7.042,7.042,4,4,-13,82,104,37,82,100,250,80,8,250,10,-4,213,-2,213.047,,,74,75,,58,-4,2,0,0,0,-70.0,-4.0,-986.0,57,59,82,30,-114.28,74
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_1_of_5,2026-05-14T18:54:33.840,25.59,8.048,8.048,4,1,-12,83,101,38,83,100,250,80,8,250,10,-1,212,-3,212.024,,,74,75,,58,-4,0,0,0,0,-83.0,-2.0,-1002.0,57,59,80,30,-114.34,75
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_1_of_5,2026-05-14T18:54:34.843,26.593,9.051,9.051,4,5,-11,79,105,39,79,100,250,80,8,250,10,-5,211,1,211.062,,,74,75,,58,-5,2,0,0,0,-54.0,-8.0,-988.0,57,59,78,30,-114.33,76
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_1_of_5,2026-05-14T18:54:35.847,27.597,10.055,10.055,4,3,-8,80,103,42,80,100,250,80,8,250,10,-3,208,0,208.022,,,74,75,,58,-4,-1,0,0,0,-67.0,-25.0,-1003.0,57,59,79,30,-114.47,77
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_1_of_5,2026-05-14T18:54:36.853,28.603,11.062,11.062,4,6,-12,80,106,38,80,100,250,80,8,250,10,-6,212,0,212.085,,,73,75,,58,-4,0,0,-1,0,-43.0,17.0,-1001.0,57,59,80,30,-114.35,78
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_1_of_5,2026-05-14T18:54:37.860,29.61,12.068,12.068,4,5,-8,81,105,42,81,100,250,80,8,250,10,-5,208,-1,208.062,,,73,75,,58,-4,0,0,0,0,-88.0,-5.0,-971.0,57,59,81,30,-114.36,79
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_1_of_5,2026-05-14T18:54:38.869,30.619,13.077,13.077,4,5,-10,83,105,40,83,100,250,80,8,250,10,-5,210,-3,210.081,,,73,75,,59,-5,0,0,0,0,-77.0,25.0,-977.0,57,60,82,30,-114.3,80
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_1_of_5,2026-05-14T18:54:39.878,31.627,14.086,14.086,4,5,-11,82,105,39,82,100,250,80,8,250,10,-5,211,-2,211.069,,,73,75,,59,-5,0,0,0,0,-47.0,12.0,-986.0,58,60,82,30,-114.48,81
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_1_of_5,2026-05-14T18:54:40.884,32.634,15.092,15.092,4,3,-8,81,103,42,81,100,250,80,8,250,10,-3,208,-1,208.024,,,73,75,,58,-2,0,0,0,0,-47.0,19.0,-1013.0,58,60,78,30,-114.4,82
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_2_of_5,2026-05-14T18:54:41.893,33.642,16.101,16.101,4,4,-5,79,104,45,79,100,250,80,8,250,10,-4,205,1,205.041,,,72,75,,58,-5,0,0,0,0,-45.0,-10.0,-1009.0,57,60,78,30,-114.41,83
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_2_of_5,2026-05-14T18:54:42.900,34.65,17.108,17.108,4,6,-2,80,106,48,80,100,250,80,8,250,10,-6,202,0,202.089,,,72,75,,58,-5,-1,0,0,0,-75.0,-3.0,-995.0,58,60,80,30,-114.28,84
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_2_of_5,2026-05-14T18:54:43.907,35.657,18.116,18.116,4,4,0,82,104,50,82,100,250,80,8,250,10,-4,200,-2,200.05,,,72,75,,58,-4,0,0,0,0,-64.0,-2.0,-992.0,57,60,81,30,-114.37,85
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_2_of_5,2026-05-14T18:54:44.915,36.665,19.124,19.124,4,1,4,84,101,54,84,100,250,80,8,250,10,-1,196,-4,196.043,,,72,75,,58,-5,0,0,0,0,-79.0,3.0,-983.0,58,60,83,30,-114.43,86
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_2_of_5,2026-05-14T18:54:45.922,37.672,20.131,20.131,4,0,10,85,100,60,85,100,250,80,8,250,10,0,190,-5,190.066,,,72,75,,58,-4,0,0,0,0,-67.0,-21.0,-998.0,58,60,82,30,-114.34,87
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_2_of_5,2026-05-14T18:54:46.927,38.677,21.135,21.135,4,-2,18,84,98,68,84,100,250,80,8,250,10,2,182,-4,182.055,,,72,75,,58,-5,0,0,0,0,-82.0,-9.0,-990.0,58,60,81,30,-114.41,89
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_2_of_5,2026-05-14T18:54:47.932,39.681,22.14,22.14,4,0,22,83,100,72,83,100,250,80,8,250,10,0,178,-3,178.025,,,72,75,,58,-5,0,0,0,0,-64.0,-13.0,-986.0,58,61,79,30,-114.35,90
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_2_of_5,2026-05-14T18:54:48.938,40.687,23.146,23.146,5,-4,-21,80,96,79,80,100,250,80,8,250,10,4,171,0,171.047,,,71,75,,58,-5,0,0,0,0,-84.0,-27.0,-990.0,58,60,80,30,-114.37,91
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_2_of_5,2026-05-14T18:54:49.944,41.693,24.152,24.152,5,-3,-15,83,97,85,83,100,250,80,8,250,10,3,165,-3,165.055,,,71,75,,58,-4,0,0,0,0,-66.0,-36.0,-994.0,58,60,80,30,-114.32,92
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_2_of_5,2026-05-14T18:54:50.952,42.702,25.16,25.16,5,-5,-8,80,95,92,80,100,250,80,8,250,10,5,158,0,158.079,,,71,75,,58,-4,1,0,0,0,-71.0,-12.0,-1015.0,58,61,78,20,-114.33,93
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_2_of_5,2026-05-14T18:54:51.960,43.709,26.168,26.168,5,2,-9,80,102,91,80,100,250,80,8,250,10,-2,159,0,159.013,,,71,75,,58,-4,0,0,0,0,-81.0,-6.0,-1016.0,58,60,79,30,-114.3,94
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_3_of_5,2026-05-14T18:54:52.963,44.713,27.171,27.171,5,0,-5,82,100,95,82,100,250,80,8,250,10,0,155,-2,155.013,,,71,75,,59,-6,0,0,0,0,-64.0,4.0,-1007.0,59,61,80,30,-114.27,95
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_3_of_5,2026-05-14T18:54:53.967,45.717,28.175,28.175,5,3,-6,82,103,94,82,100,250,80,8,250,10,-3,156,-2,156.042,,,71,75,,58,-4,0,0,0,0,-93.0,-5.0,-998.0,58,60,79,30,-114.35,96
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_3_of_5,2026-05-14T18:54:54.971,46.721,29.179,29.179,5,0,4,82,100,104,82,100,250,80,8,250,10,0,146,-2,146.014,,,71,75,,58,-4,0,0,0,0,-81.0,-16.0,-1006.0,59,60,79,30,-114.27,97
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_3_of_5,2026-05-14T18:54:55.978,47.727,30.186,30.186,5,-8,6,82,92,106,82,100,250,80,8,250,10,8,144,-2,144.236,,,71,75,,58,-4,0,0,0,0,-51.0,0.0,-993.0,59,60,81,30,-114.28,98
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_3_of_5,2026-05-14T18:54:56.986,48.736,31.195,31.195,5,4,15,82,104,115,82,100,250,80,8,250,10,-4,135,-2,135.074,,,70,75,,58,-4,0,0,0,0,-75.0,-26.0,-966.0,59,61,81,30,-114.23,99
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_3_of_5,2026-05-14T18:54:57.996,49.746,32.204,32.204,5,4,17,83,104,117,83,100,250,80,8,250,10,-4,133,-3,133.094,,,70,75,,58,-4,0,0,0,0,-74.0,-3.0,-1010.0,59,62,81,30,-114.25,100
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_3_of_5,2026-05-14T18:54:59.003,50.753,33.212,33.212,6,0,-15,83,100,135,83,100,250,80,8,250,10,0,115,-3,115.039,,,70,75,,58,-4,0,0,0,0,-78.0,-13.0,-1022.0,58,61,79,30,-114.22,101
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_3_of_5,2026-05-14T18:55:00.012,51.762,34.22,34.22,6,0,-6,80,100,144,80,100,250,80,8,250,10,0,106,0,106.0,,,70,75,,58,-3,0,0,-1,0,-68.0,10.0,-987.0,59,61,78,30,-114.35,102
20260514_185310,drone_3_B13_head_forward_250_20260514_185310,single_drone_baseline,head_forward_250,lv1,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_4_of_5,2026-05-14T18:55:01.017,52.766,35.225,35.225,6,0,3,80,100,153,80,100,250,80,8,250,10,0,97,0,97.0,,,70,75,,59,-3,0,0,0,0,-91.0,16.0,-968.0,59,61,78,30,-114.18,103
