run_id,experiment_id,formation,wind_direction,wind_speed,wind_level,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,pre_node_settle,2026-05-18T11:18:59.770,12.579,0.001,0.001,3,-7,7,81,93,7,81,100,250,80,8,250,10,7,243,-1,243.103,,,65,65,,155,-4,1,0,0,0,-72.0,-20.0,-1029.0,63,65,80,60,-10.87,155
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_1_of_5,2026-05-18T11:19:00.778,13.587,1.009,1.009,3,-8,-3,81,92,-3,81,100,250,80,8,250,10,8,253,-1,253.128,,,65,65,,155,-3,2,0,0,0,-87.0,-7.0,-983.0,63,65,81,60,-10.91,156
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_1_of_5,2026-05-18T11:19:01.786,14.594,2.016,2.016,3,-12,3,81,88,3,81,100,250,80,8,250,10,12,247,-1,247.293,,,65,65,,155,-2,2,1,0,0,-41.0,-32.0,-1030.0,63,65,81,60,-10.85,157
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_1_of_5,2026-05-18T11:19:02.792,15.601,3.023,3.023,3,-20,16,82,80,16,82,100,250,80,8,250,10,20,234,-2,234.862,,,65,65,,156,-4,1,0,0,0,-79.0,-15.0,-1004.0,63,65,82,60,-10.92,158
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_1_of_5,2026-05-18T11:19:03.799,16.607,4.029,4.029,3,-19,24,83,81,24,83,100,250,80,8,250,10,19,226,-3,226.817,,,65,65,,155,-4,2,0,0,0,-67.0,-30.0,-995.0,63,65,80,60,-10.87,159
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_1_of_5,2026-05-18T11:19:04.802,17.611,5.033,5.033,3,-18,36,77,82,36,77,100,250,80,8,250,10,18,214,3,214.777,,,65,65,,155,-4,1,0,0,0,-58.0,-30.0,-1034.0,62,65,78,60,-10.91,160
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_1_of_5,2026-05-18T11:19:05.809,18.617,6.04,6.04,3,-13,36,82,87,36,82,100,250,80,8,250,10,13,214,-2,214.404,,,65,65,,156,-3,2,0,0,0,-92.0,-47.0,-971.0,63,65,81,60,-10.91,161
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_1_of_5,2026-05-18T11:19:06.817,19.625,7.047,7.047,3,-10,38,87,90,38,87,100,250,80,8,250,10,10,212,-7,212.351,,,65,65,,155,-4,0,0,0,0,-96.0,-22.0,-980.0,62,65,80,60,-10.88,162
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_1_of_5,2026-05-18T11:19:07.823,20.631,8.054,8.054,3,-7,45,84,93,45,84,100,250,80,8,250,10,7,205,-4,205.158,,,65,65,,155,-4,1,0,0,0,-89.0,-30.0,-954.0,62,65,78,60,-10.89,163
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_2_of_5,2026-05-18T11:19:08.829,21.637,9.059,9.059,4,-2,1,78,98,51,78,100,250,80,8,250,10,2,199,2,199.02,,,65,65,,155,-6,0,0,0,0,-100.0,-7.0,-1016.0,62,65,77,60,-10.96,164
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_2_of_5,2026-05-18T11:19:09.832,22.641,10.063,10.063,4,-3,3,78,97,53,78,100,250,80,8,250,10,3,197,2,197.033,,,65,65,,155,-5,0,0,0,0,-75.0,-12.0,-995.0,63,65,78,60,-10.96,165
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_2_of_5,2026-05-18T11:19:10.836,23.644,11.066,11.066,4,-5,10,82,95,60,82,100,250,80,8,250,10,5,190,-2,190.076,,,65,65,,155,-5,0,1,0,0,-105.0,-16.0,-1002.0,62,64,82,60,-10.87,166
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_2_of_5,2026-05-18T11:19:11.843,24.651,12.074,12.074,4,-3,21,83,97,71,83,100,250,80,8,250,10,3,179,-3,179.05,,,65,65,,155,-4,1,1,0,0,-58.0,23.0,-1043.0,62,65,78,60,-11.01,167
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_2_of_5,2026-05-18T11:19:12.851,25.659,13.082,13.082,5,-1,-23,81,99,77,81,100,250,80,8,250,10,1,173,-1,173.006,,,65,65,,155,-3,1,1,0,0,-68.0,15.0,-1001.0,62,65,78,60,-10.92,168
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_2_of_5,2026-05-18T11:19:13.858,26.666,14.088,14.088,5,-6,-5,80,94,95,80,100,250,80,8,250,10,6,155,0,155.116,,,65,65,,155,-3,1,0,0,0,-59.0,-9.0,-1021.0,63,64,77,60,-10.85,169
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_3_of_5,2026-05-18T11:19:14.865,27.674,15.096,15.096,5,-3,-6,79,97,94,79,100,250,80,8,250,10,3,156,1,156.032,,,65,65,,155,-4,0,0,0,0,-71.0,-21.0,-981.0,62,64,81,60,-10.9,170
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_3_of_5,2026-05-18T11:19:15.872,28.681,16.103,16.103,5,-10,8,84,90,108,84,100,250,80,8,250,10,10,142,-4,142.408,,,65,65,,155,-5,1,0,0,0,-72.0,2.0,-968.0,63,65,82,60,-10.92,171
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_3_of_5,2026-05-18T11:19:16.877,29.686,17.108,17.108,5,2,14,82,102,114,82,100,250,80,8,250,10,-2,136,-2,136.029,,,65,65,,155,-5,0,0,0,0,-106.0,-23.0,-1029.0,63,65,80,60,-10.88,172
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_3_of_5,2026-05-18T11:19:17.882,30.69,18.112,18.112,5,3,21,80,103,121,80,100,250,80,8,250,10,-3,129,0,129.035,,,65,65,,155,-4,0,0,0,0,-70.0,-26.0,-1012.0,63,66,79,60,-10.88,173
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_3_of_5,2026-05-18T11:19:18.886,31.694,19.117,19.117,6,0,-10,81,100,140,81,100,250,80,8,250,10,0,110,-1,110.005,,,64,65,,155,-4,0,0,0,0,-101.0,-8.0,-1004.0,63,64,79,60,-10.84,174
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_3_of_5,2026-05-18T11:19:19.891,32.699,20.122,20.122,5,3,46,78,103,146,78,100,250,80,8,250,10,-3,104,2,104.062,,,64,65,,155,-4,1,0,0,0,-78.0,13.0,-963.0,62,65,78,60,-10.96,175
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_4_of_5,2026-05-18T11:19:20.894,33.702,21.124,21.124,6,0,4,79,100,154,79,100,250,80,8,250,10,0,96,1,96.005,,,64,65,,155,-4,0,0,0,0,-75.0,-39.0,-993.0,62,65,80,60,-10.77,176
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_4_of_5,2026-05-18T11:19:21.899,34.707,22.13,22.13,6,0,10,82,100,160,82,100,250,80,8,250,10,0,90,-2,90.022,,,64,65,,155,-3,1,1,0,0,-50.0,-33.0,-977.0,63,64,79,60,-10.85,177
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_4_of_5,2026-05-18T11:19:22.906,35.714,23.136,23.136,6,-7,23,81,93,173,81,100,250,80,8,250,10,7,77,-1,77.324,,,63,65,,155,-4,2,1,0,0,-59.0,8.0,-947.0,63,65,78,60,-10.75,178
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_4_of_5,2026-05-18T11:19:23.913,36.721,24.143,24.143,7,-2,-9,84,98,191,84,100,250,80,8,250,10,2,59,-4,59.169,,,63,65,,156,-4,0,1,0,0,-122.0,-44.0,-1010.0,62,64,82,60,-10.98,179
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_5_of_5,2026-05-18T11:19:24.918,37.726,25.149,25.149,7,3,0,83,103,200,83,100,250,80,8,250,10,-3,50,-3,50.18,,,62,65,,155,-5,0,0,0,0,-84.0,-8.0,-997.0,62,65,82,60,-10.66,180
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_5_of_5,2026-05-18T11:19:25.928,38.736,26.158,26.158,7,6,1,81,106,201,81,100,250,80,8,250,10,-6,49,-1,49.376,,,62,65,,155,-5,0,0,0,0,-118.0,4.0,-1002.0,63,65,82,60,-11.16,181
20260518_111844,drone_3_B13_head_forward_250_20260518_111844,single_drone_baseline,head_forward_250,lv2,lv2,drone_3,192.168.0.103,B13,1,single_baseline,3,2,0,node_segment_5_of_5,2026-05-18T11:19:26.936,39.744,27.166,27.166,7,4,9,81,104,209,81,100,250,80,8,250,10,-4,41,-1,41.207,,,62,65,,156,-5,0,1,0,0,-104.0,-17.0,-1058.0,62,65,80,60,-10.87,182
