run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260518_141822,drone_3_B13_tail_forward_250_lv2_20260518_141822,single_drone_baseline,tail_forward_250,lv2,drone_3,192.168.0.103,B13,1,single_baseline,8,2,5,pre_node_settle,2026-05-18T14:18:40.856,14.92,0.001,0.001,8,5,-1,81,105,249,81,100,0,80,3,250,10,-5,-249,-1,249.052,,,59,59,,-1,3,0,0,0,0,65.0,7.0,-993.0,65,67,79,70,8.82,222
20260518_141822,drone_3_B13_tail_forward_250_lv2_20260518_141822,single_drone_baseline,tail_forward_250,lv2,drone_3,192.168.0.103,B13,1,single_baseline,8,2,5,node_segment_1_of_5,2026-05-18T14:18:41.862,15.925,1.006,1.006,8,3,-1,82,103,249,82,100,0,80,3,250,10,-3,-249,-2,249.026,,,59,59,,-1,4,1,-1,0,0,78.0,5.0,-970.0,65,67,81,70,8.8,223
20260518_141822,drone_3_B13_tail_forward_250_lv2_20260518_141822,single_drone_baseline,tail_forward_250,lv2,drone_3,192.168.0.103,B13,1,single_baseline,8,2,5,node_segment_1_of_5,2026-05-18T14:18:42.864,16.928,2.008,2.008,8,5,-7,81,105,243,81,100,0,80,3,250,10,-5,-243,-1,243.053,,,59,59,,-1,3,-2,-1,0,0,60.0,46.0,-1027.0,65,67,79,70,8.59,224
20260518_141822,drone_3_B13_tail_forward_250_lv2_20260518_141822,single_drone_baseline,tail_forward_250,lv2,drone_3,192.168.0.103,B13,1,single_baseline,8,2,5,node_segment_1_of_5,2026-05-18T14:18:43.870,17.934,3.014,3.014,8,6,-25,77,106,225,77,100,0,80,3,250,10,-6,-225,3,225.1,,,59,59,,-1,4,0,-1,0,0,59.0,2.0,-981.0,65,67,80,70,8.87,225
20260518_141822,drone_3_B13_tail_forward_250_lv2_20260518_141822,single_drone_baseline,tail_forward_250,lv2,drone_3,192.168.0.103,B13,1,single_baseline,8,2,5,node_segment_1_of_5,2026-05-18T14:18:44.874,18.937,4.018,4.018,8,3,-38,76,103,212,76,100,0,80,3,250,10,-3,-212,4,212.059,,,59,59,,-1,4,0,0,0,0,68.0,-6.0,-1005.0,65,67,81,70,8.75,226
20260518_141822,drone_3_B13_tail_forward_250_lv2_20260518_141822,single_drone_baseline,tail_forward_250,lv2,drone_3,192.168.0.103,B13,1,single_baseline,8,2,5,node_segment_1_of_5,2026-05-18T14:18:45.879,19.942,5.023,5.023,6,0,54,85,100,204,85,100,0,80,3,250,10,0,-204,-5,204.061,,,59,59,,-2,5,1,0,0,0,95.0,-17.0,-1049.0,65,68,80,70,8.48,227
20260518_141822,drone_3_B13_tail_forward_250_lv2_20260518_141822,single_drone_baseline,tail_forward_250,lv2,drone_3,192.168.0.103,B13,1,single_baseline,8,2,5,node_segment_1_of_5,2026-05-18T14:18:46.885,20.949,6.029,6.029,7,12,14,78,112,214,78,100,0,80,3,250,10,-12,-214,2,214.346,,,59,59,,-1,4,0,0,0,0,46.0,-20.0,-960.0,65,67,80,70,8.84,228
20260518_141822,drone_3_B13_tail_forward_250_lv2_20260518_141822,single_drone_baseline,tail_forward_250,lv2,drone_3,192.168.0.103,B13,1,single_baseline,8,2,5,node_segment_1_of_5,2026-05-18T14:18:47.893,21.957,7.037,7.037,7,8,12,80,108,212,80,100,0,80,3,250,10,-8,-212,0,212.151,,,59,59,,-2,5,-1,0,0,0,89.0,16.0,-1057.0,65,68,80,70,8.71,229
20260518_141822,drone_3_B13_tail_forward_250_lv2_20260518_141822,single_drone_baseline,tail_forward_250,lv2,drone_3,192.168.0.103,B13,1,single_baseline,8,2,5,node_segment_1_of_5,2026-05-18T14:18:48.901,22.965,8.045,8.045,7,0,3,80,100,203,80,100,0,80,3,250,10,0,-203,0,203.0,,,59,59,,-2,2,0,0,0,0,51.0,13.0,-1001.0,65,67,76,70,8.79,230
20260518_141822,drone_3_B13_tail_forward_250_lv2_20260518_141822,single_drone_baseline,tail_forward_250,lv2,drone_3,192.168.0.103,B13,1,single_baseline,8,2,5,node_segment_2_of_5,2026-05-18T14:18:49.909,23.972,9.053,9.053,7,0,-8,78,100,192,78,100,0,80,3,250,10,0,-192,2,192.01,,,58,59,,-2,5,0,0,0,0,89.0,-37.0,-989.0,65,68,75,70,8.69,231
20260518_141822,drone_3_B13_tail_forward_250_lv2_20260518_141822,single_drone_baseline,tail_forward_250,lv2,drone_3,192.168.0.103,B13,1,single_baseline,8,2,5,node_segment_2_of_5,2026-05-18T14:18:50.916,24.98,10.061,10.061,7,-1,-11,78,99,189,78,100,0,80,3,250,10,1,-189,2,189.013,,,58,59,,-2,4,0,-1,0,0,76.0,13.0,-984.0,65,67,75,70,8.78,232
