run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260518_152514,drone_5_B15_tail_forward_250_lv1_20260518_152514,single_drone_baseline,tail_forward_250,lv1,drone_5,192.168.0.107,B15,1,single_baseline,2,4,5,pre_node_settle,2026-05-18T15:25:31.092,13.497,0.001,0.001,2,7,-11,89,207,239,89,200,0,80,5,250,10,-7,-239,-9,239.272,,,64,64,,-2,0,2,0,0,0,26.0,-7.0,-1037.0,61,64,84,70,10.45,190
20260518_152514,drone_5_B15_tail_forward_250_lv1_20260518_152514,single_drone_baseline,tail_forward_250,lv1,drone_5,192.168.0.107,B15,1,single_baseline,2,4,5,node_segment_1_of_5,2026-05-18T15:25:32.102,14.506,1.01,1.01,2,14,-15,82,214,235,82,200,0,80,5,250,10,-14,-235,-2,235.425,,,64,64,,-47,0,0,-1,0,0,-7.0,36.0,-1007.0,61,64,79,60,10.6,191
20260518_152514,drone_5_B15_tail_forward_250_lv1_20260518_152514,single_drone_baseline,tail_forward_250,lv1,drone_5,192.168.0.107,B15,1,single_baseline,2,4,5,node_segment_1_of_5,2026-05-18T15:25:33.114,15.519,2.022,2.022,1,1,7,80,201,207,80,200,0,80,5,250,10,-1,-207,0,207.002,,,64,64,,-32,1,-4,-2,0,0,65.0,56.0,-1046.0,62,64,79,60,10.29,192
20260518_152514,drone_5_B15_tail_forward_250_lv1_20260518_152514,single_drone_baseline,tail_forward_250,lv1,drone_5,192.168.0.107,B15,1,single_baseline,2,4,5,node_segment_2_of_5,2026-05-18T15:25:34.119,16.524,3.028,3.028,1,-1,-1,82,199,199,82,200,0,80,5,250,10,1,-199,-2,199.013,,,64,64,,4,0,0,0,0,0,25.0,-6.0,-997.0,62,63,83,70,10.29,193
20260518_152514,drone_5_B15_tail_forward_250_lv1_20260518_152514,single_drone_baseline,tail_forward_250,lv1,drone_5,192.168.0.107,B15,1,single_baseline,2,4,5,node_segment_2_of_5,2026-05-18T15:25:35.127,17.531,4.035,4.035,1,5,-20,84,205,180,84,200,0,80,5,250,10,-5,-180,-4,180.114,,,64,64,,2,0,0,-1,0,0,-4.0,6.0,-1014.0,62,64,79,60,10.41,194
20260518_152514,drone_5_B15_tail_forward_250_lv1_20260518_152514,single_drone_baseline,tail_forward_250,lv1,drone_5,192.168.0.107,B15,1,single_baseline,2,4,5,node_segment_2_of_5,2026-05-18T15:25:36.133,18.538,5.042,5.042,1,3,-32,80,203,168,80,200,0,80,5,250,10,-3,-168,0,168.027,,,64,64,,2,0,0,-1,0,0,3.0,0.0,-999.0,61,63,78,60,10.39,195
20260518_152514,drone_5_B15_tail_forward_250_lv1_20260518_152514,single_drone_baseline,tail_forward_250,lv1,drone_5,192.168.0.107,B15,1,single_baseline,2,4,5,node_segment_3_of_5,2026-05-18T15:25:37.139,19.544,6.048,6.048,8,4,-4,79,204,146,79,200,0,80,5,250,10,-4,-146,1,146.058,,,63,64,,2,0,0,0,0,0,2.0,7.0,-1004.0,61,64,78,60,10.33,196
20260518_152514,drone_5_B15_tail_forward_250_lv1_20260518_152514,single_drone_baseline,tail_forward_250,lv1,drone_5,192.168.0.107,B15,1,single_baseline,2,4,5,node_segment_3_of_5,2026-05-18T15:25:38.143,20.548,7.052,7.052,8,5,-11,78,205,139,78,200,0,80,5,250,10,-5,-139,2,139.104,,,63,64,,1,0,0,-1,0,0,-17.0,-3.0,-998.0,62,64,78,60,10.56,197
20260518_152514,drone_5_B15_tail_forward_250_lv1_20260518_152514,single_drone_baseline,tail_forward_250,lv1,drone_5,192.168.0.107,B15,1,single_baseline,2,4,5,node_segment_3_of_5,2026-05-18T15:25:39.150,21.554,8.058,8.058,8,5,-29,76,205,121,76,200,0,80,5,250,10,-5,-121,4,121.169,,,63,64,,1,0,0,-1,0,0,0.0,-15.0,-1002.0,61,65,78,60,10.44,198
20260518_152514,drone_5_B15_tail_forward_250_lv1_20260518_152514,single_drone_baseline,tail_forward_250,lv1,drone_5,192.168.0.107,B15,1,single_baseline,2,4,5,node_segment_3_of_5,2026-05-18T15:25:40.160,22.564,9.068,9.068,7,4,3,79,204,103,79,200,0,80,5,250,10,-4,-103,1,103.082,,,63,64,,1,1,1,0,0,0,22.0,-27.0,-1011.0,61,65,77,60,10.34,199
20260518_152514,drone_5_B15_tail_forward_250_lv1_20260518_152514,single_drone_baseline,tail_forward_250,lv1,drone_5,192.168.0.107,B15,1,single_baseline,2,4,5,node_segment_4_of_5,2026-05-18T15:25:41.162,23.566,10.07,10.07,7,3,5,80,203,105,80,200,0,80,5,250,10,-3,-105,0,105.043,,,63,64,,1,1,0,0,0,0,12.0,2.0,-1027.0,61,64,79,60,10.43,200
20260518_152514,drone_5_B15_tail_forward_250_lv1_20260518_152514,single_drone_baseline,tail_forward_250,lv1,drone_5,192.168.0.107,B15,1,single_baseline,2,4,5,node_segment_4_of_5,2026-05-18T15:25:42.168,24.573,11.077,11.077,7,0,5,83,200,105,83,200,0,80,5,250,10,0,-105,-3,105.043,,,62,64,,1,1,1,-1,0,0,9.0,-5.0,-995.0,61,63,81,60,10.49,201
20260518_152514,drone_5_B15_tail_forward_250_lv1_20260518_152514,single_drone_baseline,tail_forward_250,lv1,drone_5,192.168.0.107,B15,1,single_baseline,2,4,5,node_segment_4_of_5,2026-05-18T15:25:43.175,25.579,12.083,12.083,6,1,15,80,201,65,80,200,0,80,5,250,10,-1,-65,0,65.008,,,62,64,,0,0,0,0,0,0,-32.0,9.0,-1000.0,61,64,78,60,10.39,202
20260518_152514,drone_5_B15_tail_forward_250_lv1_20260518_152514,single_drone_baseline,tail_forward_250,lv1,drone_5,192.168.0.107,B15,1,single_baseline,2,4,5,node_segment_4_of_5,2026-05-18T15:25:44.182,26.586,13.09,13.09,6,3,8,79,203,58,79,200,0,80,5,250,10,-3,-58,1,58.086,,,62,64,,0,0,1,0,0,0,0.0,14.0,-1028.0,61,64,77,60,10.41,203
20260518_152514,drone_5_B15_tail_forward_250_lv1_20260518_152514,single_drone_baseline,tail_forward_250,lv1,drone_5,192.168.0.107,B15,1,single_baseline,2,4,5,node_segment_4_of_5,2026-05-18T15:25:45.185,27.589,14.093,14.093,6,3,2,79,203,52,79,200,0,80,5,250,10,-3,-52,1,52.096,,,62,64,,0,1,0,0,0,0,-11.0,3.0,-992.0,61,63,81,60,10.46,204
