run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260603_180615,column_50_head_lv1_new_003,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T18:06:30.865,15.762,0.0,0.0,3,-4,-36,84,-4,64,84,0,100,80,3,250,10,4,36,-4,36.442,98.111,296.325,50,50,,-140,-2,0,0,0,0,-24.0,-4.0,-992.0,63,66,84,60,115.97,293
20260603_180615,column_50_head_lv1_new_003,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T18:06:30.975,15.871,0.11,0.11,3,-4,-36,84,-4,64,84,0,100,80,3,250,10,4,36,-4,36.442,98.111,296.325,50,50,,-140,-1,0,0,0,0,-19.0,-4.0,-994.0,64,66,84,60,115.98,293
20260603_180615,column_50_head_lv1_new_003,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T18:06:31.082,15.979,0.217,0.217,3,-4,-36,84,-4,64,84,0,100,80,3,250,10,4,36,-4,36.442,101.331,298.415,50,50,,-140,-1,0,0,0,0,-23.0,-5.0,-984.0,64,66,84,60,116.07,293
20260603_180615,column_50_head_lv1_new_003,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T18:06:31.188,16.085,0.323,0.323,3,-4,-36,84,-4,64,84,0,100,80,3,250,10,4,36,-4,36.442,56.429,193.033,50,50,,-140,-1,0,0,0,0,-19.0,-4.0,-982.0,64,66,85,60,116.07,293
20260603_180615,column_50_head_lv1_new_003,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T18:06:31.295,16.192,0.43,0.43,3,0,-36,85,0,64,85,0,100,80,3,250,10,0,36,-5,36.346,56.493,193.0,50,50,,-140,-1,0,0,0,0,-10.0,-8.0,-1002.0,64,66,84,60,116.06,294
20260603_180615,column_50_head_lv1_new_003,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T18:06:31.400,16.297,0.535,0.535,3,0,-36,85,0,64,85,0,100,80,3,250,10,0,36,-5,36.346,56.154,193.0,50,50,,-140,-1,0,0,0,0,-7.0,-22.0,-1002.0,64,66,84,60,116.09,294
20260603_180615,column_50_head_lv1_new_003,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T18:06:31.507,16.404,0.642,0.642,3,0,-36,85,0,64,85,0,100,80,3,250,10,0,36,-5,36.346,99.921,294.246,50,50,,-140,-1,0,0,0,0,-21.0,-10.0,-1017.0,64,66,83,60,116.04,294
20260603_180615,column_50_head_lv1_new_003,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T18:06:31.615,16.512,0.75,0.75,3,-3,-36,85,-3,64,85,0,100,80,3,250,10,3,36,-5,36.469,99.915,294.246,50,50,,-140,-1,0,0,0,0,-9.0,-4.0,-995.0,64,66,83,60,115.96,294
20260603_180615,column_50_head_lv1_new_003,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T18:06:31.722,16.619,0.857,0.857,3,-3,-36,85,-3,64,85,0,100,80,3,250,10,3,36,-5,36.469,99.915,294.246,50,50,,-140,-1,0,0,0,0,-24.0,12.0,-995.0,64,66,83,60,116.01,294
20260603_180615,column_50_head_lv1_new_003,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T18:06:31.831,16.728,0.966,0.966,3,-3,-36,85,-3,64,85,0,100,80,3,250,10,3,36,-5,36.469,99.915,294.246,50,50,,-140,-1,0,0,0,0,-28.0,8.0,-988.0,64,66,82,60,116.05,294
20260603_180615,column_50_head_lv1_new_003,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T18:06:31.939,16.836,1.074,1.074,3,-3,-36,85,-3,64,85,0,100,80,3,250,10,3,36,-5,36.469,54.411,193.019,50,50,,-140,-1,0,0,0,0,-11.0,-1.0,-1000.0,63,65,82,60,116.06,294
20260603_180615,column_50_head_lv1_new_003,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T18:06:32.047,16.944,1.182,1.182,3,-7,-41,80,-7,59,80,0,100,80,3,250,10,7,41,0,41.593,54.313,198.099,50,50,,-140,-1,0,0,0,0,-22.0,1.0,-984.0,63,65,82,60,116.02,294
20260603_180615,column_50_head_lv1_new_003,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T18:06:32.156,17.052,1.291,1.291,3,-7,-41,80,-7,59,80,0,100,80,3,250,10,7,41,0,41.593,54.313,198.099,50,50,,-140,-1,0,0,0,0,-23.0,0.0,-1028.0,63,65,81,60,116.04,294
20260603_180615,column_50_head_lv1_new_003,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T18:06:32.262,17.159,1.397,1.397,3,-7,-41,80,-7,59,80,0,100,80,3,250,10,7,41,0,41.593,54.69,198.099,50,50,,-140,-1,0,0,0,0,-5.0,-12.0,-993.0,63,65,81,60,116.03,294
20260603_180615,column_50_head_lv1_new_003,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T18:06:32.369,17.266,1.504,1.504,3,-7,-41,80,-7,59,80,0,100,80,3,250,10,7,41,0,41.593,102.195,297.174,50,50,,-140,-1,0,0,0,0,-15.0,5.0,-1026.0,63,65,81,60,116.11,295
20260603_180615,column_50_head_lv1_new_003,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T18:06:32.476,17.373,1.611,1.611,3,-1,-37,82,-1,63,82,0,100,80,3,250,10,1,37,-2,37.068,101.394,297.144,50,50,,-140,-1,0,0,0,0,-15.0,-18.0,-1014.0,63,65,81,60,116.07,295
20260603_180615,column_50_head_lv1_new_003,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T18:06:32.582,17.479,1.717,1.717,3,-1,-37,82,-1,63,82,0,100,80,3,250,10,1,37,-2,37.068,101.394,297.144,50,50,,-140,-1,0,0,0,0,0.0,-28.0,-980.0,63,65,82,60,116.08,295
20260603_180615,column_50_head_lv1_new_003,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T18:06:32.688,17.585,1.823,1.823,3,-1,-37,82,-1,63,82,0,100,80,3,250,10,1,37,-2,37.068,54.85,194.002,50,50,,-140,-1,0,0,0,0,-4.0,-27.0,-984.0,63,65,82,60,116.11,295
20260603_180615,column_50_head_lv1_new_003,column,head wind,Level1,drone_3,192.168.0.103,B13,3,column_3,8,0,7,node_segment_1_of_5,2026-06-03T18:06:32.795,17.692,1.93,1.93,3,-1,-37,82,-1,63,82,0,100,80,3,250,10,1,37,-2,37.068,54.86,194.008,50,50,,-140,-1,0,0,0,0,-25.0,12.0,-999.0,63,65,82,60,116.1,295
