run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260619_230138,column_50_head_no_wind_new_001,column,no wind,no wind,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T23:02:01.843,22.987,0.0,0.0,2,-5,7,80,-5,57,80,0,300,80,7,250,10,5,243,0,243.051,7.032,13.944,82,82,,-1,1,0,0,0,0,24.0,-15.0,-1007.0,61,62,83,60,16.81,66
20260619_230138,column_50_head_no_wind_new_001,column,no wind,no wind,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T23:02:01.952,23.096,0.11,0.11,2,-5,7,80,-5,57,80,0,300,80,7,250,10,5,243,0,243.051,7.032,13.944,82,82,,-1,1,0,0,0,0,28.0,-9.0,-1000.0,61,63,83,60,16.8,66
20260619_230138,column_50_head_no_wind_new_001,column,no wind,no wind,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T23:02:02.057,23.201,0.215,0.215,2,-5,7,80,-5,57,80,0,300,80,7,250,10,5,243,0,243.051,7.023,13.944,82,82,,-1,1,0,0,0,0,22.0,-1.0,-1002.0,61,63,82,60,16.84,66
20260619_230138,column_50_head_no_wind_new_001,column,no wind,no wind,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T23:02:02.164,23.308,0.322,0.322,2,-5,8,80,-5,58,80,0,300,80,7,250,10,5,242,0,242.052,7.819,15.475,82,82,,-1,0,0,0,0,0,17.0,-1.0,-1005.0,61,63,82,60,16.82,66
20260619_230138,column_50_head_no_wind_new_001,column,no wind,no wind,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T23:02:02.272,23.416,0.429,0.429,2,-5,8,80,-5,58,80,0,300,80,7,250,10,5,242,0,242.052,7.803,15.475,82,82,,-1,0,0,0,0,0,32.0,-13.0,-993.0,61,63,83,60,16.83,66
20260619_230138,column_50_head_no_wind_new_001,column,no wind,no wind,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T23:02:02.376,23.521,0.534,0.534,2,-5,8,80,-5,58,80,0,300,80,7,250,10,5,242,0,242.052,7.803,15.475,82,82,,-1,0,0,0,0,0,28.0,-8.0,-983.0,61,63,82,60,16.86,66
20260619_230138,column_50_head_no_wind_new_001,column,no wind,no wind,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T23:02:02.483,23.627,0.641,0.641,2,-4,8,80,-4,58,80,0,300,80,7,250,10,4,242,0,242.033,7.789,15.287,82,82,,-1,0,0,0,0,0,31.0,-7.0,-993.0,61,63,82,60,16.87,66
20260619_230138,column_50_head_no_wind_new_001,column,no wind,no wind,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T23:02:02.589,23.733,0.746,0.746,2,-4,8,80,-4,58,80,0,300,80,7,250,10,4,242,0,242.033,7.006,13.778,82,82,,-1,0,0,0,0,0,29.0,-3.0,-1004.0,61,63,82,60,16.72,66
20260619_230138,column_50_head_no_wind_new_001,column,no wind,no wind,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T23:02:02.695,23.839,0.853,0.853,2,-4,8,80,-4,58,80,0,300,80,7,250,10,4,242,0,242.033,7.03,13.778,82,82,,-1,0,0,0,0,0,11.0,-1.0,-1002.0,61,63,82,60,16.79,66
20260619_230138,column_50_head_no_wind_new_001,column,no wind,no wind,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T23:02:02.802,23.946,0.959,0.959,2,-4,8,80,-4,58,80,0,300,80,7,250,10,4,242,0,242.033,7.03,13.778,82,82,,-1,0,0,0,0,0,45.0,0.0,-990.0,61,63,81,60,16.89,67
20260619_230138,column_50_head_no_wind_new_001,column,no wind,no wind,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T23:02:02.907,24.051,1.065,1.065,2,-6,8,80,-6,58,80,0,300,80,7,250,10,6,242,0,242.074,7.03,13.944,82,82,,-1,0,0,0,0,0,21.0,-6.0,-1012.0,60,63,81,60,16.8,67
