run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:41.943,23.116,0.0,0.0,3,1,-16,83,1,84,83,0,350,80,8,250,10,-1,266,-3,266.019,9.807,22.007,64,64,,42,0,0,0,0,0,0.0,-23.0,-1025.0,66,68,82,70,33.03,172
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:42.053,23.225,0.109,0.109,3,1,-16,84,1,84,84,0,350,80,8,250,10,-1,266,-4,266.032,9.807,22.007,64,64,,42,-1,0,0,0,0,-20.0,-7.0,-997.0,66,68,83,70,33.06,172
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:42.159,23.331,0.216,0.216,3,1,-16,84,1,84,84,0,350,80,8,250,10,-1,266,-4,266.032,10.205,23.007,64,64,,43,-1,0,0,0,0,-3.0,2.0,-1004.0,66,68,82,70,33.13,172
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:42.262,23.434,0.319,0.319,3,1,-16,84,1,84,84,0,350,80,8,250,10,-1,266,-4,266.032,10.219,23.007,64,64,,43,-1,0,0,0,0,0.0,-6.0,-991.0,66,68,82,70,33.13,172
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:42.371,23.543,0.427,0.427,3,1,-16,84,1,84,84,0,350,80,8,250,10,-1,266,-4,266.032,10.219,23.007,64,64,,42,0,0,0,0,0,-10.0,-3.0,-997.0,66,68,82,70,33.07,172
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:42.479,23.651,0.535,0.535,3,0,-16,83,0,84,83,0,350,80,8,250,10,0,266,-3,266.017,10.221,23.0,64,64,,42,0,0,0,0,0,-3.0,-10.0,-983.0,66,68,81,70,33.12,172
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:42.586,23.758,0.643,0.643,3,0,-16,83,0,84,83,0,350,80,8,250,10,0,266,-3,266.017,9.791,23.0,64,64,,42,0,0,0,0,0,3.0,10.0,-1009.0,66,68,81,70,33.1,172
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:42.691,23.863,0.747,0.747,3,0,-16,83,0,84,83,0,350,80,8,250,10,0,266,-3,266.017,9.791,23.0,64,64,,42,0,0,0,0,0,14.0,3.0,-999.0,66,68,81,70,33.1,172
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:42.793,23.965,0.849,0.849,3,0,-16,83,0,84,83,0,350,80,8,250,10,0,266,-3,266.017,9.791,23.0,64,64,,42,0,0,0,0,0,-20.0,28.0,-977.0,66,68,81,70,33.08,172
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:42.898,24.07,0.954,0.954,3,2,-19,82,2,81,82,0,350,80,8,250,10,-2,269,-2,269.015,10.573,25.007,64,64,,42,0,0,0,0,0,-37.0,2.0,-989.0,66,68,81,70,33.1,173
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:43.005,24.177,1.062,1.062,3,2,-19,82,2,81,82,0,350,80,8,250,10,-2,269,-2,269.015,10.373,25.007,64,64,,42,0,0,0,0,0,-8.0,8.0,-986.0,66,68,80,70,33.06,173
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:43.111,24.283,1.168,1.168,3,2,-19,82,2,81,82,0,350,80,8,250,10,-2,269,-2,269.015,10.373,25.007,64,64,,42,-1,0,0,0,0,-9.0,-10.0,-1037.0,66,68,80,70,33.11,173
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:43.220,24.392,1.277,1.277,3,2,-19,82,2,81,82,0,350,80,8,250,10,-2,269,-2,269.015,10.373,25.007,64,64,,42,-1,0,0,0,0,-10.0,9.0,-1032.0,66,68,80,70,33.11,173
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:43.324,24.497,1.381,1.381,3,2,-19,81,2,81,81,0,350,80,8,250,10,-2,269,-1,269.009,11.396,27.026,64,64,,42,-1,0,0,0,0,5.0,-13.0,-1030.0,66,68,80,70,33.12,173
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:43.431,24.603,1.488,1.488,3,2,-19,81,2,81,81,0,350,80,8,250,10,-2,269,-1,269.009,11.396,27.026,64,64,,42,-1,0,0,0,0,-10.0,-3.0,-1000.0,66,68,81,70,33.05,173
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:43.537,24.709,1.593,1.593,3,2,-19,81,2,81,81,0,350,80,8,250,10,-2,269,-1,269.009,11.396,27.026,64,64,,42,-1,0,0,0,0,-13.0,2.0,-1032.0,66,68,81,70,33.12,173
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:43.643,24.815,1.699,1.699,3,2,-21,80,2,79,80,0,350,80,8,250,10,-2,271,0,271.007,12.004,29.025,64,64,,42,-1,0,0,0,0,2.0,-5.0,-1013.0,66,68,81,70,33.11,173
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:43.749,24.921,1.806,1.806,3,2,-21,80,2,79,80,0,350,80,8,250,10,-2,271,0,271.007,11.204,27.026,64,64,,42,-1,0,0,0,0,0.0,13.0,-994.0,66,68,81,70,33.16,173
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:43.854,25.026,1.911,1.911,3,2,-21,80,2,79,80,0,350,80,8,250,10,-2,271,0,271.007,11.204,27.026,64,64,,42,-1,0,0,0,0,-15.0,-6.0,-1010.0,66,68,81,70,33.13,174
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:43.962,25.135,2.019,2.019,3,2,-21,80,2,79,80,0,350,80,8,250,10,-2,271,0,271.007,11.204,27.026,64,64,,42,-2,0,0,0,0,-2.0,-1.0,-998.0,66,68,81,70,33.12,174
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:44.066,25.238,2.123,2.123,3,1,-20,81,1,80,81,0,350,80,8,250,10,-1,270,-1,270.004,12.405,27.004,64,64,,42,-2,0,0,0,0,2.0,-11.0,-1003.0,66,68,82,70,33.15,174
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:44.174,25.346,2.231,2.231,3,1,-20,81,1,80,81,0,350,80,8,250,10,-1,270,-1,270.004,12.605,27.004,64,64,,42,-1,0,0,0,0,-35.0,16.0,-1007.0,66,68,82,70,33.16,174
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:44.278,25.451,2.335,2.335,3,1,-20,81,1,80,81,0,350,80,8,250,10,-1,270,-1,270.004,12.605,27.004,64,64,,42,-1,0,0,0,0,-24.0,-1.0,-967.0,66,68,82,70,33.18,174
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:44.385,25.557,2.442,2.442,3,1,-20,81,1,80,81,0,350,80,8,250,10,-1,270,-1,270.004,12.605,27.004,64,64,,42,-2,0,0,0,0,-15.0,0.0,-992.0,66,68,82,70,33.16,174
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:44.494,25.666,2.55,2.55,3,-1,-19,83,-1,81,83,0,350,80,8,250,10,1,269,-3,269.019,15.001,34.015,64,64,,42,-1,0,0,0,0,-27.0,2.0,-977.0,66,68,82,70,33.13,174
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:44.598,25.77,2.654,2.654,3,-1,-19,83,-1,81,83,0,350,80,8,250,10,1,269,-3,269.019,16.774,34.015,64,64,,42,-1,0,0,0,0,-37.0,23.0,-951.0,66,68,82,70,33.16,174
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:44.704,25.876,2.761,2.761,3,-1,-19,83,-1,81,83,0,350,80,8,250,10,1,269,-3,269.019,16.774,34.015,64,64,,42,-2,0,0,0,0,-43.0,0.0,-972.0,66,68,82,70,33.09,174
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:44.813,25.985,2.87,2.87,3,-1,-19,83,-1,81,83,0,350,80,8,250,10,1,269,-3,269.019,16.796,34.015,64,64,,42,-1,0,0,0,0,-30.0,-2.0,-1010.0,66,68,81,70,33.11,174
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:44.922,26.094,2.978,2.978,3,0,-20,83,0,80,83,0,350,80,8,250,10,0,270,-3,270.017,18.792,40.014,64,64,,42,-2,0,0,0,0,-48.0,-13.0,-985.0,66,68,82,70,33.16,175
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:45.028,26.2,3.085,3.085,3,0,-20,83,0,80,83,0,350,80,8,250,10,0,270,-3,270.017,17.206,40.014,64,64,,42,-1,0,0,0,0,-29.0,-17.0,-996.0,66,68,82,70,33.17,175
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:45.134,26.306,3.191,3.191,3,0,-20,83,0,80,83,0,350,80,8,250,10,0,270,-3,270.017,17.205,40.014,64,64,,42,-1,0,0,0,0,-8.0,-21.0,-1024.0,66,68,82,70,33.16,175
20260701_212018,column_50_tail_lv1_new_004,column,tail wind,Level1,50,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_5,2026-07-01T21:20:45.237,26.41,3.294,3.294,3,-2,-19,82,-2,81,82,0,350,80,8,250,10,2,269,-2,269.015,16.801,39.058,64,64,,42,-2,0,0,0,0,-52.0,-8.0,-1003.0,66,68,81,70,33.14,175
