run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T18:30:59.756,21.534,0.0,0.0,2,-2,3,75,-2,53,75,0,300,80,7,250,10,2,247,5,247.059,7.116,14.537,64,64,,0,0,1,0,0,0,23.0,-18.0,-986.0,62,64,78,30,30.82,61
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T18:30:59.863,21.641,0.108,0.108,2,-2,3,75,-2,53,75,0,300,80,7,250,10,2,247,5,247.059,7.116,14.537,64,64,,0,0,1,0,0,0,11.0,-10.0,-985.0,62,64,79,30,30.85,61
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T18:30:59.972,21.75,0.216,0.216,2,-2,3,75,-2,53,75,0,300,80,7,250,10,2,247,5,247.059,6.061,13.789,64,64,,0,1,1,0,0,0,26.0,-26.0,-992.0,62,64,78,30,30.82,61
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T18:31:00.080,21.858,0.324,0.324,2,-2,3,75,-2,53,75,0,300,80,7,250,10,2,247,5,247.059,6.454,14.761,64,64,,0,1,1,0,0,0,22.0,-21.0,-985.0,62,64,78,30,30.83,61
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T18:31:00.188,21.966,0.433,0.433,2,-1,4,76,-1,54,76,0,300,80,7,250,10,1,246,4,246.035,7.03,14.761,64,64,,0,1,1,0,0,0,32.0,-20.0,-1004.0,62,64,79,30,30.85,61
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T18:31:00.296,22.075,0.541,0.541,2,-1,4,76,-1,54,76,0,300,80,7,250,10,1,246,4,246.035,6.773,14.761,64,64,,0,1,1,0,0,0,10.0,-11.0,-1005.0,62,64,79,30,30.77,61
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T18:31:00.404,22.182,0.648,0.648,2,-1,4,76,-1,54,76,0,300,80,7,250,10,1,246,4,246.035,6.557,14.761,64,64,,0,1,1,0,0,0,19.0,-19.0,-1003.0,62,64,79,30,30.81,61
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T18:31:00.511,22.29,0.756,0.756,2,-1,4,76,-1,54,76,0,300,80,7,250,10,1,246,4,246.035,6.246,14.537,64,64,,0,1,1,0,0,0,5.0,-23.0,-984.0,62,64,79,30,30.77,62
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T18:31:00.618,22.396,0.862,0.862,2,-2,5,76,-2,55,76,0,300,80,7,250,10,2,245,4,245.041,6.648,14.537,64,64,,0,1,1,0,0,0,3.0,-24.0,-984.0,62,64,79,30,30.7,62
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T18:31:00.725,22.503,0.969,0.969,2,-2,5,76,-2,55,76,0,300,80,7,250,10,2,245,4,245.041,7.091,14.537,64,64,,0,1,1,0,0,0,22.0,-33.0,-991.0,62,64,79,30,30.72,62
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T18:31:00.831,22.609,1.075,1.075,2,-2,5,76,-2,55,76,0,300,80,7,250,10,2,245,4,245.041,6.765,14.761,64,64,,0,1,1,0,0,0,13.0,-21.0,-993.0,62,63,79,30,30.77,62
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T18:31:00.937,22.716,1.182,1.182,2,-2,5,76,-2,55,76,0,300,80,7,250,10,2,245,4,245.041,6.987,15.734,64,64,,0,0,1,0,0,0,-7.0,-22.0,-1002.0,62,63,78,30,30.76,62
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T18:31:01.044,22.822,1.288,1.288,2,-3,5,76,-3,55,76,0,300,80,7,250,10,3,245,4,245.051,7.005,15.734,64,64,,0,0,1,0,0,0,3.0,-20.0,-1013.0,62,63,78,30,30.78,62
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T18:31:01.150,22.929,1.395,1.395,2,-3,5,76,-3,55,76,0,300,80,7,250,10,3,245,4,245.051,6.984,15.734,64,64,,0,0,1,0,0,0,10.0,-17.0,-976.0,62,63,79,30,30.79,62
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T18:31:01.256,23.034,1.5,1.5,2,-3,4,76,-3,54,76,0,300,80,7,250,10,3,246,4,246.051,7.757,16.708,64,64,,0,0,1,0,0,0,1.0,-16.0,-984.0,62,63,78,30,30.78,62
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T18:31:01.360,23.138,1.605,1.605,2,-3,4,76,-3,54,76,0,300,80,7,250,10,3,246,4,246.051,7.757,16.708,64,64,,0,0,1,0,0,0,14.0,-35.0,-1008.0,62,63,78,30,30.8,62
20260619_183038,column_50_tail_lv1_new_prepare,column,tail wind,Level1,50,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_5,2026-06-19T18:31:01.468,23.246,1.712,1.712,2,-3,4,76,-3,54,76,0,300,80,7,250,10,3,246,4,246.051,7.757,16.708,64,64,,0,0,1,0,0,0,13.0,-22.0,-1006.0,62,63,78,30,30.74,63
