run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260620_175314,column_75_head_lv1_new_002,column,head wind,Level1,75,drone_1,192.168.0.102,B11,1,column_1,1,0,8,node_logging,2026-06-20T17:53:33.897,19.39,0.0,0.0,1,-2,1,78,-2,601,78,0,300,80,5,300,10,2,-301,2,301.013,3.165,6.934,66,66,,-16,0,0,0,0,0,-18.0,13.0,-1014.0,64,67,78,60,-40.63,244
20260620_175314,column_75_head_lv1_new_002,column,head wind,Level1,75,drone_2,192.168.0.109,B10,2,column_2,8,0,7,node_segment_1_of_4,2026-06-20T17:53:33.897,19.39,0.0,0.0,8,1,-1,82,1,524,82,0,225,80,4,300,10,-1,-299,-2,299.008,3.165,6.934,66,66,,-9,0,0,0,0,0,7.0,7.0,-1011.0,66,68,83,70,-39.65,224
20260620_175314,column_75_head_lv1_new_002,column,head wind,Level1,75,drone_3,192.168.0.103,B13,3,column_3,7,0,6,node_segment_1_of_4,2026-06-20T17:53:33.897,19.39,0.0,0.0,7,4,6,83,4,456,83,0,150,80,3,300,10,-4,-306,-3,306.041,3.165,6.934,68,68,,-1,0,0,0,0,0,1.0,-5.0,-985.0,70,72,82,70,-39.8,184
20260620_175314,column_75_head_lv1_new_002,column,head wind,Level1,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T17:53:33.897,19.39,0.0,0.0,6,-1,2,87,-1,377,87,0,75,80,2,300,10,1,-302,-7,302.083,3.165,6.934,68,68,,-11,0,0,0,0,0,21.0,-19.0,-1008.0,60,62,85,70,-39.29,187
20260620_175314,column_75_head_lv1_new_002,column,head wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T17:53:33.897,19.39,0.0,0.0,5,5,3,83,5,303,83,0,0,80,1,300,10,-5,-303,-3,303.056,3.165,6.934,64,64,,8,0,0,0,0,0,52.0,-21.0,-1084.0,62,65,79,70,-40.65,247
20260620_175314,column_75_head_lv1_new_002,column,head wind,Level1,75,drone_1,192.168.0.102,B11,1,column_1,1,0,8,node_segment_1_of_4,2026-06-20T17:53:34.003,19.496,0.106,0.106,1,-2,1,78,-2,601,78,0,300,80,5,300,10,2,-301,2,301.013,3.165,6.934,66,66,,-16,0,0,0,0,0,0.0,-15.0,-977.0,64,67,78,60,-40.63,244
20260620_175314,column_75_head_lv1_new_002,column,head wind,Level1,75,drone_2,192.168.0.109,B10,2,column_2,8,0,7,node_segment_1_of_4,2026-06-20T17:53:34.003,19.496,0.106,0.106,8,1,-1,82,1,524,82,0,225,80,4,300,10,-1,-299,-2,299.008,3.165,6.934,66,66,,-9,0,0,0,0,0,7.0,16.0,-989.0,66,68,83,70,-39.65,224
20260620_175314,column_75_head_lv1_new_002,column,head wind,Level1,75,drone_3,192.168.0.103,B13,3,column_3,7,0,6,node_segment_1_of_4,2026-06-20T17:53:34.003,19.496,0.106,0.106,7,4,6,83,4,456,83,0,150,80,3,300,10,-4,-306,-3,306.041,3.165,6.934,68,68,,-1,0,0,0,0,0,16.0,-28.0,-1013.0,70,72,82,70,-39.81,184
20260620_175314,column_75_head_lv1_new_002,column,head wind,Level1,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T17:53:34.003,19.496,0.106,0.106,6,-1,2,87,-1,377,87,0,75,80,2,300,10,1,-302,-7,302.083,3.165,6.934,68,68,,-11,0,0,0,0,0,3.0,-2.0,-994.0,60,62,85,70,-39.32,187
20260620_175314,column_75_head_lv1_new_002,column,head wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T17:53:34.003,19.496,0.106,0.106,5,5,3,83,5,303,83,0,0,80,1,300,10,-5,-303,-3,303.056,3.165,6.934,64,64,,8,0,0,0,0,0,0.0,7.0,-994.0,62,65,79,70,-40.58,248
