run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:35.631,21.175,0.0,0.0,6,-4,10,86,-4,385,86,0,75,80,2,300,10,4,-310,-6,310.084,8.808,17.13,73,73,,-100,0,0,0,0,0,12.0,20.0,-1005.0,57,59,84,70,-46.85,110
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:35.740,21.284,0.109,0.109,6,-4,10,86,-4,385,86,0,75,80,2,300,10,4,-310,-6,310.084,8.808,17.13,73,73,,-100,0,0,0,0,0,9.0,10.0,-1001.0,57,59,85,70,-46.81,110
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:35.847,21.391,0.216,0.216,6,-5,10,86,-5,385,86,0,75,80,2,300,10,5,-310,-6,310.098,8.742,17.036,73,73,,-100,0,0,0,0,0,-19.0,27.0,-996.0,57,59,85,70,-46.87,111
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:35.955,21.499,0.324,0.324,6,-5,10,86,-5,385,86,0,75,80,2,300,10,5,-310,-6,310.098,9.084,17.932,73,73,,-101,0,0,0,0,0,-8.0,17.0,-1001.0,57,59,85,70,-46.75,111
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:36.060,21.604,0.429,0.429,6,-5,10,86,-5,385,86,0,75,80,2,300,10,5,-310,-6,310.098,11.053,19.447,73,73,,-101,0,0,0,0,0,1.0,-2.0,-1002.0,57,59,85,70,-46.77,111
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:36.164,21.707,0.533,0.533,6,-4,10,87,-4,385,87,0,75,80,2,300,10,4,-310,-7,310.105,11.065,19.447,73,73,,-101,0,0,0,0,0,19.0,-3.0,-1020.0,57,59,85,70,-46.82,111
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:36.270,21.814,0.639,0.639,6,-4,10,87,-4,385,87,0,75,80,2,300,10,4,-310,-7,310.105,10.584,17.921,73,73,,-100,0,0,0,0,0,13.0,6.0,-989.0,57,59,85,70,-46.74,111
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:36.378,21.922,0.747,0.747,6,-4,10,87,-4,385,87,0,75,80,2,300,10,4,-310,-7,310.105,10.584,17.921,73,73,,-100,0,0,0,0,0,4.0,10.0,-986.0,57,59,86,70,-46.71,111
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:36.485,22.029,0.854,0.854,6,-5,8,87,-5,383,87,0,75,80,2,300,10,5,-308,-7,308.12,7.46,14.819,73,73,,-100,0,0,0,0,0,24.0,-6.0,-1028.0,57,59,85,70,-46.82,111
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:36.591,22.135,0.96,0.96,6,-5,8,87,-5,383,87,0,75,80,2,300,10,5,-308,-7,308.12,7.46,14.819,73,73,,-100,0,0,0,0,0,3.0,7.0,-1003.0,57,59,86,70,-46.81,111
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:36.698,22.241,1.067,1.067,6,-5,8,87,-5,383,87,0,75,80,2,300,10,5,-308,-7,308.12,7.916,15.732,73,73,,-100,0,0,0,0,0,9.0,0.0,-1002.0,57,59,85,70,-46.74,111
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:36.803,22.346,1.172,1.172,6,-5,8,87,-5,383,87,0,75,80,2,300,10,5,-308,-7,308.12,7.713,15.732,73,73,,-100,0,0,0,0,0,1.0,14.0,-996.0,57,59,86,70,-46.82,112
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:36.910,22.454,1.279,1.279,6,-3,7,88,-3,382,88,0,75,80,2,300,10,3,-307,-8,307.119,7.358,14.948,73,73,,-100,0,0,0,0,0,24.0,-12.0,-991.0,57,59,85,70,-46.77,112
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:37.015,22.558,1.384,1.384,6,-3,7,88,-3,382,88,0,75,80,2,300,10,3,-307,-8,307.119,7.358,14.948,73,73,,-100,-1,0,0,0,0,10.0,16.0,-986.0,57,59,85,70,-46.81,112
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:37.122,22.666,1.491,1.491,6,-3,7,88,-3,382,88,0,75,80,2,300,10,3,-307,-8,307.119,9.385,16.366,73,73,,-100,0,0,0,0,0,20.0,-14.0,-1020.0,57,60,84,70,-46.78,112
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:37.228,22.771,1.597,1.597,6,-3,7,88,-3,382,88,0,75,80,2,300,10,3,-307,-8,307.119,9.385,16.366,73,73,,-101,0,0,0,0,0,10.0,5.0,-1014.0,57,60,84,70,-46.71,112
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:37.336,22.879,1.705,1.705,6,-4,6,88,-4,381,88,0,75,80,2,300,10,4,-306,-8,306.131,9.927,18.539,73,73,,-101,0,0,0,0,0,-12.0,0.0,-983.0,57,60,84,70,-46.83,112
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:37.443,22.986,1.812,1.812,6,-4,6,88,-4,381,88,0,75,80,2,300,10,4,-306,-8,306.131,9.936,18.539,73,73,,-101,0,0,0,0,0,-11.0,10.0,-993.0,57,60,83,70,-46.85,112
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:37.551,23.094,1.92,1.92,6,-4,6,88,-4,381,88,0,75,80,2,300,10,4,-306,-8,306.131,9.936,18.539,73,73,,-101,0,0,0,0,0,12.0,-2.0,-987.0,57,60,83,70,-46.91,112
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:37.657,23.201,2.026,2.026,6,-2,6,86,-2,381,86,0,75,80,2,300,10,2,-306,-6,306.065,9.931,18.539,73,73,,-101,0,0,0,0,0,23.0,1.0,-1021.0,57,60,82,70,-46.83,112
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:37.764,23.307,2.133,2.133,6,-2,6,86,-2,381,86,0,75,80,2,300,10,2,-306,-6,306.065,9.199,16.546,73,73,,-101,0,0,0,0,0,0.0,7.0,-1005.0,57,60,82,70,-46.86,113
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:37.867,23.411,2.236,2.236,6,-2,6,86,-2,381,86,0,75,80,2,300,10,2,-306,-6,306.065,9.193,16.546,73,73,,-101,0,0,0,0,0,26.0,-16.0,-1025.0,57,60,81,70,-46.92,113
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:37.974,23.517,2.343,2.343,6,-2,6,86,-2,381,86,0,75,80,2,300,10,2,-306,-6,306.065,10.355,18.991,73,73,,-100,0,0,0,1,0,7.0,1.0,-1005.0,57,60,80,70,-46.93,113
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:38.080,23.624,2.449,2.449,6,-1,4,84,-1,379,84,0,75,80,2,300,10,1,-304,-4,304.028,9.979,18.991,73,73,,-100,0,0,0,0,0,-3.0,5.0,-1009.0,57,60,80,70,-46.94,113
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:38.184,23.727,2.553,2.553,6,-1,4,84,-1,379,84,0,75,80,2,300,10,1,-304,-4,304.028,9.979,18.991,73,73,,-100,0,0,0,1,0,-20.0,14.0,-984.0,57,60,80,70,-46.87,113
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:38.291,23.835,2.66,2.66,6,-1,4,84,-1,379,84,0,75,80,2,300,10,1,-304,-4,304.028,9.553,18.452,73,73,,-100,0,0,0,1,0,0.0,10.0,-996.0,57,60,81,70,-46.86,113
20260620_185914,column_75_head_lv2_new_001,column,head wind,Level2,75,drone_4,192.168.0.106,B14,4,column_4,6,0,5,node_segment_1_of_4,2026-06-20T18:59:38.397,23.941,2.767,2.767,6,-1,4,84,-1,379,84,0,75,80,2,300,10,1,-304,-4,304.028,6.113,11.323,73,73,,-100,0,0,0,1,0,-2.0,-3.0,-999.0,57,60,81,70,-46.85,113
