run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_1,192.168.0.102,B11,1,column_1,1,0,0,node_to_node,2026-06-20T20:18:09.040,17.301,0.0,0.0,1,-6,-1,82,-6,-1,82,0,300,80,5,300,10,6,301,-2,301.066,8.977,18.134,47,47,,-25,0,0,0,0,0,34.0,-17.0,-1023.0,66,67,82,80,-56.67,364
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_4,2026-06-20T20:18:09.040,17.301,0.0,0.0,2,-3,2,81,-3,77,81,0,375,80,6,300,10,3,298,-1,298.017,8.977,18.134,51,51,,5,0,0,0,0,0,20.0,-1.0,-993.0,66,67,83,70,-55.74,272
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_4,2026-06-20T20:18:09.040,17.301,0.0,0.0,3,0,-7,85,0,143,85,0,450,80,7,300,10,0,307,-5,307.041,8.977,18.134,51,51,,2,0,0,0,0,0,11.0,1.0,-1007.0,71,73,84,70,-55.68,260
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_4,192.168.0.106,B14,4,column_4,4,0,3,node_segment_1_of_4,2026-06-20T20:18:09.040,17.301,0.0,0.0,4,2,-14,86,2,211,86,0,525,80,8,300,10,-2,314,-6,314.064,8.977,18.134,52,52,,-14,0,0,0,0,0,6.0,-6.0,-1039.0,60,62,83,70,-55.36,291
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T20:18:09.040,17.301,0.0,0.0,5,-3,4,85,-3,304,85,0,600,80,1,300,10,3,296,-5,296.057,8.977,18.134,48,48,,-8,0,0,0,0,0,-15.0,9.0,-971.0,62,65,82,70,-56.61,318
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_1,192.168.0.102,B11,1,column_1,1,0,0,node_segment_1_of_4,2026-06-20T20:18:09.146,17.407,0.106,0.106,1,-6,-1,82,-6,-1,82,0,300,80,5,300,10,6,301,-2,301.066,8.977,18.134,47,47,,-25,0,0,0,0,0,31.0,-3.0,-1014.0,66,67,81,80,-56.68,364
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_2,192.168.0.109,B10,2,column_2,2,0,1,node_segment_1_of_4,2026-06-20T20:18:09.146,17.407,0.106,0.106,2,-3,2,81,-3,77,81,0,375,80,6,300,10,3,298,-1,298.017,8.977,18.134,51,51,,5,1,0,0,0,0,63.0,-17.0,-995.0,66,67,82,70,-55.78,272
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_4,2026-06-20T20:18:09.146,17.407,0.106,0.106,3,0,-7,85,0,143,85,0,450,80,7,300,10,0,307,-5,307.041,8.977,18.134,51,51,,2,0,0,0,0,0,-23.0,0.0,-993.0,71,73,84,70,-55.79,260
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_4,192.168.0.106,B14,4,column_4,4,0,3,node_segment_1_of_4,2026-06-20T20:18:09.146,17.407,0.106,0.106,4,2,-14,86,2,211,86,0,525,80,8,300,10,-2,314,-6,314.064,8.977,18.134,52,52,,-14,-1,0,0,0,0,16.0,-4.0,-992.0,60,62,84,70,-55.44,291
20260620_201751,column_75_side_lv1_new_003,column,side wind,Level1,75,drone_5,192.168.0.107,B12,5,column_5,5,0,4,node_segment_1_of_4,2026-06-20T20:18:09.146,17.407,0.106,0.106,5,-3,4,85,-3,304,85,0,600,80,1,300,10,3,296,-5,296.057,8.977,18.134,48,48,,-8,0,0,0,0,0,26.0,-30.0,-990.0,62,65,82,70,-56.62,318
