run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260620_213103,column_75_side_lv2_new_002,column,side wind,Level2,75,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_4,2026-06-20T21:31:23.019,19.111,0.0,0.0,3,-5,2,84,-5,152,84,0,450,80,7,300,10,5,298,-4,298.069,5.398,12.023,63,63,,6,0,0,0,0,0,29.0,-14.0,-1008.0,68,71,82,70,-60.56,185
20260620_213103,column_75_side_lv2_new_002,column,side wind,Level2,75,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_4,2026-06-20T21:31:23.128,19.219,0.109,0.109,3,-5,1,83,-5,151,83,0,450,80,7,300,10,5,299,-3,299.057,5.609,12.023,63,63,,6,0,0,0,0,0,27.0,-15.0,-1021.0,68,71,82,70,-60.58,185
20260620_213103,column_75_side_lv2_new_002,column,side wind,Level2,75,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_4,2026-06-20T21:31:23.236,19.328,0.217,0.217,3,-5,1,83,-5,151,83,0,450,80,7,300,10,5,299,-3,299.057,5.609,12.023,63,63,,6,0,0,0,0,0,16.0,15.0,-1006.0,68,71,81,70,-60.6,186
20260620_213103,column_75_side_lv2_new_002,column,side wind,Level2,75,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_4,2026-06-20T21:31:23.344,19.436,0.326,0.326,3,-5,1,83,-5,151,83,0,450,80,7,300,10,5,299,-3,299.057,5.609,12.023,63,63,,6,0,0,0,0,0,36.0,0.0,-999.0,68,71,81,70,-60.65,186
20260620_213103,column_75_side_lv2_new_002,column,side wind,Level2,75,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_4,2026-06-20T21:31:23.448,19.54,0.429,0.429,3,-4,1,83,-4,151,83,0,450,80,7,300,10,4,299,-3,299.042,5.518,12.092,63,63,,6,0,0,0,0,0,26.0,-11.0,-1046.0,68,71,81,70,-60.63,186
20260620_213103,column_75_side_lv2_new_002,column,side wind,Level2,75,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_4,2026-06-20T21:31:23.556,19.648,0.537,0.537,3,-4,1,83,-4,151,83,0,450,80,7,300,10,4,299,-3,299.042,5.518,12.092,63,63,,6,0,0,0,0,0,-13.0,-1.0,-990.0,68,71,81,70,-60.59,186
20260620_213103,column_75_side_lv2_new_002,column,side wind,Level2,75,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_4,2026-06-20T21:31:23.663,19.754,0.644,0.644,3,-4,1,83,-4,151,83,0,450,80,7,300,10,4,299,-3,299.042,5.121,11.052,63,63,,6,0,0,0,0,0,-21.0,0.0,-1010.0,68,71,81,60,-60.64,186
20260620_213103,column_75_side_lv2_new_002,column,side wind,Level2,75,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_4,2026-06-20T21:31:23.766,19.857,0.747,0.747,3,-4,1,83,-4,151,83,0,450,80,7,300,10,4,299,-3,299.042,5.52,12.052,63,63,,6,0,0,0,0,0,0.0,7.0,-1019.0,68,71,80,60,-60.62,186
20260620_213103,column_75_side_lv2_new_002,column,side wind,Level2,75,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_4,2026-06-20T21:31:23.874,19.965,0.855,0.855,3,-10,-5,82,-10,145,82,0,450,80,7,300,10,10,305,-2,305.17,6.217,12.052,63,63,,6,0,0,0,0,0,4.0,7.0,-1006.0,69,71,80,60,-60.59,186
20260620_213103,column_75_side_lv2_new_002,column,side wind,Level2,75,drone_3,192.168.0.103,B13,3,column_3,3,0,2,node_segment_1_of_4,2026-06-20T21:31:23.982,20.073,0.963,0.963,3,-10,-5,82,-10,145,82,0,450,80,7,300,10,10,305,-2,305.17,6.217,12.052,63,63,,6,0,0,0,0,0,4.0,28.0,-989.0,69,71,81,60,-60.57,186
