run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260519_201922,diamond_50_head_lv1_new_003,diamond,head wind,Level1,drone_2,192.168.0.109,B10,2,diamond_2,2,1,1,node_segment_1_of_5,2026-05-19T20:19:40.125,17.546,0.0,0.0,2,1,4,80,51,54,80,50,300,80,7,250,10,-1,246,0,246.002,9.411,25.813,48,48,,2,0,0,0,0,0,-15.0,0.0,-1014.0,64,67,84,70,46.97,309
20260519_201922,diamond_50_head_lv1_new_003,diamond,head wind,Level1,drone_2,192.168.0.109,B10,2,diamond_2,2,1,1,node_segment_1_of_5,2026-05-19T20:19:40.229,17.65,0.104,0.104,2,1,4,80,51,54,80,50,300,80,7,250,10,-1,246,0,246.002,9.411,25.813,48,48,,2,0,0,0,0,0,-26.0,4.0,-1027.0,64,67,83,70,47.01,309
20260519_201922,diamond_50_head_lv1_new_003,diamond,head wind,Level1,drone_2,192.168.0.109,B10,2,diamond_2,2,1,1,node_segment_1_of_5,2026-05-19T20:19:40.334,17.755,0.209,0.209,2,1,4,80,51,54,80,50,300,80,7,250,10,-1,246,0,246.002,9.295,25.813,48,48,,2,0,0,0,0,0,-16.0,6.0,-990.0,64,67,84,70,47.03,309
20260519_201922,diamond_50_head_lv1_new_003,diamond,head wind,Level1,drone_2,192.168.0.109,B10,2,diamond_2,2,1,1,node_segment_1_of_5,2026-05-19T20:19:40.441,17.862,0.316,0.316,2,0,4,81,50,54,81,50,300,80,7,250,10,0,246,-1,246.002,9.552,27.528,48,48,,2,0,0,0,0,0,4.0,-21.0,-1001.0,64,67,84,70,46.95,309
20260519_201922,diamond_50_head_lv1_new_003,diamond,head wind,Level1,drone_2,192.168.0.109,B10,2,diamond_2,2,1,1,node_segment_1_of_5,2026-05-19T20:19:40.545,17.966,0.42,0.42,2,0,4,81,50,54,81,50,300,80,7,250,10,0,246,-1,246.002,9.552,27.528,48,48,,2,-2,0,0,0,0,-21.0,12.0,-963.0,64,67,85,70,46.99,309
20260519_201922,diamond_50_head_lv1_new_003,diamond,head wind,Level1,drone_2,192.168.0.109,B10,2,diamond_2,2,1,1,node_segment_1_of_5,2026-05-19T20:19:40.648,18.069,0.523,0.523,2,0,4,81,50,54,81,50,300,80,7,250,10,0,246,-1,246.002,9.552,27.528,48,48,,2,-1,0,-1,0,0,-52.0,2.0,-1007.0,64,67,84,70,46.88,309
20260519_201922,diamond_50_head_lv1_new_003,diamond,head wind,Level1,drone_2,192.168.0.109,B10,2,diamond_2,2,1,1,node_segment_1_of_5,2026-05-19T20:19:40.755,18.176,0.63,0.63,2,0,6,82,50,56,82,50,300,80,7,250,10,0,244,-2,244.008,9.519,27.528,48,48,,2,-1,0,-1,0,0,-31.0,-1.0,-1005.0,64,67,84,70,46.95,309
20260519_201922,diamond_50_head_lv1_new_003,diamond,head wind,Level1,drone_2,192.168.0.109,B10,2,diamond_2,2,1,1,node_segment_1_of_5,2026-05-19T20:19:40.859,18.28,0.734,0.734,2,0,6,82,50,56,82,50,300,80,7,250,10,0,244,-2,244.008,9.55,29.119,48,48,,2,-1,0,-1,0,0,-37.0,-8.0,-990.0,64,67,84,70,46.79,309
20260519_201922,diamond_50_head_lv1_new_003,diamond,head wind,Level1,drone_2,192.168.0.109,B10,2,diamond_2,2,1,1,node_segment_1_of_5,2026-05-19T20:19:40.963,18.384,0.838,0.838,2,0,6,82,50,56,82,50,300,80,7,250,10,0,244,-2,244.008,9.55,29.119,48,48,,2,-1,0,0,0,0,-56.0,-9.0,-999.0,64,67,84,70,46.88,310
20260519_201922,diamond_50_head_lv1_new_003,diamond,head wind,Level1,drone_2,192.168.0.109,B10,2,diamond_2,2,1,1,node_segment_1_of_5,2026-05-19T20:19:41.069,18.49,0.944,0.944,2,0,6,82,50,56,82,50,300,80,7,250,10,0,244,-2,244.008,9.386,29.119,48,48,,2,-1,0,0,0,0,-60.0,-4.0,-986.0,64,66,84,70,46.8,310
