run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260521_133225,diamond_50_head_no_wind_new_003,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:32:43.277,17.754,0.0,0.0,4,0,14,85,100,114,85,100,350,80,1,250,10,0,236,-5,236.053,8.624,23.824,56,56,,0,1,0,0,0,0,16.0,-20.0,-993.0,61,64,83,70,-78.73,233
20260521_133225,diamond_50_head_no_wind_new_003,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:32:43.393,17.87,0.116,0.116,4,0,14,85,100,114,85,100,350,80,1,250,10,0,236,-5,236.053,8.653,23.824,56,56,,0,1,0,0,0,0,25.0,-25.0,-1019.0,61,64,82,70,-78.78,233
20260521_133225,diamond_50_head_no_wind_new_003,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:32:43.497,17.974,0.22,0.22,4,0,14,85,100,114,85,100,350,80,1,250,10,0,236,-5,236.053,8.653,23.824,56,56,,0,1,0,0,0,0,11.0,18.0,-987.0,61,64,82,70,-78.89,233
20260521_133225,diamond_50_head_no_wind_new_003,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:32:43.605,18.081,0.328,0.328,4,0,14,85,100,114,85,100,350,80,1,250,10,0,236,-5,236.053,8.777,23.824,56,56,,-1,2,0,0,0,0,5.0,-14.0,-1014.0,61,64,81,70,-78.88,233
20260521_133225,diamond_50_head_no_wind_new_003,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:32:43.712,18.189,0.435,0.435,4,0,14,85,100,114,85,100,350,80,1,250,10,0,236,-5,236.053,8.882,23.824,56,56,,-1,-1,0,0,0,0,36.0,-25.0,-988.0,61,64,81,70,-78.97,233
20260521_133225,diamond_50_head_no_wind_new_003,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:32:43.819,18.296,0.542,0.542,4,-1,16,84,99,116,84,100,350,80,1,250,10,1,234,-4,234.036,8.389,20.456,56,56,,-1,-2,1,0,0,0,0.0,-12.0,-1000.0,61,64,81,70,-79.07,233
20260521_133225,diamond_50_head_no_wind_new_003,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:32:43.926,18.403,0.649,0.649,4,-1,16,84,99,116,84,100,350,80,1,250,10,1,234,-4,234.036,8.381,20.456,56,56,,0,0,0,0,0,0,-14.0,-16.0,-1004.0,61,63,80,70,-78.98,233
20260521_133225,diamond_50_head_no_wind_new_003,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:32:44.036,18.513,0.759,0.759,4,-1,16,84,99,116,84,100,350,80,1,250,10,1,234,-4,234.036,8.381,20.456,56,56,,0,0,0,0,0,0,-7.0,-9.0,-1012.0,61,63,80,70,-79.01,234
20260521_133225,diamond_50_head_no_wind_new_003,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:32:44.145,18.622,0.868,0.868,4,-1,16,84,99,116,84,100,350,80,1,250,10,1,234,-4,234.036,8.673,22.339,56,56,,0,0,0,0,0,0,10.0,18.0,-990.0,61,63,80,70,-79.02,234
20260521_133225,diamond_50_head_no_wind_new_003,diamond,head wind,no wind,drone_5,192.168.0.107,B15,5,diamond_5,4,2,2,node_segment_1_of_5,2026-05-21T13:32:44.253,18.73,0.976,0.976,4,-1,15,83,99,115,83,100,350,80,1,250,10,1,235,-3,235.021,8.317,21.344,56,56,,0,0,0,-1,0,0,-4.0,-4.0,-1010.0,61,63,79,70,-78.96,234
