run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260702_200257,diamond_50_side_lv1_new_prepare2,diamond,side wind,Level1,50,drone_5,192.168.0.107,B12,5,diamond_5,4,2,2,node_segment_1_of_5,2026-07-02T20:03:30.392,32.899,0.0,0.0,4,-2,-21,81,98,79,81,100,350,80,1,250,10,2,271,-1,271.009,13.175,34.0,51,51,,145,-2,0,0,0,0,-31.0,-21.0,-965.0,65,68,80,70,32.3,170
20260702_200257,diamond_50_side_lv1_new_prepare2,diamond,side wind,Level1,50,drone_5,192.168.0.107,B12,5,diamond_5,4,2,2,node_segment_1_of_5,2026-07-02T20:03:30.503,33.009,0.111,0.111,4,-3,-22,80,97,78,80,100,350,80,1,250,10,3,272,0,272.017,13.44,34.992,51,51,,145,-2,0,0,0,0,-14.0,-20.0,-1021.0,65,68,80,70,32.3,170
20260702_200257,diamond_50_side_lv1_new_prepare2,diamond,side wind,Level1,50,drone_5,192.168.0.107,B12,5,diamond_5,4,2,2,node_segment_1_of_5,2026-07-02T20:03:30.610,33.116,0.218,0.218,4,-3,-22,80,97,78,80,100,350,80,1,250,10,3,272,0,272.017,13.44,34.992,51,51,,145,-1,1,0,0,0,27.0,-13.0,-1022.0,65,68,80,70,32.28,170
20260702_200257,diamond_50_side_lv1_new_prepare2,diamond,side wind,Level1,50,drone_5,192.168.0.107,B12,5,diamond_5,4,2,2,node_segment_1_of_5,2026-07-02T20:03:30.718,33.224,0.326,0.326,4,-3,-22,80,97,78,80,100,350,80,1,250,10,3,272,0,272.017,14.909,34.992,51,51,,145,-1,0,0,0,0,3.0,-12.0,-1015.0,65,67,80,70,32.33,170
20260702_200257,diamond_50_side_lv1_new_prepare2,diamond,side wind,Level1,50,drone_5,192.168.0.107,B12,5,diamond_5,4,2,2,node_segment_1_of_5,2026-07-02T20:03:30.826,33.332,0.433,0.433,4,-3,-22,80,97,78,80,100,350,80,1,250,10,3,272,0,272.017,14.114,28.972,51,51,,145,-2,0,0,0,0,21.0,-13.0,-1006.0,65,67,81,70,32.28,170
20260702_200257,diamond_50_side_lv1_new_prepare2,diamond,side wind,Level1,50,drone_5,192.168.0.107,B12,5,diamond_5,4,2,2,node_segment_1_of_5,2026-07-02T20:03:30.931,33.438,0.539,0.539,4,-3,-23,80,97,77,80,100,350,80,1,250,10,3,273,0,273.016,14.374,29.971,51,51,,145,-2,0,0,0,0,-42.0,29.0,-1043.0,65,67,81,70,32.27,170
20260702_200257,diamond_50_side_lv1_new_prepare2,diamond,side wind,Level1,50,drone_5,192.168.0.107,B12,5,diamond_5,4,2,2,node_segment_1_of_5,2026-07-02T20:03:31.039,33.545,0.647,0.647,4,-3,-23,80,97,77,80,100,350,80,1,250,10,3,273,0,273.016,14.374,29.971,51,51,,145,-2,0,0,0,0,-70.0,0.0,-985.0,65,67,80,70,32.29,170
20260702_200257,diamond_50_side_lv1_new_prepare2,diamond,side wind,Level1,50,drone_5,192.168.0.107,B12,5,diamond_5,4,2,2,node_segment_1_of_5,2026-07-02T20:03:31.146,33.652,0.754,0.754,4,-3,-23,80,97,77,80,100,350,80,1,250,10,3,273,0,273.016,14.374,29.971,51,51,,145,-1,0,0,0,0,-82.0,4.0,-988.0,65,67,80,70,32.25,170
20260702_200257,diamond_50_side_lv1_new_prepare2,diamond,side wind,Level1,50,drone_5,192.168.0.107,B12,5,diamond_5,4,2,2,node_segment_1_of_5,2026-07-02T20:03:31.250,33.756,0.858,0.858,4,-4,-19,81,96,81,81,100,350,80,1,250,10,4,269,-1,269.032,14.53,31.0,51,51,,145,-2,0,0,0,0,-80.0,14.0,-967.0,65,67,80,70,32.35,171
20260702_200257,diamond_50_side_lv1_new_prepare2,diamond,side wind,Level1,50,drone_5,192.168.0.107,B12,5,diamond_5,4,2,2,node_segment_1_of_5,2026-07-02T20:03:31.356,33.863,0.964,0.964,4,-4,-19,81,96,81,81,100,350,80,1,250,10,4,269,-1,269.032,14.53,31.0,51,51,,145,-1,0,0,0,0,-46.0,16.0,-1013.0,65,67,80,70,32.3,171
