run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260621_175711,diamond_75_head_lv1_new_003,diamond,head wind,Level1,75,drone_1,192.168.0.102,B11,1,diamond_1,7,2,6,node_segment_1_of_4,2026-06-21T17:57:31.547,20.205,0.0,0.0,7,0,4,83,150,454,83,150,150,80,3,300,10,0,-304,-3,304.015,6.027,12.012,55,55,,0,0,0,0,0,0,-5.0,0.0,-960.0,67,69,85,70,-80.98,269
20260621_175711,diamond_75_head_lv1_new_003,diamond,head wind,Level1,75,drone_2,192.168.0.109,B10,2,diamond_2,5,1,5,node_segment_1_of_4,2026-06-21T17:57:31.547,20.205,0.0,0.0,5,0,0,83,75,375,83,75,75,80,1,300,10,0,-300,-3,300.015,6.027,12.012,54,54,,-7,1,-1,0,0,0,-5.0,6.0,-1000.0,67,70,85,80,-80.03,293
20260621_175711,diamond_75_head_lv1_new_003,diamond,head wind,Level1,75,drone_3,192.168.0.103,B13,3,diamond_3,6,2,5,node_segment_1_of_4,2026-06-21T17:57:31.547,20.205,0.0,0.0,6,-7,-5,85,143,370,85,150,75,80,2,300,10,7,-295,-5,295.125,6.027,12.012,57,57,,8,2,0,0,0,0,3.0,22.0,-993.0,71,73,82,70,-80.15,226
20260621_175711,diamond_75_head_lv1_new_003,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:57:31.547,20.205,0.0,0.0,7,-6,6,85,219,381,85,225,75,80,3,300,10,6,-306,-5,306.1,6.027,12.012,55,55,,-31,0,0,0,0,0,-29.0,19.0,-979.0,62,64,84,80,-79.84,280
20260621_175711,diamond_75_head_lv1_new_003,diamond,head wind,Level1,75,drone_5,192.168.0.107,B12,5,diamond_5,5,2,4,node_segment_1_of_4,2026-06-21T17:57:31.547,20.205,0.0,0.0,5,2,-8,86,152,292,86,150,0,80,1,300,10,-2,-292,-6,292.068,6.027,12.012,52,52,,12,0,1,0,0,0,14.0,-24.0,-1030.0,63,65,86,70,-80.89,305
20260621_175711,diamond_75_head_lv1_new_003,diamond,head wind,Level1,75,drone_1,192.168.0.102,B11,1,diamond_1,7,2,6,node_segment_1_of_4,2026-06-21T17:57:31.657,20.315,0.11,0.11,7,0,2,85,150,452,85,150,150,80,3,300,10,0,-302,-5,302.041,5.69,10.012,55,55,,0,0,0,0,0,0,-12.0,-28.0,-986.0,67,69,86,70,-81.07,269
20260621_175711,diamond_75_head_lv1_new_003,diamond,head wind,Level1,75,drone_2,192.168.0.109,B10,2,diamond_2,5,1,5,node_segment_1_of_4,2026-06-21T17:57:31.657,20.315,0.11,0.11,5,1,0,82,76,375,82,75,75,80,1,300,10,-1,-300,-2,300.008,5.69,10.012,54,54,,-7,0,0,0,0,0,15.0,6.0,-1008.0,67,70,84,80,-80.1,293
20260621_175711,diamond_75_head_lv1_new_003,diamond,head wind,Level1,75,drone_3,192.168.0.103,B13,3,diamond_3,6,2,5,node_segment_1_of_4,2026-06-21T17:57:31.657,20.315,0.11,0.11,6,-7,-5,85,143,370,85,150,75,80,2,300,10,7,-295,-5,295.125,5.69,10.012,57,57,,7,2,0,0,0,0,23.0,-24.0,-1012.0,71,73,82,70,-80.37,226
20260621_175711,diamond_75_head_lv1_new_003,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:57:31.657,20.315,0.11,0.11,7,-6,6,85,219,381,85,225,75,80,3,300,10,6,-306,-5,306.1,5.69,10.012,55,55,,-31,0,0,0,0,0,0.0,-10.0,-996.0,62,64,84,80,-79.84,280
20260621_175711,diamond_75_head_lv1_new_003,diamond,head wind,Level1,75,drone_5,192.168.0.107,B12,5,diamond_5,5,2,4,node_segment_1_of_4,2026-06-21T17:57:31.657,20.315,0.11,0.11,5,2,-8,86,152,292,86,150,0,80,1,300,10,-2,-292,-6,292.068,5.69,10.012,52,52,,12,0,1,0,0,0,10.0,3.0,-1015.0,63,65,87,70,-80.93,305
