run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_1,192.168.0.102,B11,1,diamond_1,7,2,6,node_to_node,2026-06-21T17:45:08.731,17.74,0.0,0.0,7,13,6,84,163,456,84,150,150,80,3,300,10,-13,-306,-4,306.302,5.561,12.658,58,58,,-6,0,0,0,0,0,-38.0,46.0,-966.0,63,66,82,70,-79.45,74
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_2,192.168.0.109,B10,2,diamond_2,5,1,5,node_segment_1_of_4,2026-06-21T17:45:08.731,17.74,0.0,0.0,5,3,0,85,78,375,85,75,75,80,1,300,10,-3,-300,-5,300.057,5.561,12.658,55,55,,-2,0,-1,0,0,0,27.0,-23.0,-966.0,62,64,88,70,-78.45,79
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_3,192.168.0.103,B13,3,diamond_3,6,2,5,node_segment_1_of_4,2026-06-21T17:45:08.731,17.74,0.0,0.0,6,3,2,84,153,377,84,150,75,80,2,300,10,-3,-302,-4,302.041,5.561,12.658,31,31,,5,0,0,0,0,0,0.0,9.0,-1007.0,66,69,82,70,-78.44,82
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:08.731,17.74,0.0,0.0,7,-5,7,86,220,382,86,225,75,80,3,300,10,5,-307,-6,307.099,5.561,12.658,38,38,,-10,0,0,0,0,0,14.0,2.0,-1010.0,59,61,84,60,-78.03,86
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_5,192.168.0.107,B12,5,diamond_5,5,2,4,node_segment_1_of_4,2026-06-21T17:45:08.731,17.74,0.0,0.0,5,6,5,84,156,305,84,150,0,80,1,300,10,-6,-305,-4,305.085,5.561,12.658,44,44,,-2,0,0,0,0,0,14.0,1.0,-1008.0,60,62,84,70,-79.26,92
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_1,192.168.0.102,B11,1,diamond_1,7,2,6,node_segment_1_of_4,2026-06-21T17:45:08.841,17.85,0.11,0.11,7,13,6,84,163,456,84,150,150,80,3,300,10,-13,-306,-4,306.302,5.083,12.658,58,58,,-6,0,0,0,0,0,-11.0,44.0,-927.0,63,66,83,70,-79.44,74
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_2,192.168.0.109,B10,2,diamond_2,5,1,5,node_segment_1_of_4,2026-06-21T17:45:08.841,17.85,0.11,0.11,5,3,1,85,78,376,85,75,75,80,1,300,10,-3,-301,-5,301.056,5.083,12.658,55,55,,-1,0,0,0,0,0,-38.0,51.0,-973.0,62,64,87,70,-78.44,79
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_3,192.168.0.103,B13,3,diamond_3,6,2,5,node_segment_1_of_4,2026-06-21T17:45:08.841,17.85,0.11,0.11,6,2,8,84,152,383,84,150,75,80,2,300,10,-2,-308,-4,308.032,5.083,12.658,31,31,,5,0,0,0,0,0,0.0,-9.0,-1013.0,67,69,82,70,-78.47,82
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:08.841,17.85,0.11,0.11,7,-5,7,86,220,382,86,225,75,80,3,300,10,5,-307,-6,307.099,5.083,12.658,38,38,,-10,0,0,0,0,0,-17.0,11.0,-1027.0,59,61,83,60,-78.05,86
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_5,192.168.0.107,B12,5,diamond_5,5,2,4,node_segment_1_of_4,2026-06-21T17:45:08.841,17.85,0.11,0.11,5,6,5,84,156,305,84,150,0,80,1,300,10,-6,-305,-4,305.085,5.083,12.658,44,44,,-2,0,-1,0,0,0,16.0,-17.0,-951.0,60,62,83,70,-79.13,92
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_1,192.168.0.102,B11,1,diamond_1,7,2,6,node_segment_1_of_4,2026-06-21T17:45:08.948,17.957,0.217,0.217,7,14,11,83,164,461,83,150,150,80,3,300,10,-14,-311,-3,311.329,5.938,14.851,58,58,,-7,0,0,0,0,0,-39.0,0.0,-1007.0,63,66,82,70,-79.37,74
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_2,192.168.0.109,B10,2,diamond_2,5,1,5,node_segment_1_of_4,2026-06-21T17:45:08.948,17.957,0.217,0.217,5,3,1,85,78,376,85,75,75,80,1,300,10,-3,-301,-5,301.056,5.938,14.851,55,55,,-1,0,0,0,0,0,-6.0,14.0,-989.0,62,65,87,70,-78.44,79
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_3,192.168.0.103,B13,3,diamond_3,6,2,5,node_segment_1_of_4,2026-06-21T17:45:08.948,17.957,0.217,0.217,6,2,8,84,152,383,84,150,75,80,2,300,10,-2,-308,-4,308.032,5.938,14.851,31,31,,5,0,0,0,0,0,3.0,1.0,-981.0,67,69,82,70,-78.53,82
