run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:08.731,17.74,0.0,0.0,7,-5,7,86,220,382,86,225,75,80,3,300,10,5,-307,-6,307.099,5.561,12.658,38,38,,-10,0,0,0,0,0,14.0,2.0,-1010.0,59,61,84,60,-78.03,86
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:08.841,17.85,0.11,0.11,7,-5,7,86,220,382,86,225,75,80,3,300,10,5,-307,-6,307.099,5.083,12.658,38,38,,-10,0,0,0,0,0,-17.0,11.0,-1027.0,59,61,83,60,-78.05,86
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:08.948,17.957,0.217,0.217,7,-5,7,86,220,382,86,225,75,80,3,300,10,5,-307,-6,307.099,5.938,14.851,38,38,,-10,0,0,0,0,0,-17.0,10.0,-1013.0,59,61,84,60,-78.04,86
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:09.055,18.064,0.324,0.324,7,-6,8,85,219,383,85,225,75,80,3,300,10,6,-308,-5,308.099,6.259,14.851,38,38,,-10,0,0,0,0,0,-7.0,11.0,-1002.0,59,61,84,60,-78.23,87
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:09.160,18.169,0.429,0.429,7,-6,8,85,219,383,85,225,75,80,3,300,10,6,-308,-5,308.099,6.259,14.851,38,38,,-10,0,0,0,0,0,8.0,-7.0,-981.0,59,61,84,60,-77.98,87
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:09.267,18.276,0.536,0.536,7,-6,8,85,219,383,85,225,75,80,3,300,10,6,-308,-5,308.099,6.306,16.979,38,38,,-10,0,0,0,0,0,-6.0,15.0,-1011.0,59,61,84,60,-78.09,87
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:09.375,18.384,0.644,0.644,7,-6,8,85,219,383,85,225,75,80,3,300,10,6,-308,-5,308.099,5.33,13.449,38,38,,-10,0,0,0,0,0,16.0,1.0,-985.0,59,61,84,60,-78.1,87
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:09.483,18.492,0.752,0.752,7,-4,10,85,221,385,85,225,75,80,3,300,10,4,-310,-5,310.066,5.394,13.751,38,38,,-10,0,0,0,0,0,1.0,3.0,-986.0,58,61,84,60,-78.08,87
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:09.589,18.598,0.858,0.858,7,-4,10,85,221,385,85,225,75,80,3,300,10,4,-310,-5,310.066,5.394,13.751,38,38,,-10,0,0,0,0,0,15.0,-2.0,-987.0,58,61,85,60,-78.11,87
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:09.695,18.704,0.965,0.965,7,-4,10,85,221,385,85,225,75,80,3,300,10,4,-310,-5,310.066,5.397,13.751,38,38,,-10,0,0,0,0,0,15.0,-7.0,-1007.0,58,61,84,60,-78.05,87
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:09.802,18.811,1.071,1.071,7,-5,8,86,220,383,86,225,75,80,3,300,10,5,-308,-6,308.099,6.078,12.762,38,38,,-9,0,0,0,0,0,-7.0,22.0,-996.0,58,61,85,60,-78.04,87
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:09.908,18.917,1.177,1.177,7,-5,8,86,220,383,86,225,75,80,3,300,10,5,-308,-6,308.099,5.647,12.762,38,38,,-9,-1,0,0,0,0,0.0,2.0,-1000.0,58,61,85,60,-78.02,87
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:10.017,19.026,1.286,1.286,7,-5,8,86,220,383,86,225,75,80,3,300,10,5,-308,-6,308.099,5.5,12.658,38,38,,-9,-2,0,0,0,0,-7.0,1.0,-981.0,58,61,85,60,-77.96,88
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:10.123,19.132,1.392,1.392,7,-5,7,86,220,382,86,225,75,80,3,300,10,5,-307,-6,307.099,5.39,12.045,38,38,,-9,-1,0,0,0,0,24.0,0.0,-989.0,58,61,84,60,-78.0,88
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:10.230,19.239,1.499,1.499,7,-5,7,86,220,382,86,225,75,80,3,300,10,5,-307,-6,307.099,5.578,12.045,38,38,,-9,-1,0,0,0,0,-8.0,12.0,-992.0,58,61,84,60,-78.08,88
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:10.337,19.346,1.606,1.606,7,-5,7,86,220,382,86,225,75,80,3,300,10,5,-307,-6,307.099,5.195,12.045,38,38,,-9,-1,0,0,0,0,-13.0,6.0,-975.0,58,61,83,60,-78.11,88
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:10.444,19.453,1.713,1.713,7,-5,7,86,220,382,86,225,75,80,3,300,10,5,-307,-6,307.099,5.195,12.045,38,38,,-9,-1,0,0,0,0,-17.0,16.0,-997.0,59,61,82,60,-78.06,88
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:10.553,19.562,1.822,1.822,7,-5,6,86,220,381,86,225,75,80,3,300,10,5,-306,-6,306.1,5.161,11.425,38,38,,-9,-1,0,0,0,0,-6.0,9.0,-1018.0,59,61,82,60,-78.11,88
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:10.659,19.668,1.928,1.928,7,-5,6,86,220,381,86,225,75,80,3,300,10,5,-306,-6,306.1,5.161,11.425,38,38,,-10,0,0,-1,0,0,0.0,10.0,-1010.0,59,61,81,60,-78.1,88
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:10.764,19.773,2.034,2.034,7,-5,6,86,220,381,86,225,75,80,3,300,10,5,-306,-6,306.1,5.296,11.425,38,38,,-10,0,-1,-1,0,0,-4.0,16.0,-1012.0,59,61,80,60,-78.15,88
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:10.873,19.882,2.142,2.142,7,-5,6,84,220,381,84,225,75,80,3,300,10,5,-306,-4,306.067,5.296,11.425,38,38,,-10,0,-1,-1,0,0,19.0,8.0,-1017.0,59,61,81,60,-78.15,88
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:10.981,19.99,2.25,2.25,7,-5,6,84,220,381,84,225,75,80,3,300,10,5,-306,-4,306.067,5.485,11.425,38,38,,-10,0,-1,-1,0,0,-24.0,20.0,-1005.0,59,61,80,60,-78.12,88
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:11.087,20.096,2.356,2.356,7,-5,6,84,220,381,84,225,75,80,3,300,10,5,-306,-4,306.067,5.579,11.425,38,38,,-10,0,-1,-1,0,0,-9.0,23.0,-1011.0,59,61,80,60,-78.13,89
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:11.194,20.203,2.463,2.463,7,-5,6,84,220,381,84,225,75,80,3,300,10,5,-306,-4,306.067,4.961,10.29,38,38,,-10,0,-1,-1,0,0,10.0,15.0,-1013.0,59,61,80,60,-78.07,89
20260621_174450,diamond_75_head_lv1_new_prepare,diamond,head wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,7,3,5,node_segment_1_of_4,2026-06-21T17:45:11.300,20.309,2.569,2.569,7,-7,5,82,218,380,82,225,75,80,3,300,10,7,-305,-2,305.087,5.927,11.992,38,38,,-10,0,-1,-1,0,0,11.0,7.0,-996.0,59,61,80,60,-78.13,89
