run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260621_000535,diamond_75_side_lv2_new_002,diamond,side wind,Level2,75,drone_1,192.168.0.102,B11,1,diamond_1,2,2,0,node_logging,2026-06-21T00:05:53.097,17.398,0.0,0.0,2,0,2,91,150,2,91,150,300,80,6,300,10,0,298,-11,298.203,5.632,12.378,65,65,,4,0,0,0,0,0,36.0,2.0,-959.0,64,66,91,80,-64.57,209
20260621_000535,diamond_75_side_lv2_new_002,diamond,side wind,Level2,75,drone_1,192.168.0.102,B11,1,diamond_1,2,2,0,node_segment_1_of_4,2026-06-21T00:05:53.205,17.506,0.108,0.108,2,0,2,91,150,2,91,150,300,80,6,300,10,0,298,-11,298.203,4.931,12.378,65,65,,4,0,0,0,0,0,24.0,9.0,-1017.0,64,66,93,80,-64.48,209
20260621_000535,diamond_75_side_lv2_new_002,diamond,side wind,Level2,75,drone_1,192.168.0.102,B11,1,diamond_1,2,2,0,node_segment_1_of_4,2026-06-21T00:05:53.309,17.61,0.213,0.213,2,0,2,91,150,2,91,150,300,80,6,300,10,0,298,-11,298.203,4.931,12.378,65,65,,4,0,0,0,0,0,13.0,-11.0,-961.0,64,66,93,90,-64.42,209
20260621_000535,diamond_75_side_lv2_new_002,diamond,side wind,Level2,75,drone_1,192.168.0.102,B11,1,diamond_1,2,2,0,node_segment_1_of_4,2026-06-21T00:05:53.416,17.717,0.319,0.319,2,0,1,93,150,1,93,150,300,80,6,300,10,0,299,-13,299.282,5.355,15.762,65,65,,4,0,0,0,0,0,6.0,2.0,-984.0,64,66,95,90,-64.54,210
20260621_000535,diamond_75_side_lv2_new_002,diamond,side wind,Level2,75,drone_1,192.168.0.102,B11,1,diamond_1,2,2,0,node_segment_1_of_4,2026-06-21T00:05:53.523,17.824,0.426,0.426,2,0,1,93,150,1,93,150,300,80,6,300,10,0,299,-13,299.282,5.884,15.762,65,65,,4,0,0,0,0,0,44.0,4.0,-1007.0,64,66,94,90,-64.49,210
20260621_000535,diamond_75_side_lv2_new_002,diamond,side wind,Level2,75,drone_1,192.168.0.102,B11,1,diamond_1,2,2,0,node_segment_1_of_4,2026-06-21T00:05:53.628,17.929,0.532,0.532,2,0,1,93,150,1,93,150,300,80,6,300,10,0,299,-13,299.282,5.483,15.762,65,65,,4,0,0,0,0,0,-11.0,16.0,-960.0,64,66,95,90,-64.49,210
20260621_000535,diamond_75_side_lv2_new_002,diamond,side wind,Level2,75,drone_1,192.168.0.102,B11,1,diamond_1,2,2,0,node_segment_1_of_4,2026-06-21T00:05:53.737,18.038,0.64,0.64,2,0,0,96,150,0,96,150,300,80,6,300,10,0,300,-16,300.426,5.547,15.762,65,65,,4,0,0,0,0,0,0.0,-7.0,-964.0,64,66,95,90,-64.46,210
20260621_000535,diamond_75_side_lv2_new_002,diamond,side wind,Level2,75,drone_1,192.168.0.102,B11,1,diamond_1,2,2,0,node_segment_1_of_4,2026-06-21T00:05:53.840,18.141,0.743,0.743,2,0,0,96,150,0,96,150,300,80,6,300,10,0,300,-16,300.426,5.868,16.608,65,65,,4,0,0,0,0,0,0.0,-15.0,-941.0,64,66,94,90,-64.49,210
20260621_000535,diamond_75_side_lv2_new_002,diamond,side wind,Level2,75,drone_1,192.168.0.102,B11,1,diamond_1,2,2,0,node_segment_1_of_4,2026-06-21T00:05:53.947,18.248,0.851,0.851,2,0,0,96,150,0,96,150,300,80,6,300,10,0,300,-16,300.426,5.801,16.608,65,65,,4,0,0,0,0,0,1.0,7.0,-990.0,64,66,94,90,-64.5,210
20260621_000535,diamond_75_side_lv2_new_002,diamond,side wind,Level2,75,drone_1,192.168.0.102,B11,1,diamond_1,2,2,0,node_segment_1_of_4,2026-06-21T00:05:54.056,18.357,0.959,0.959,2,0,0,96,150,0,96,150,300,80,6,300,10,0,300,-16,300.426,6.007,16.608,65,65,,4,0,0,0,0,0,20.0,4.0,-995.0,64,66,94,90,-64.56,210
20260621_000535,diamond_75_side_lv2_new_002,diamond,side wind,Level2,75,drone_1,192.168.0.102,B11,1,diamond_1,2,2,0,node_segment_1_of_4,2026-06-21T00:05:54.161,18.462,1.065,1.065,2,0,0,97,150,0,97,150,300,80,6,300,10,0,300,-17,300.481,6.026,15.314,65,65,,4,0,0,0,0,0,14.0,-1.0,-994.0,64,66,94,90,-64.53,210
20260621_000535,diamond_75_side_lv2_new_002,diamond,side wind,Level2,75,drone_1,192.168.0.102,B11,1,diamond_1,2,2,0,node_segment_1_of_4,2026-06-21T00:05:54.268,18.569,1.171,1.171,2,0,0,97,150,0,97,150,300,80,6,300,10,0,300,-17,300.481,7.094,17.627,65,65,,4,0,0,0,0,0,5.0,-3.0,-993.0,64,67,92,90,-64.53,210
20260621_000535,diamond_75_side_lv2_new_002,diamond,side wind,Level2,75,drone_1,192.168.0.102,B11,1,diamond_1,2,2,0,node_segment_1_of_4,2026-06-21T00:05:54.375,18.676,1.278,1.278,2,0,0,97,150,0,97,150,300,80,6,300,10,0,300,-17,300.481,7.16,17.627,65,65,,4,0,0,0,0,0,9.0,-22.0,-962.0,64,67,93,90,-64.51,210
20260621_000535,diamond_75_side_lv2_new_002,diamond,side wind,Level2,75,drone_1,192.168.0.102,B11,1,diamond_1,2,2,0,node_segment_1_of_4,2026-06-21T00:05:54.483,18.784,1.387,1.387,2,0,1,96,150,1,96,150,300,80,6,300,10,0,299,-16,299.428,7.806,19.97,65,65,,4,0,0,0,0,0,-6.0,0.0,-987.0,64,67,92,90,-64.58,211
20260621_000535,diamond_75_side_lv2_new_002,diamond,side wind,Level2,75,drone_1,192.168.0.102,B11,1,diamond_1,2,2,0,node_segment_1_of_4,2026-06-21T00:05:54.592,18.893,1.495,1.495,2,0,1,96,150,1,96,150,300,80,6,300,10,0,299,-16,299.428,7.806,19.97,65,65,,4,0,0,0,0,0,-4.0,-16.0,-991.0,64,67,91,90,-64.57,211
20260621_000535,diamond_75_side_lv2_new_002,diamond,side wind,Level2,75,drone_1,192.168.0.102,B11,1,diamond_1,2,2,0,node_segment_1_of_4,2026-06-21T00:05:54.700,19.001,1.603,1.603,2,0,1,96,150,1,96,150,300,80,6,300,10,0,299,-16,299.428,8.166,19.97,65,65,,4,0,0,0,0,0,16.0,0.0,-1021.0,64,67,90,90,-64.55,211
20260621_000535,diamond_75_side_lv2_new_002,diamond,side wind,Level2,75,drone_1,192.168.0.102,B11,1,diamond_1,2,2,0,node_segment_1_of_4,2026-06-21T00:05:54.806,19.107,1.709,1.709,2,0,1,96,150,1,96,150,300,80,6,300,10,0,299,-16,299.428,8.166,19.97,65,65,,4,1,0,0,0,0,27.0,-10.0,-1007.0,64,67,90,90,-64.57,211
