run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260621_152905,diamond_75_tail_lv1_new_001,diamond,tail wind,Level1,75,drone_1,192.168.0.102,B11,1,diamond_1,2,2,0,node_segment_1_of_4,2026-06-21T15:29:23.501,18.262,0.0,0.0,2,-10,3,83,140,3,83,150,300,80,6,300,10,10,297,-3,297.183,5.399,10.805,74,74,,-6,0,0,0,0,0,0.0,13.0,-1020.0,65,67,79,70,-74.05,147
20260621_152905,diamond_75_tail_lv1_new_001,diamond,tail wind,Level1,75,drone_2,192.168.0.109,B10,2,diamond_2,2,1,1,node_segment_1_of_4,2026-06-21T15:29:23.501,18.262,0.0,0.0,2,0,1,83,75,76,83,75,375,80,6,300,10,0,299,-3,299.015,5.399,10.805,73,73,,-24,0,2,0,0,0,35.0,-26.0,-1021.0,66,68,85,80,-73.0,158
20260621_152905,diamond_75_tail_lv1_new_001,diamond,tail wind,Level1,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-21T15:29:23.501,18.262,0.0,0.0,3,-11,6,86,139,81,86,150,375,80,7,300,10,11,294,-6,294.267,5.399,10.805,72,72,,10,0,1,0,0,0,24.0,-10.0,-979.0,64,65,85,70,-73.0,82
20260621_152905,diamond_75_tail_lv1_new_001,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-21T15:29:23.501,18.262,0.0,0.0,4,-4,9,87,221,84,87,225,375,80,8,300,10,4,291,-7,291.112,5.399,10.805,73,73,,4,0,0,0,0,0,0.0,-13.0,-1000.0,58,62,84,70,-72.7,102
20260621_152905,diamond_75_tail_lv1_new_001,diamond,tail wind,Level1,75,drone_5,192.168.0.107,B12,5,diamond_5,4,2,2,node_segment_1_of_4,2026-06-21T15:29:23.501,18.262,0.0,0.0,4,-5,9,81,145,159,81,150,450,80,8,300,10,5,291,-1,291.045,5.399,10.805,74,74,,17,0,0,0,0,0,-39.0,-1.0,-991.0,62,64,80,70,-74.03,170
20260621_152905,diamond_75_tail_lv1_new_001,diamond,tail wind,Level1,75,drone_1,192.168.0.102,B11,1,diamond_1,2,2,0,node_segment_1_of_4,2026-06-21T15:29:23.610,18.372,0.109,0.109,2,-10,3,83,140,3,83,150,300,80,6,300,10,10,297,-3,297.183,5.073,8.485,74,74,,-6,0,0,0,0,0,10.0,14.0,-1025.0,65,67,78,70,-74.01,147
20260621_152905,diamond_75_tail_lv1_new_001,diamond,tail wind,Level1,75,drone_2,192.168.0.109,B10,2,diamond_2,2,1,1,node_segment_1_of_4,2026-06-21T15:29:23.610,18.372,0.109,0.109,2,-4,-2,84,71,73,84,75,375,80,6,300,10,4,302,-4,302.053,5.073,8.485,73,73,,-25,0,2,0,0,0,-5.0,-14.0,-997.0,66,68,84,80,-72.93,158
20260621_152905,diamond_75_tail_lv1_new_001,diamond,tail wind,Level1,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-21T15:29:23.610,18.372,0.109,0.109,3,-11,6,86,139,81,86,150,375,80,7,300,10,11,294,-6,294.267,5.073,8.485,72,72,,10,0,0,0,0,0,-18.0,15.0,-973.0,64,65,85,70,-73.07,82
20260621_152905,diamond_75_tail_lv1_new_001,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-21T15:29:23.610,18.372,0.109,0.109,4,-4,9,87,221,84,87,225,375,80,8,300,10,4,291,-7,291.112,5.073,8.485,73,73,,4,0,0,0,0,0,-5.0,-1.0,-975.0,58,62,84,70,-72.74,102
20260621_152905,diamond_75_tail_lv1_new_001,diamond,tail wind,Level1,75,drone_5,192.168.0.107,B12,5,diamond_5,4,2,2,node_segment_1_of_4,2026-06-21T15:29:23.610,18.372,0.109,0.109,4,-4,9,82,146,159,82,150,450,80,8,300,10,4,291,-2,291.034,5.073,8.485,74,74,,17,0,0,0,0,0,-6.0,-15.0,-1024.0,62,64,80,70,-74.0,170
20260621_152905,diamond_75_tail_lv1_new_001,diamond,tail wind,Level1,75,drone_1,192.168.0.102,B11,1,diamond_1,2,2,0,node_segment_1_of_4,2026-06-21T15:29:23.718,18.479,0.217,0.217,2,-10,3,83,140,3,83,150,300,80,6,300,10,10,297,-3,297.183,5.073,8.485,74,74,,-6,0,0,0,0,0,12.0,22.0,-1020.0,65,67,79,70,-73.95,147
20260621_152905,diamond_75_tail_lv1_new_001,diamond,tail wind,Level1,75,drone_2,192.168.0.109,B10,2,diamond_2,2,1,1,node_segment_1_of_4,2026-06-21T15:29:23.718,18.479,0.217,0.217,2,-4,-2,84,71,73,84,75,375,80,6,300,10,4,302,-4,302.053,5.073,8.485,73,73,,-25,0,2,0,0,0,6.0,-17.0,-1007.0,66,68,84,80,-73.12,158
20260621_152905,diamond_75_tail_lv1_new_001,diamond,tail wind,Level1,75,drone_3,192.168.0.103,B13,3,diamond_3,3,2,1,node_segment_1_of_4,2026-06-21T15:29:23.718,18.479,0.217,0.217,3,-11,6,86,139,81,86,150,375,80,7,300,10,11,294,-6,294.267,5.073,8.485,72,72,,10,1,1,0,0,0,-1.0,5.0,-1008.0,64,65,85,70,-73.09,82
20260621_152905,diamond_75_tail_lv1_new_001,diamond,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,3,1,node_segment_1_of_4,2026-06-21T15:29:23.718,18.479,0.217,0.217,4,-4,9,87,221,84,87,225,375,80,8,300,10,4,291,-7,291.112,5.073,8.485,73,73,,4,0,0,0,0,0,-6.0,-13.0,-1020.0,58,62,84,70,-72.75,103
20260621_152905,diamond_75_tail_lv1_new_001,diamond,tail wind,Level1,75,drone_5,192.168.0.107,B12,5,diamond_5,4,2,2,node_segment_1_of_4,2026-06-21T15:29:23.718,18.479,0.217,0.217,4,-4,9,82,146,159,82,150,450,80,8,300,10,4,291,-2,291.034,5.073,8.485,74,74,,18,0,0,0,0,0,-29.0,2.0,-997.0,62,64,80,70,-74.05,170
20260621_152905,diamond_75_tail_lv1_new_001,diamond,tail wind,Level1,75,drone_1,192.168.0.102,B11,1,diamond_1,2,2,0,node_segment_1_of_4,2026-06-21T15:29:23.825,18.586,0.324,0.324,2,-9,5,82,141,5,82,150,300,80,6,300,10,9,295,-2,295.144,5.205,9.024,74,74,,-6,0,0,0,0,0,21.0,23.0,-1037.0,65,67,79,70,-73.98,147
