run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260623_174634,echalon_50_head_lv2_new_003,echalon,head wind,Level2,50,drone_1,192.168.0.102,B11,1,echalon_1,6,0,5,node_segment_1_of_5,2026-06-23T17:49:35.621,180.835,0.0,0.0,6,3,-2,86,3.0,460.13203435596427,86,0.0,212.13203435596427,80,1,250,10,-3.0,-248.0,-6,248.091,6.962,14.875,74,74,,0,0,2,0,0,0,-19.0,-22.0,-990.0,62,65,79,80,-75.39,118
20260623_174634,echalon_50_head_lv2_new_003,echalon,head wind,Level2,50,drone_2,192.168.0.109,B10,2,echalon_2,7,1,5,node_segment_1_of_5,2026-06-23T17:49:35.621,180.835,0.0,0.0,7,2,5,79,51.49747468305833,417.63455967290594,79,49.49747468305833,162.63455967290594,80,2,250,10,-2.0,-255.0,1,255.01,6.962,14.875,73,73,,7,-4,1,0,0,0,-56.0,10.0,-1001.0,62,64,81,50,-74.54,106
20260623_174634,echalon_50_head_lv2_new_003,echalon,head wind,Level2,50,drone_3,192.168.0.103,B13,3,echalon_3,8,2,5,node_segment_1_of_5,2026-06-23T17:49:35.621,180.835,0.0,0.0,8,3,5,83,109.06601717798213,361.06601717798213,83,106.06601717798213,106.06601717798213,80,3,250,10,-3.0,-255.0,-3,255.035,6.962,14.875,72,72,,-5,-2,0,0,0,0,-37.0,39.0,-965.0,60,62,79,80,-74.69,62
20260623_174634,echalon_50_head_lv2_new_003,echalon,head wind,Level2,50,drone_4,192.168.0.106,B14,4,echalon_4,1,3,5,node_segment_1_of_5,2026-06-23T17:49:35.621,180.835,0.0,0.0,1,0,-2,86,162.63455967290594,297.49747468305833,86,162.63455967290594,49.49747468305833,80,4,250,10,0.0,-248.0,-6,248.073,6.962,14.875,74,74,,1,-1,0,0,0,0,-25.0,6.0,-964.0,57,59,85,80,-73.91,122
20260623_174634,echalon_50_head_lv2_new_003,echalon,head wind,Level2,50,drone_5,192.168.0.107,B12,5,echalon_5,2,4,5,node_segment_1_of_5,2026-06-23T17:49:35.621,180.835,0.0,0.0,2,10,-8,79,222.13203435596427,242.0,79,212.13203435596427,0.0,80,5,250,10,-10.0,-242.0,1,242.209,6.962,14.875,75,75,,0,0,0,0,0,0,54.0,-106.0,-991.0,58,61,76,60,-75.08,126
20260623_174634,echalon_50_head_lv2_new_003,echalon,head wind,Level2,50,drone_1,192.168.0.102,B11,1,echalon_1,6,0,5,node_segment_1_of_5,2026-06-23T17:49:35.730,180.943,0.109,0.109,6,4,-1,83,4.0,461.13203435596427,83,0.0,212.13203435596427,80,1,250,10,-4.0,-249.0,-3,249.05,5.845,12.071,74,74,,0,0,2,0,0,0,-54.0,5.0,-957.0,62,65,77,80,-75.4,118
20260623_174634,echalon_50_head_lv2_new_003,echalon,head wind,Level2,50,drone_2,192.168.0.109,B10,2,echalon_2,7,1,5,node_segment_1_of_5,2026-06-23T17:49:35.730,180.943,0.109,0.109,7,2,5,79,51.49747468305833,417.63455967290594,79,49.49747468305833,162.63455967290594,80,2,250,10,-2.0,-255.0,1,255.01,5.845,12.071,73,73,,7,-4,0,0,0,0,-61.0,20.0,-984.0,62,64,80,50,-74.46,106
20260623_174634,echalon_50_head_lv2_new_003,echalon,head wind,Level2,50,drone_3,192.168.0.103,B13,3,echalon_3,8,2,5,node_segment_1_of_5,2026-06-23T17:49:35.730,180.943,0.109,0.109,8,3,5,83,109.06601717798213,361.06601717798213,83,106.06601717798213,106.06601717798213,80,3,250,10,-3.0,-255.0,-3,255.035,5.845,12.071,72,72,,-5,-1,0,0,0,0,-68.0,16.0,-1045.0,61,63,78,80,-74.73,62
20260623_174634,echalon_50_head_lv2_new_003,echalon,head wind,Level2,50,drone_4,192.168.0.106,B14,4,echalon_4,1,3,5,node_segment_1_of_5,2026-06-23T17:49:35.730,180.943,0.109,0.109,1,0,-2,87,162.63455967290594,297.49747468305833,87,162.63455967290594,49.49747468305833,80,4,250,10,0.0,-248.0,-7,248.099,5.845,12.071,74,74,,1,-1,1,0,0,0,-22.0,4.0,-1007.0,56,58,85,80,-73.97,123
20260623_174634,echalon_50_head_lv2_new_003,echalon,head wind,Level2,50,drone_5,192.168.0.107,B12,5,echalon_5,2,4,5,node_segment_1_of_5,2026-06-23T17:49:35.730,180.943,0.109,0.109,2,7,-7,80,219.13203435596427,243.0,80,212.13203435596427,0.0,80,5,250,10,-7.0,-243.0,0,243.101,5.845,12.071,75,75,,0,1,0,0,0,0,-16.0,-27.0,-1064.0,58,61,75,60,-75.17,126
