run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260623_181508,echalon_50_side_lv1_new_pre1,echalon,side wind,Level1,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-23T18:15:25.437,16.742,0.0,0.0,3,-4,-2,82,102.06601717798213,104.06601717798213,82,106.06601717798213,356.06601717798213,80,8,250,10,4.0,252.0,-2,252.04,5.741,14.214,62,62,,-3,0,0,0,0,0,22.0,-16.0,-995.0,68,70,81,70,-76.69,77
20260623_181508,echalon_50_side_lv1_new_pre1,echalon,side wind,Level1,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-23T18:15:25.543,16.847,0.106,0.106,3,-5,-2,82,101.06601717798213,104.06601717798213,82,106.06601717798213,356.06601717798213,80,8,250,10,5.0,252.0,-2,252.058,5.696,14.899,62,62,,-3,0,0,0,0,0,22.0,-14.0,-1023.0,68,70,81,70,-76.76,77
20260623_181508,echalon_50_side_lv1_new_pre1,echalon,side wind,Level1,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-23T18:15:25.653,16.957,0.216,0.216,3,-5,-2,82,101.06601717798213,104.06601717798213,82,106.06601717798213,356.06601717798213,80,8,250,10,5.0,252.0,-2,252.058,6.128,14.899,62,62,,-3,0,1,0,0,0,-9.0,16.0,-987.0,68,70,82,70,-76.71,77
20260623_181508,echalon_50_side_lv1_new_pre1,echalon,side wind,Level1,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-23T18:15:25.764,17.068,0.327,0.327,3,-5,-2,82,101.06601717798213,104.06601717798213,82,106.06601717798213,356.06601717798213,80,8,250,10,5.0,252.0,-2,252.058,6.128,14.899,62,62,,-3,-1,0,0,0,0,5.0,-3.0,-994.0,68,70,82,70,-76.77,77
20260623_181508,echalon_50_side_lv1_new_pre1,echalon,side wind,Level1,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-23T18:15:25.870,17.175,0.433,0.433,3,-5,-3,83,101.06601717798213,103.06601717798213,83,106.06601717798213,356.06601717798213,80,8,250,10,5.0,253.0,-3,253.067,6.417,15.404,62,62,,-3,-1,0,0,0,0,2.0,-17.0,-987.0,68,70,83,70,-76.74,77
20260623_181508,echalon_50_side_lv1_new_pre1,echalon,side wind,Level1,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-23T18:15:25.977,17.281,0.539,0.539,3,-5,-3,83,101.06601717798213,103.06601717798213,83,106.06601717798213,356.06601717798213,80,8,250,10,5.0,253.0,-3,253.067,6.401,15.404,62,62,,-3,0,0,0,0,0,-3.0,-9.0,-984.0,68,70,82,70,-76.76,77
20260623_181508,echalon_50_side_lv1_new_pre1,echalon,side wind,Level1,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-23T18:15:26.082,17.386,0.644,0.644,3,-5,-3,83,101.06601717798213,103.06601717798213,83,106.06601717798213,356.06601717798213,80,8,250,10,5.0,253.0,-3,253.067,6.401,15.404,62,62,,-3,0,0,0,0,0,3.0,-3.0,-1022.0,68,70,82,70,-76.7,77
20260623_181508,echalon_50_side_lv1_new_pre1,echalon,side wind,Level1,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-23T18:15:26.191,17.495,0.754,0.754,3,-5,-1,84,101.06601717798213,105.06601717798213,84,106.06601717798213,356.06601717798213,80,8,250,10,5.0,251.0,-4,251.082,6.54,15.404,62,62,,-3,0,0,0,0,0,21.0,-14.0,-995.0,68,70,83,70,-76.71,77
20260623_181508,echalon_50_side_lv1_new_pre1,echalon,side wind,Level1,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-23T18:15:26.299,17.603,0.861,0.861,3,-5,-1,84,101.06601717798213,105.06601717798213,84,106.06601717798213,356.06601717798213,80,8,250,10,5.0,251.0,-4,251.082,7.604,18.351,62,62,,-3,0,0,0,0,0,2.0,14.0,-992.0,68,70,82,70,-76.72,77
20260623_181508,echalon_50_side_lv1_new_pre1,echalon,side wind,Level1,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-23T18:15:26.404,17.708,0.966,0.966,3,-5,-1,84,101.06601717798213,105.06601717798213,84,106.06601717798213,356.06601717798213,80,8,250,10,5.0,251.0,-4,251.082,7.873,19.52,62,62,,-3,0,0,-1,0,0,7.0,27.0,-977.0,68,70,82,70,-76.76,78
