run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260623_181508,echalon_50_side_lv1_new_pre1,echalon,side wind,Level1,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_logging,2026-06-23T18:15:25.437,16.742,0.0,0.0,1,-9,-2,87,-9.0,210.13203435596427,87,0.0,462.13203435596427,80,6,250,10,9.0,252.0,-7,252.258,5.741,14.214,58,58,,-3,0,2,0,0,0,-46.0,-37.0,-1015.0,65,67,86,70,-77.58,77
20260623_181508,echalon_50_side_lv1_new_pre1,echalon,side wind,Level1,50,drone_2,192.168.0.109,B10,2,echalon_2,2,1,0,node_segment_1_of_5,2026-06-23T18:15:25.437,16.742,0.0,0.0,2,-3,4,82,46.49747468305833,166.63455967290594,82,49.49747468305833,412.63455967290594,80,7,250,10,3.0,246.0,-2,246.026,5.741,14.214,61,61,,2,0,0,0,0,0,18.0,-46.0,-984.0,65,67,85,70,-76.48,77
20260623_181508,echalon_50_side_lv1_new_pre1,echalon,side wind,Level1,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-23T18:15:25.437,16.742,0.0,0.0,3,-4,-2,82,102.06601717798213,104.06601717798213,82,106.06601717798213,356.06601717798213,80,8,250,10,4.0,252.0,-2,252.04,5.741,14.214,62,62,,-3,0,0,0,0,0,22.0,-16.0,-995.0,68,70,81,70,-76.69,77
20260623_181508,echalon_50_side_lv1_new_pre1,echalon,side wind,Level1,50,drone_4,192.168.0.106,B14,4,echalon_4,4,3,0,node_segment_1_of_5,2026-06-23T18:15:25.437,16.742,0.0,0.0,4,0,9,87,162.63455967290594,58.49747468305833,87,162.63455967290594,299.49747468305833,80,1,250,10,0.0,241.0,-7,241.102,5.741,14.214,59,59,,3,0,0,0,0,0,16.0,1.0,-991.0,60,63,85,70,-76.24,78
20260623_181508,echalon_50_side_lv1_new_pre1,echalon,side wind,Level1,50,drone_5,192.168.0.107,B12,5,echalon_5,5,4,0,node_segment_1_of_5,2026-06-23T18:15:25.437,16.742,0.0,0.0,5,-5,-13,85,207.13203435596427,-13.0,85,212.13203435596427,250.0,80,2,250,10,5.0,263.0,-5,263.095,5.741,14.214,64,64,,3,0,1,0,0,0,32.0,-21.0,-982.0,62,65,84,80,-77.35,77
20260623_181508,echalon_50_side_lv1_new_pre1,echalon,side wind,Level1,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-23T18:15:25.543,16.847,0.106,0.106,1,-9,-2,87,-9.0,210.13203435596427,87,0.0,462.13203435596427,80,6,250,10,9.0,252.0,-7,252.258,5.696,14.899,58,58,,-3,0,2,0,0,0,13.0,-39.0,-960.0,64,67,86,70,-77.61,77
20260623_181508,echalon_50_side_lv1_new_pre1,echalon,side wind,Level1,50,drone_2,192.168.0.109,B10,2,echalon_2,2,1,0,node_segment_1_of_5,2026-06-23T18:15:25.543,16.847,0.106,0.106,2,-3,4,82,46.49747468305833,166.63455967290594,82,49.49747468305833,412.63455967290594,80,7,250,10,3.0,246.0,-2,246.026,5.696,14.899,61,61,,2,0,1,0,0,0,11.0,-30.0,-1002.0,65,67,86,70,-76.51,78
20260623_181508,echalon_50_side_lv1_new_pre1,echalon,side wind,Level1,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-23T18:15:25.543,16.847,0.106,0.106,3,-5,-2,82,101.06601717798213,104.06601717798213,82,106.06601717798213,356.06601717798213,80,8,250,10,5.0,252.0,-2,252.058,5.696,14.899,62,62,,-3,0,0,0,0,0,22.0,-14.0,-1023.0,68,70,81,70,-76.76,77
20260623_181508,echalon_50_side_lv1_new_pre1,echalon,side wind,Level1,50,drone_4,192.168.0.106,B14,4,echalon_4,4,3,0,node_segment_1_of_5,2026-06-23T18:15:25.543,16.847,0.106,0.106,4,-1,10,87,161.63455967290594,59.49747468305833,87,162.63455967290594,299.49747468305833,80,1,250,10,1.0,240.0,-7,240.104,5.696,14.899,59,59,,3,1,0,0,0,0,10.0,8.0,-980.0,61,63,84,70,-76.23,78
20260623_181508,echalon_50_side_lv1_new_pre1,echalon,side wind,Level1,50,drone_5,192.168.0.107,B12,5,echalon_5,5,4,0,node_segment_1_of_5,2026-06-23T18:15:25.543,16.847,0.106,0.106,5,-8,-14,84,204.13203435596427,-14.0,84,212.13203435596427,250.0,80,2,250,10,8.0,264.0,-4,264.151,5.696,14.899,64,64,,3,0,1,0,0,0,20.0,-6.0,-989.0,62,65,84,80,-77.3,77
