run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_logging,2026-06-23T21:28:50.734,17.774,0.0,0.0,1,-8,-9,86,-8.0,203.13203435596427,86,0.0,462.13203435596427,80,6,250,10,8.0,259.0,-6,259.193,4.453,10.525,66,66,,-3,-2,3,0,0,0,-32.0,-63.0,-1003.0,65,67,83,70,-86.17,22
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_2,192.168.0.109,B10,2,echalon_2,2,1,0,node_segment_1_of_5,2026-06-23T21:28:50.734,17.774,0.0,0.0,2,0,-5,85,49.49747468305833,157.63455967290594,85,49.49747468305833,412.63455967290594,80,7,250,10,0.0,255.0,-5,255.049,4.453,10.525,55,55,,7,1,1,0,0,0,28.0,-24.0,-995.0,64,66,84,70,-85.02,26
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-23T21:28:50.734,17.774,0.0,0.0,3,-2,-3,83,104.06601717798213,103.06601717798213,83,106.06601717798213,356.06601717798213,80,8,250,10,2.0,253.0,-3,253.026,4.453,10.525,65,65,,-5,2,0,0,0,0,-1.0,3.0,-1016.0,68,70,82,70,-85.24,29
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_4,192.168.0.106,B14,4,echalon_4,4,3,0,node_segment_1_of_5,2026-06-23T21:28:50.734,17.774,0.0,0.0,4,-4,6,88,158.63455967290594,55.49747468305833,88,162.63455967290594,299.49747468305833,80,1,250,10,4.0,244.0,-8,244.164,4.453,10.525,65,65,,6,1,0,0,0,0,16.0,-10.0,-988.0,62,64,87,80,-84.9,30
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_5,192.168.0.107,B12,5,echalon_5,5,4,0,node_segment_1_of_5,2026-06-23T21:28:50.734,17.774,0.0,0.0,5,3,4,78,215.13203435596427,4.0,78,212.13203435596427,250.0,80,2,250,10,-3.0,246.0,2,246.026,4.453,10.525,66,66,,7,0,0,0,0,0,-17.0,-20.0,-1008.0,63,66,76,60,-86.13,12
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-23T21:28:50.841,17.881,0.107,0.107,1,-8,-9,86,-8.0,203.13203435596427,86,0.0,462.13203435596427,80,6,250,10,8.0,259.0,-6,259.193,4.739,11.253,66,66,,-2,-1,2,0,0,0,-9.0,-52.0,-1020.0,65,67,82,70,-86.06,22
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_2,192.168.0.109,B10,2,echalon_2,2,1,0,node_segment_1_of_5,2026-06-23T21:28:50.841,17.881,0.107,0.107,2,0,-5,85,49.49747468305833,157.63455967290594,85,49.49747468305833,412.63455967290594,80,7,250,10,0.0,255.0,-5,255.049,4.739,11.253,55,55,,6,1,1,0,0,0,6.0,-1.0,-993.0,64,66,84,70,-85.05,26
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-23T21:28:50.841,17.881,0.107,0.107,3,-2,-1,84,104.06601717798213,105.06601717798213,84,106.06601717798213,356.06601717798213,80,8,250,10,2.0,251.0,-4,251.04,4.739,11.253,65,65,,-5,2,0,0,0,0,21.0,-5.0,-1000.0,68,70,83,70,-85.29,29
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_4,192.168.0.106,B14,4,echalon_4,4,3,0,node_segment_1_of_5,2026-06-23T21:28:50.841,17.881,0.107,0.107,4,-5,6,88,157.63455967290594,55.49747468305833,88,162.63455967290594,299.49747468305833,80,1,250,10,5.0,244.0,-8,244.182,4.739,11.253,65,65,,6,1,0,0,0,0,17.0,-31.0,-982.0,62,64,87,80,-84.86,31
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_5,192.168.0.107,B12,5,echalon_5,5,4,0,node_segment_1_of_5,2026-06-23T21:28:50.841,17.881,0.107,0.107,5,3,4,78,215.13203435596427,4.0,78,212.13203435596427,250.0,80,2,250,10,-3.0,246.0,2,246.026,4.739,11.253,66,66,,7,0,0,0,0,0,86.0,-29.0,-1030.0,63,66,75,60,-86.1,12
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-23T21:28:50.944,17.984,0.211,0.211,1,-8,-9,86,-8.0,203.13203435596427,86,0.0,462.13203435596427,80,6,250,10,8.0,259.0,-6,259.193,5.062,12.006,66,66,,-2,-1,3,0,0,0,-21.0,-54.0,-1011.0,65,67,82,70,-86.04,22
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_2,192.168.0.109,B10,2,echalon_2,2,1,0,node_segment_1_of_5,2026-06-23T21:28:50.944,17.984,0.211,0.211,2,2,-4,84,51.49747468305833,158.63455967290594,84,49.49747468305833,412.63455967290594,80,7,250,10,-2.0,254.0,-4,254.039,5.062,12.006,55,55,,6,0,0,0,0,0,11.0,-23.0,-1023.0,64,66,84,70,-85.22,26
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-23T21:28:50.944,17.984,0.211,0.211,3,-2,-1,84,104.06601717798213,105.06601717798213,84,106.06601717798213,356.06601717798213,80,8,250,10,2.0,251.0,-4,251.04,5.062,12.006,65,65,,-5,2,0,0,0,0,23.0,-11.0,-1019.0,68,70,83,70,-85.27,29
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_4,192.168.0.106,B14,4,echalon_4,4,3,0,node_segment_1_of_5,2026-06-23T21:28:50.944,17.984,0.211,0.211,4,-5,6,88,157.63455967290594,55.49747468305833,88,162.63455967290594,299.49747468305833,80,1,250,10,5.0,244.0,-8,244.182,5.062,12.006,65,65,,5,1,1,0,0,0,18.0,-16.0,-1003.0,62,64,86,80,-84.86,31
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_5,192.168.0.107,B12,5,echalon_5,5,4,0,node_segment_1_of_5,2026-06-23T21:28:50.944,17.984,0.211,0.211,5,3,4,78,215.13203435596427,4.0,78,212.13203435596427,250.0,80,2,250,10,-3.0,246.0,2,246.026,5.062,12.006,66,66,,7,1,1,0,0,0,59.0,-13.0,-1019.0,63,66,76,60,-86.08,12
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-23T21:28:51.049,18.089,0.316,0.316,1,-10,-10,84,-10.0,202.13203435596427,84,0.0,462.13203435596427,80,6,250,10,10.0,260.0,-4,260.223,4.911,12.006,65,66,,-3,-1,3,0,0,0,-14.0,-69.0,-992.0,64,66,82,70,-86.04,22
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_2,192.168.0.109,B10,2,echalon_2,2,1,0,node_segment_1_of_5,2026-06-23T21:28:51.049,18.089,0.316,0.316,2,2,-4,84,51.49747468305833,158.63455967290594,84,49.49747468305833,412.63455967290594,80,7,250,10,-2.0,254.0,-4,254.039,4.911,12.006,55,55,,7,0,0,0,0,0,42.0,-55.0,-984.0,64,66,84,70,-85.21,26
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-23T21:28:51.049,18.089,0.316,0.316,3,-2,-1,84,104.06601717798213,105.06601717798213,84,106.06601717798213,356.06601717798213,80,8,250,10,2.0,251.0,-4,251.04,4.911,12.006,65,65,,-5,1,0,0,0,0,41.0,-3.0,-989.0,68,70,83,70,-85.15,29
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_4,192.168.0.106,B14,4,echalon_4,4,3,0,node_segment_1_of_5,2026-06-23T21:28:51.049,18.089,0.316,0.316,4,-5,6,88,157.63455967290594,55.49747468305833,88,162.63455967290594,299.49747468305833,80,1,250,10,5.0,244.0,-8,244.182,4.911,12.006,64,65,,5,0,1,0,0,0,24.0,-22.0,-991.0,62,64,86,80,-84.92,31
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_5,192.168.0.107,B12,5,echalon_5,5,4,0,node_segment_1_of_5,2026-06-23T21:28:51.049,18.089,0.316,0.316,5,3,4,77,215.13203435596427,4.0,77,212.13203435596427,250.0,80,2,250,10,-3.0,246.0,3,246.037,4.911,12.006,66,66,,7,0,1,0,0,0,32.0,-20.0,-997.0,63,66,76,60,-86.08,13
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-23T21:28:51.158,18.198,0.425,0.425,1,-10,-10,84,-10.0,202.13203435596427,84,0.0,462.13203435596427,80,6,250,10,10.0,260.0,-4,260.223,3.459,8.426,65,66,,-3,-2,2,0,0,0,16.0,-31.0,-994.0,64,66,81,70,-86.08,22
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_2,192.168.0.109,B10,2,echalon_2,2,1,0,node_segment_1_of_5,2026-06-23T21:28:51.158,18.198,0.425,0.425,2,2,-4,84,51.49747468305833,158.63455967290594,84,49.49747468305833,412.63455967290594,80,7,250,10,-2.0,254.0,-4,254.039,3.459,8.426,55,55,,7,0,2,0,0,0,29.0,-28.0,-943.0,64,66,83,70,-85.16,26
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-23T21:28:51.158,18.198,0.425,0.425,3,-2,-1,84,104.06601717798213,105.06601717798213,84,106.06601717798213,356.06601717798213,80,8,250,10,2.0,251.0,-4,251.04,3.459,8.426,65,65,,-5,-1,0,0,0,0,80.0,-39.0,-980.0,67,70,84,70,-85.11,30
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_4,192.168.0.106,B14,4,echalon_4,4,3,0,node_segment_1_of_5,2026-06-23T21:28:51.158,18.198,0.425,0.425,4,-1,5,88,161.63455967290594,54.49747468305833,88,162.63455967290594,299.49747468305833,80,1,250,10,1.0,245.0,-8,245.133,3.459,8.426,64,65,,5,-1,1,0,0,0,10.0,-11.0,-975.0,62,64,86,80,-84.82,31
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_5,192.168.0.107,B12,5,echalon_5,5,4,0,node_segment_1_of_5,2026-06-23T21:28:51.158,18.198,0.425,0.425,5,3,4,77,215.13203435596427,4.0,77,212.13203435596427,250.0,80,2,250,10,-3.0,246.0,3,246.037,3.459,8.426,66,66,,7,0,0,0,0,0,33.0,-27.0,-996.0,63,66,78,60,-86.06,13
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-23T21:28:51.267,18.307,0.533,0.533,1,-10,-10,84,-10.0,202.13203435596427,84,0.0,462.13203435596427,80,6,250,10,10.0,260.0,-4,260.223,2.692,6.349,65,66,,-3,-2,3,0,0,0,-2.0,-17.0,-998.0,64,66,82,70,-86.17,22
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_2,192.168.0.109,B10,2,echalon_2,2,1,0,node_segment_1_of_5,2026-06-23T21:28:51.267,18.307,0.533,0.533,2,2,-1,83,51.49747468305833,161.63455967290594,83,49.49747468305833,412.63455967290594,80,7,250,10,-2.0,251.0,-3,251.026,2.692,6.349,55,55,,7,0,2,0,0,0,-2.0,-18.0,-1012.0,64,66,84,70,-85.13,27
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-23T21:28:51.267,18.307,0.533,0.533,3,-5,-6,84,101.06601717798213,100.06601717798213,84,106.06601717798213,356.06601717798213,80,8,250,10,5.0,256.0,-4,256.08,2.692,6.349,65,65,,-5,-1,0,0,0,0,73.0,-1.0,-961.0,67,70,83,70,-85.19,30
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_4,192.168.0.106,B14,4,echalon_4,4,3,0,node_segment_1_of_5,2026-06-23T21:28:51.267,18.307,0.533,0.533,4,-1,5,88,161.63455967290594,54.49747468305833,88,162.63455967290594,299.49747468305833,80,1,250,10,1.0,245.0,-8,245.133,2.692,6.349,64,65,,5,0,1,0,0,0,9.0,-5.0,-984.0,62,65,85,80,-84.89,31
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_5,192.168.0.107,B12,5,echalon_5,5,4,0,node_segment_1_of_5,2026-06-23T21:28:51.267,18.307,0.533,0.533,5,3,4,77,215.13203435596427,4.0,77,212.13203435596427,250.0,80,2,250,10,-3.0,246.0,3,246.037,2.692,6.349,66,66,,7,0,0,-1,0,0,16.0,-16.0,-952.0,63,66,78,60,-86.05,13
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-23T21:28:51.370,18.41,0.636,0.636,1,-11,-9,82,-11.0,203.13203435596427,82,0.0,462.13203435596427,80,6,250,10,11.0,259.0,-2,259.241,2.952,6.349,65,66,,-3,-1,3,-1,0,0,27.0,-7.0,-1033.0,64,66,81,70,-86.1,22
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_2,192.168.0.109,B10,2,echalon_2,2,1,0,node_segment_1_of_5,2026-06-23T21:28:51.370,18.41,0.636,0.636,2,2,-1,83,51.49747468305833,161.63455967290594,83,49.49747468305833,412.63455967290594,80,7,250,10,-2.0,251.0,-3,251.026,2.952,6.349,55,55,,7,0,1,0,0,0,-35.0,-26.0,-1010.0,64,66,83,70,-85.23,27
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-23T21:28:51.370,18.41,0.636,0.636,3,-5,-6,84,101.06601717798213,100.06601717798213,84,106.06601717798213,356.06601717798213,80,8,250,10,5.0,256.0,-4,256.08,2.952,6.349,65,65,,-5,0,0,-1,0,0,33.0,16.0,-1025.0,67,70,83,70,-85.23,30
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_4,192.168.0.106,B14,4,echalon_4,4,3,0,node_segment_1_of_5,2026-06-23T21:28:51.370,18.41,0.636,0.636,4,-1,5,88,161.63455967290594,54.49747468305833,88,162.63455967290594,299.49747468305833,80,1,250,10,1.0,245.0,-8,245.133,2.952,6.349,64,65,,5,0,0,0,0,0,23.0,-21.0,-1013.0,62,65,85,80,-84.94,31
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_5,192.168.0.107,B12,5,echalon_5,5,4,0,node_segment_1_of_5,2026-06-23T21:28:51.370,18.41,0.636,0.636,5,3,4,77,215.13203435596427,4.0,77,212.13203435596427,250.0,80,2,250,10,-3.0,246.0,3,246.037,2.952,6.349,66,66,,7,1,0,-1,0,0,64.0,-15.0,-1015.0,63,66,78,60,-86.09,13
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-23T21:28:51.479,18.519,0.745,0.745,1,-11,-9,82,-11.0,203.13203435596427,82,0.0,462.13203435596427,80,6,250,10,11.0,259.0,-2,259.241,3.19,6.349,65,66,,-3,0,2,-1,0,0,10.0,-67.0,-990.0,64,66,81,70,-86.14,22
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_2,192.168.0.109,B10,2,echalon_2,2,1,0,node_segment_1_of_5,2026-06-23T21:28:51.479,18.519,0.745,0.745,2,2,-1,83,51.49747468305833,161.63455967290594,83,49.49747468305833,412.63455967290594,80,7,250,10,-2.0,251.0,-3,251.026,3.19,6.349,55,55,,7,-1,1,0,0,0,-16.0,-21.0,-986.0,64,66,83,70,-85.08,27
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-23T21:28:51.479,18.519,0.745,0.745,3,-5,-6,84,101.06601717798213,100.06601717798213,84,106.06601717798213,356.06601717798213,80,8,250,10,5.0,256.0,-4,256.08,3.19,6.349,65,65,,-5,1,0,-1,0,0,56.0,-43.0,-1039.0,67,70,83,70,-85.27,30
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_4,192.168.0.106,B14,4,echalon_4,4,3,0,node_segment_1_of_5,2026-06-23T21:28:51.479,18.519,0.745,0.745,4,-1,5,88,161.63455967290594,54.49747468305833,88,162.63455967290594,299.49747468305833,80,1,250,10,1.0,245.0,-8,245.133,3.19,6.349,64,65,,5,0,0,0,0,0,1.0,-10.0,-986.0,62,65,84,80,-84.86,31
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_5,192.168.0.107,B12,5,echalon_5,5,4,0,node_segment_1_of_5,2026-06-23T21:28:51.479,18.519,0.745,0.745,5,4,2,78,216.13203435596427,2.0,78,212.13203435596427,250.0,80,2,250,10,-4.0,248.0,2,248.04,3.19,6.349,66,66,,7,1,0,-1,0,0,-16.0,15.0,-974.0,63,66,78,60,-86.05,13
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-23T21:28:51.585,18.626,0.852,0.852,1,-11,-9,82,-11.0,203.13203435596427,82,0.0,462.13203435596427,80,6,250,10,11.0,259.0,-2,259.241,3.19,6.349,65,66,,-3,0,2,-1,0,0,23.0,-46.0,-991.0,64,66,81,70,-86.17,23
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_2,192.168.0.109,B10,2,echalon_2,2,1,0,node_segment_1_of_5,2026-06-23T21:28:51.585,18.626,0.852,0.852,2,2,-1,83,51.49747468305833,161.63455967290594,83,49.49747468305833,412.63455967290594,80,7,250,10,-2.0,251.0,-3,251.026,3.19,6.349,55,55,,6,-1,2,0,0,0,57.0,-49.0,-972.0,64,66,82,70,-85.13,27
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-23T21:28:51.585,18.626,0.852,0.852,3,-5,-6,84,101.06601717798213,100.06601717798213,84,106.06601717798213,356.06601717798213,80,8,250,10,5.0,256.0,-4,256.08,3.19,6.349,65,65,,-4,2,0,-1,0,0,50.0,-14.0,-1005.0,67,70,83,70,-85.29,30
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_4,192.168.0.106,B14,4,echalon_4,4,3,0,node_segment_1_of_5,2026-06-23T21:28:51.585,18.626,0.852,0.852,4,-1,5,88,161.63455967290594,54.49747468305833,88,162.63455967290594,299.49747468305833,80,1,250,10,1.0,245.0,-8,245.133,3.19,6.349,64,65,,5,0,0,0,0,0,14.0,-7.0,-1006.0,62,65,84,80,-84.89,31
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_5,192.168.0.107,B12,5,echalon_5,5,4,0,node_segment_1_of_5,2026-06-23T21:28:51.585,18.626,0.852,0.852,5,4,2,78,216.13203435596427,2.0,78,212.13203435596427,250.0,80,2,250,10,-4.0,248.0,2,248.04,3.19,6.349,66,66,,7,1,0,-1,0,0,-9.0,5.0,-971.0,63,66,78,60,-86.01,13
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-23T21:28:51.692,18.732,0.958,0.958,1,-10,-9,81,-10.0,203.13203435596427,81,0.0,462.13203435596427,80,6,250,10,10.0,259.0,-1,259.195,4.431,9.151,65,66,,-3,1,1,-1,0,0,19.0,-68.0,-1012.0,64,66,81,70,-86.1,23
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_2,192.168.0.109,B10,2,echalon_2,2,1,0,node_segment_1_of_5,2026-06-23T21:28:51.692,18.732,0.958,0.958,2,3,-4,83,52.49747468305833,158.63455967290594,83,49.49747468305833,412.63455967290594,80,7,250,10,-3.0,254.0,-3,254.035,4.431,9.151,55,55,,6,0,1,0,0,0,-2.0,-22.0,-1032.0,64,66,81,70,-85.2,27
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-23T21:28:51.692,18.732,0.958,0.958,3,-4,-1,85,102.06601717798213,105.06601717798213,85,106.06601717798213,356.06601717798213,80,8,250,10,4.0,251.0,-5,251.082,4.431,9.151,65,65,,-4,2,0,-1,0,0,29.0,-30.0,-998.0,67,70,83,70,-85.27,30
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_4,192.168.0.106,B14,4,echalon_4,4,3,0,node_segment_1_of_5,2026-06-23T21:28:51.692,18.732,0.958,0.958,4,-1,5,88,161.63455967290594,54.49747468305833,88,162.63455967290594,299.49747468305833,80,1,250,10,1.0,245.0,-8,245.133,4.431,9.151,64,65,,5,0,0,0,0,0,-7.0,-10.0,-986.0,62,65,83,70,-84.8,31
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_5,192.168.0.107,B12,5,echalon_5,5,4,0,node_segment_1_of_5,2026-06-23T21:28:51.692,18.732,0.958,0.958,5,4,2,78,216.13203435596427,2.0,78,212.13203435596427,250.0,80,2,250,10,-4.0,248.0,2,248.04,4.431,9.151,66,66,,7,1,0,-1,0,0,29.0,-5.0,-1006.0,63,66,78,60,-85.98,13
20260623_212832,echalon_50_side_lv2_new_001,echalon,side wind,Level2,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-23T21:28:51.803,18.843,1.069,1.069,1,-10,-9,81,-10.0,203.13203435596427,81,0.0,462.13203435596427,80,6,250,10,10.0,259.0,-1,259.195,4.431,9.151,65,66,,-3,1,1,-1,0,0,15.0,-86.0,-954.0,64,66,81,70,-86.25,23
