run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260622_192449,echalon_50_tail_no_wind_new_pre,echalon,tail wind,no wind,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_logging,2026-06-22T19:25:10.795,21.706,0.0,0.0,1,-7,-2,83,-7.0,210.13203435596427,83,0.0,462.13203435596427,80,6,250,10,7.0,252.0,-3,252.115,4.849,11.253,78,78,,-9,0,0,0,0,0,-26.0,-16.0,-998.0,65,67,81,70,-71.78,69
20260622_192449,echalon_50_tail_no_wind_new_pre,echalon,tail wind,no wind,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-22T19:25:10.904,21.815,0.109,0.109,1,-7,-2,83,-7.0,210.13203435596427,83,0.0,462.13203435596427,80,6,250,10,7.0,252.0,-3,252.115,4.849,11.253,78,78,,-9,0,0,0,0,0,-16.0,64.0,-1062.0,65,67,81,70,-71.76,69
20260622_192449,echalon_50_tail_no_wind_new_pre,echalon,tail wind,no wind,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-22T19:25:11.014,21.925,0.219,0.219,1,-7,-2,83,-7.0,210.13203435596427,83,0.0,462.13203435596427,80,6,250,10,7.0,252.0,-3,252.115,3.652,8.32,78,78,,-9,0,0,0,0,0,-11.0,-20.0,-970.0,65,67,80,70,-71.85,69
20260622_192449,echalon_50_tail_no_wind_new_pre,echalon,tail wind,no wind,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-22T19:25:11.127,22.038,0.332,0.332,1,-7,-2,83,-7.0,210.13203435596427,83,0.0,462.13203435596427,80,6,250,10,7.0,252.0,-3,252.115,3.902,8.32,78,78,,-9,-1,0,0,0,0,-16.0,-15.0,-1041.0,65,67,79,70,-71.86,69
20260622_192449,echalon_50_tail_no_wind_new_pre,echalon,tail wind,no wind,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-22T19:25:11.238,22.149,0.443,0.443,1,-5,-2,82,-5.0,210.13203435596427,82,0.0,462.13203435596427,80,6,250,10,5.0,252.0,-2,252.058,3.942,8.32,78,78,,-9,-2,1,0,0,0,-29.0,-18.0,-994.0,65,67,80,70,-71.87,69
20260622_192449,echalon_50_tail_no_wind_new_pre,echalon,tail wind,no wind,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-22T19:25:11.357,22.268,0.562,0.562,1,-5,-2,82,-5.0,210.13203435596427,82,0.0,462.13203435596427,80,6,250,10,5.0,252.0,-2,252.058,3.942,8.32,78,78,,-9,-2,0,0,0,0,-37.0,17.0,-1019.0,64,66,79,70,-71.81,70
20260622_192449,echalon_50_tail_no_wind_new_pre,echalon,tail wind,no wind,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-22T19:25:11.467,22.378,0.673,0.673,1,-5,-2,82,-5.0,210.13203435596427,82,0.0,462.13203435596427,80,6,250,10,5.0,252.0,-2,252.058,4.499,9.66,78,78,,-9,-1,0,0,0,0,-30.0,-7.0,-1012.0,64,66,80,70,-71.8,70
20260622_192449,echalon_50_tail_no_wind_new_pre,echalon,tail wind,no wind,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-22T19:25:11.574,22.485,0.779,0.779,1,-4,-1,81,-4.0,211.13203435596427,81,0.0,462.13203435596427,80,6,250,10,4.0,251.0,-1,251.034,4.205,8.992,78,78,,-9,-1,0,0,0,0,-31.0,-17.0,-987.0,64,66,80,70,-71.88,70
20260622_192449,echalon_50_tail_no_wind_new_pre,echalon,tail wind,no wind,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-22T19:25:11.679,22.59,0.884,0.884,1,-4,-1,81,-4.0,211.13203435596427,81,0.0,462.13203435596427,80,6,250,10,4.0,251.0,-1,251.034,4.205,8.992,78,78,,-9,-1,0,0,0,0,-21.0,0.0,-1027.0,64,66,80,70,-71.76,70
20260622_192449,echalon_50_tail_no_wind_new_pre,echalon,tail wind,no wind,50,drone_1,192.168.0.102,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-22T19:25:11.782,22.693,0.987,0.987,1,-4,-1,81,-4.0,211.13203435596427,81,0.0,462.13203435596427,80,6,250,10,4.0,251.0,-1,251.034,4.205,8.992,78,78,,-9,-1,0,0,0,0,-32.0,1.0,-1007.0,64,66,80,70,-71.87,70
