run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,target_pad,phase,timestamp,elapsed_time,node_elapsed_time,battery,battery_start,battery_drop_from_start
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_1,192.168.0.102,B11,1,echalon_1,1,6,node_segment_1_of_5,2026-06-19T02:05:22.727,19.097,0.0,66,66,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_2,192.168.0.109,B10,2,echalon_2,2,7,node_segment_1_of_5,2026-06-19T02:05:22.727,19.097,0.0,63,63,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_3,192.168.0.103,B13,3,echalon_3,3,8,node_segment_1_of_5,2026-06-19T02:05:22.727,19.097,0.0,67,67,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_4,192.168.0.106,B14,4,echalon_4,4,1,node_segment_1_of_5,2026-06-19T02:05:22.727,19.097,0.0,67,67,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_5,192.168.0.107,B12,5,echalon_5,5,2,node_segment_1_of_5,2026-06-19T02:05:22.727,19.097,0.0,63,63,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_1,192.168.0.102,B11,1,echalon_1,1,6,node_segment_1_of_5,2026-06-19T02:05:22.836,19.205,0.109,66,66,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_2,192.168.0.109,B10,2,echalon_2,2,7,node_segment_1_of_5,2026-06-19T02:05:22.836,19.205,0.109,63,63,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_3,192.168.0.103,B13,3,echalon_3,3,8,node_segment_1_of_5,2026-06-19T02:05:22.836,19.205,0.109,67,67,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_4,192.168.0.106,B14,4,echalon_4,4,1,node_segment_1_of_5,2026-06-19T02:05:22.836,19.205,0.109,67,67,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_5,192.168.0.107,B12,5,echalon_5,5,2,node_segment_1_of_5,2026-06-19T02:05:22.836,19.205,0.109,63,63,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_1,192.168.0.102,B11,1,echalon_1,1,6,node_segment_1_of_5,2026-06-19T02:05:22.941,19.31,0.214,66,66,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_2,192.168.0.109,B10,2,echalon_2,2,7,node_segment_1_of_5,2026-06-19T02:05:22.941,19.31,0.214,63,63,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_3,192.168.0.103,B13,3,echalon_3,3,8,node_segment_1_of_5,2026-06-19T02:05:22.941,19.31,0.214,67,67,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_4,192.168.0.106,B14,4,echalon_4,4,1,node_segment_1_of_5,2026-06-19T02:05:22.941,19.31,0.214,67,67,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_5,192.168.0.107,B12,5,echalon_5,5,2,node_segment_1_of_5,2026-06-19T02:05:22.941,19.31,0.214,63,63,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_1,192.168.0.102,B11,1,echalon_1,1,6,node_segment_1_of_5,2026-06-19T02:05:23.047,19.416,0.32,66,66,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_2,192.168.0.109,B10,2,echalon_2,2,7,node_segment_1_of_5,2026-06-19T02:05:23.047,19.416,0.32,63,63,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_3,192.168.0.103,B13,3,echalon_3,3,8,node_segment_1_of_5,2026-06-19T02:05:23.047,19.416,0.32,67,67,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_4,192.168.0.106,B14,4,echalon_4,4,1,node_segment_1_of_5,2026-06-19T02:05:23.047,19.416,0.32,67,67,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_5,192.168.0.107,B12,5,echalon_5,5,2,node_segment_1_of_5,2026-06-19T02:05:23.047,19.416,0.32,63,63,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_1,192.168.0.102,B11,1,echalon_1,1,6,node_segment_1_of_5,2026-06-19T02:05:23.154,19.524,0.427,66,66,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_2,192.168.0.109,B10,2,echalon_2,2,7,node_segment_1_of_5,2026-06-19T02:05:23.154,19.524,0.427,63,63,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_3,192.168.0.103,B13,3,echalon_3,3,8,node_segment_1_of_5,2026-06-19T02:05:23.154,19.524,0.427,67,67,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_4,192.168.0.106,B14,4,echalon_4,4,1,node_segment_1_of_5,2026-06-19T02:05:23.154,19.524,0.427,67,67,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_5,192.168.0.107,B12,5,echalon_5,5,2,node_segment_1_of_5,2026-06-19T02:05:23.154,19.524,0.427,63,63,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_1,192.168.0.102,B11,1,echalon_1,1,6,node_segment_1_of_5,2026-06-19T02:05:23.263,19.632,0.535,66,66,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_2,192.168.0.109,B10,2,echalon_2,2,7,node_segment_1_of_5,2026-06-19T02:05:23.263,19.632,0.535,63,63,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_3,192.168.0.103,B13,3,echalon_3,3,8,node_segment_1_of_5,2026-06-19T02:05:23.263,19.632,0.535,67,67,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_4,192.168.0.106,B14,4,echalon_4,4,1,node_segment_1_of_5,2026-06-19T02:05:23.263,19.632,0.535,67,67,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_5,192.168.0.107,B12,5,echalon_5,5,2,node_segment_1_of_5,2026-06-19T02:05:23.263,19.632,0.535,63,63,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_1,192.168.0.102,B11,1,echalon_1,1,6,node_segment_1_of_5,2026-06-19T02:05:23.370,19.74,0.643,66,66,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_2,192.168.0.109,B10,2,echalon_2,2,7,node_segment_1_of_5,2026-06-19T02:05:23.370,19.74,0.643,63,63,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_3,192.168.0.103,B13,3,echalon_3,3,8,node_segment_1_of_5,2026-06-19T02:05:23.370,19.74,0.643,67,67,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_4,192.168.0.106,B14,4,echalon_4,4,1,node_segment_1_of_5,2026-06-19T02:05:23.370,19.74,0.643,67,67,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_5,192.168.0.107,B12,5,echalon_5,5,2,node_segment_1_of_5,2026-06-19T02:05:23.370,19.74,0.643,63,63,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_1,192.168.0.102,B11,1,echalon_1,1,6,node_segment_1_of_5,2026-06-19T02:05:23.478,19.847,0.751,66,66,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_2,192.168.0.109,B10,2,echalon_2,2,7,node_segment_1_of_5,2026-06-19T02:05:23.478,19.847,0.751,63,63,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_3,192.168.0.103,B13,3,echalon_3,3,8,node_segment_1_of_5,2026-06-19T02:05:23.478,19.847,0.751,67,67,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_4,192.168.0.106,B14,4,echalon_4,4,1,node_segment_1_of_5,2026-06-19T02:05:23.478,19.847,0.751,67,67,0
20260619_020503,echalon_75_side_lv1_new_002,echalon,side wind,Level1,75,drone_5,192.168.0.107,B12,5,echalon_5,5,2,node_segment_1_of_5,2026-06-19T02:05:23.478,19.847,0.751,63,63,0
