run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260610_225253,echalon_75_tail_lv1_new_002,echalon,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,echalon_1,1,0,0,node_logging,2026-06-10T22:53:13.191,19.438,0.0,0.0,1,-7,5,86,-7.0,217.13203435596427,86,0.0,462.13203435596427,80,6,250,10,7.0,245.0,-6,245.173,6.71,16.385,63,63,,5,0,0,0,0,0,-11.0,-16.0,-1005.0,65,69,87,70,-95.82,215
20260610_225253,echalon_75_tail_lv1_new_002,echalon,tail wind,Level1,75,drone_2,192.168.0.109,B10,2,echalon_2,2,1,0,node_segment_1_of_5,2026-06-10T22:53:13.191,19.438,0.0,0.0,2,-2,0,81,47.49747468305833,162.63455967290594,81,49.49747468305833,412.63455967290594,80,7,250,10,2.0,250.0,-1,250.01,6.71,16.385,63,63,,-33,4,0,0,0,0,53.0,14.0,-991.0,66,68,84,70,-95.11,249
20260610_225253,echalon_75_tail_lv1_new_002,echalon,tail wind,Level1,75,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-10T22:53:13.191,19.438,0.0,0.0,3,0,-11,86,106.06601717798213,95.06601717798213,86,106.06601717798213,356.06601717798213,80,8,250,10,0.0,261.0,-6,261.069,6.71,16.385,65,65,,-2,0,-2,0,0,0,1.0,42.0,-1012.0,66,68,81,70,-95.31,171
20260610_225253,echalon_75_tail_lv1_new_002,echalon,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,echalon_4,4,3,0,node_segment_1_of_5,2026-06-10T22:53:13.191,19.438,0.0,0.0,4,-2,0,86,160.63455967290594,49.49747468305833,86,162.63455967290594,299.49747468305833,80,1,250,10,2.0,250.0,-6,250.08,6.71,16.385,63,63,,-26,3,0,0,0,0,88.0,-7.0,-993.0,61,63,83,80,-94.57,251
20260610_225253,echalon_75_tail_lv1_new_002,echalon,tail wind,Level1,75,drone_5,192.168.0.107,B15,5,echalon_5,5,4,0,node_segment_1_of_5,2026-06-10T22:53:13.191,19.438,0.0,0.0,5,8,9,85,220.13203435596427,9.0,85,212.13203435596427,250.0,80,2,250,10,-8.0,241.0,-5,241.185,6.71,16.385,61,61,,25,6,0,0,0,0,143.0,2.0,-965.0,65,67,86,70,-96.06,236
20260610_225253,echalon_75_tail_lv1_new_002,echalon,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-10T22:53:13.298,19.545,0.107,0.107,1,-9,5,87,-9.0,217.13203435596427,87,0.0,462.13203435596427,80,6,250,10,9.0,245.0,-7,245.265,8.037,19.164,63,63,,5,0,0,0,0,0,-18.0,0.0,-1016.0,65,69,87,70,-95.76,215
20260610_225253,echalon_75_tail_lv1_new_002,echalon,tail wind,Level1,75,drone_2,192.168.0.109,B10,2,echalon_2,2,1,0,node_segment_1_of_5,2026-06-10T22:53:13.298,19.545,0.107,0.107,2,-1,-2,81,48.49747468305833,160.63455967290594,81,49.49747468305833,412.63455967290594,80,7,250,10,1.0,252.0,-1,252.004,8.037,19.164,63,63,,-33,4,0,0,0,0,45.0,1.0,-970.0,66,68,83,70,-95.2,249
20260610_225253,echalon_75_tail_lv1_new_002,echalon,tail wind,Level1,75,drone_3,192.168.0.103,B13,3,echalon_3,3,2,0,node_segment_1_of_5,2026-06-10T22:53:13.298,19.545,0.107,0.107,3,1,-12,84,107.06601717798213,94.06601717798213,84,106.06601717798213,356.06601717798213,80,8,250,10,-1.0,262.0,-4,262.032,8.037,19.164,65,65,,-2,0,-2,0,0,0,49.0,19.0,-1031.0,66,68,82,70,-95.41,171
20260610_225253,echalon_75_tail_lv1_new_002,echalon,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,echalon_4,4,3,0,node_segment_1_of_5,2026-06-10T22:53:13.298,19.545,0.107,0.107,4,-2,0,86,160.63455967290594,49.49747468305833,86,162.63455967290594,299.49747468305833,80,1,250,10,2.0,250.0,-6,250.08,8.037,19.164,63,63,,-26,3,0,0,0,0,16.0,-23.0,-913.0,61,63,82,80,-94.68,251
20260610_225253,echalon_75_tail_lv1_new_002,echalon,tail wind,Level1,75,drone_5,192.168.0.107,B15,5,echalon_5,5,4,0,node_segment_1_of_5,2026-06-10T22:53:13.298,19.545,0.107,0.107,5,8,9,85,220.13203435596427,9.0,85,212.13203435596427,250.0,80,2,250,10,-8.0,241.0,-5,241.185,8.037,19.164,61,61,,25,5,0,0,0,0,76.0,2.0,-1064.0,65,67,86,70,-96.28,236
20260610_225253,echalon_75_tail_lv1_new_002,echalon,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,echalon_1,1,0,0,node_segment_1_of_5,2026-06-10T22:53:13.406,19.653,0.215,0.215,1,-9,5,87,-9.0,217.13203435596427,87,0.0,462.13203435596427,80,6,250,10,9.0,245.0,-7,245.265,8.103,19.164,63,63,,5,0,0,0,0,0,-13.0,-4.0,-970.0,65,68,85,70,-95.76,215
