run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260515_181343,front_50_head_lv1_new_005,front,head wind,Level1,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_logging,2026-05-15T18:14:03.337,20.145,0.0,0.0,1,-11,12,87,-11,12,87,0,250,80,6,250,10,11,238,-7,238.357,6.609,13.689,74,74,,-4,2,0,0,0,0,17.0,13.0,-997.0,59,62,87,70,-80.5,77
20260515_181343,front_50_head_lv1_new_005,front,head wind,Level1,drone_2,192.168.0.109,B10,2,front_2,2,1,0,node_segment_1_of_5,2026-05-15T18:14:03.337,20.145,0.0,0.0,2,0,11,82,50,11,82,50,250,80,7,250,10,0,239,-2,239.008,6.609,13.689,77,77,,-5,-1,-1,0,0,0,-38.0,-7.0,-1015.0,58,60,83,70,-79.91,78
20260515_181343,front_50_head_lv1_new_005,front,head wind,Level1,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-05-15T18:14:03.337,20.145,0.0,0.0,3,-6,4,82,94,4,82,100,250,80,8,250,10,6,246,-2,246.081,6.609,13.689,72,72,,-3,1,2,0,0,0,-7.0,-37.0,-1006.0,58,61,78,50,-80.1,71
20260515_181343,front_50_head_lv1_new_005,front,head wind,Level1,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-05-15T18:14:03.337,20.145,0.0,0.0,4,2,-3,91,152,-3,91,150,250,80,1,250,10,-2,253,-11,253.247,6.609,13.689,73,73,,-4,0,1,0,0,0,-18.0,-36.0,-1022.0,54,58,85,70,-79.34,75
20260515_181343,front_50_head_lv1_new_005,front,head wind,Level1,drone_5,192.168.0.107,B15,5,front_5,5,4,0,node_segment_1_of_5,2026-05-15T18:14:03.337,20.145,0.0,0.0,5,0,2,88,200,2,88,200,250,80,2,250,10,0,248,-8,248.129,6.609,13.689,71,71,,2,1,1,0,0,0,25.0,-32.0,-973.0,56,60,87,50,-80.5,59
20260515_181343,front_50_head_lv1_new_005,front,head wind,Level1,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-05-15T18:14:03.442,20.25,0.105,0.105,1,-11,12,87,-11,12,87,0,250,80,6,250,10,11,238,-7,238.357,6.697,12.521,74,74,,-4,2,0,0,0,0,41.0,-22.0,-995.0,59,62,87,70,-80.44,77
20260515_181343,front_50_head_lv1_new_005,front,head wind,Level1,drone_2,192.168.0.109,B10,2,front_2,2,1,0,node_segment_1_of_5,2026-05-15T18:14:03.442,20.25,0.105,0.105,2,0,11,82,50,11,82,50,250,80,7,250,10,0,239,-2,239.008,6.697,12.521,77,77,,-5,0,-1,0,0,0,-27.0,-25.0,-968.0,58,60,83,70,-79.83,78
20260515_181343,front_50_head_lv1_new_005,front,head wind,Level1,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-05-15T18:14:03.442,20.25,0.105,0.105,3,-8,10,79,92,10,79,100,250,80,8,250,10,8,240,1,240.135,6.697,12.521,72,72,,-4,0,2,0,0,0,-33.0,-18.0,-959.0,58,61,79,50,-79.99,71
20260515_181343,front_50_head_lv1_new_005,front,head wind,Level1,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-05-15T18:14:03.442,20.25,0.105,0.105,4,1,-1,90,151,-1,90,150,250,80,1,250,10,-1,251,-10,251.201,6.697,12.521,73,73,,-4,0,1,0,0,0,-29.0,-30.0,-1033.0,55,58,85,70,-79.41,75
20260515_181343,front_50_head_lv1_new_005,front,head wind,Level1,drone_5,192.168.0.107,B15,5,front_5,5,4,0,node_segment_1_of_5,2026-05-15T18:14:03.442,20.25,0.105,0.105,5,0,2,88,200,2,88,200,250,80,2,250,10,0,248,-8,248.129,6.697,12.521,71,71,,2,2,1,0,0,0,10.0,-28.0,-993.0,56,60,86,50,-80.55,59
20260515_181343,front_50_head_lv1_new_005,front,head wind,Level1,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-05-15T18:14:03.547,20.355,0.21,0.21,1,-11,12,87,-11,12,87,0,250,80,6,250,10,11,238,-7,238.357,6.673,12.521,74,74,,-4,2,0,0,0,0,5.0,28.0,-993.0,59,62,87,70,-80.5,77
20260515_181343,front_50_head_lv1_new_005,front,head wind,Level1,drone_2,192.168.0.109,B10,2,front_2,2,1,0,node_segment_1_of_5,2026-05-15T18:14:03.547,20.355,0.21,0.21,2,0,11,82,50,11,82,50,250,80,7,250,10,0,239,-2,239.008,6.673,12.521,77,77,,-5,0,1,0,0,0,-31.0,-33.0,-1023.0,58,60,83,70,-80.0,79
