run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260507_114115,front_50_head_lv1_prepare,front,head wind,Level1,drone_2,192.168.0.102,B03,2,front_2,2,1,0,node_segment_1,2026-05-07T11:42:07.570,52.538,0.0,0.0,2,-12,13,89,38,13,89,50,250,80,7,250,10,12,237,-9,237.474,7.278,16.731,68,68,,4,0,1,0,0,0,-21.0,-3.0,-999.0,61,65,88,70,23.52,69
20260507_114115,front_50_head_lv1_prepare,front,head wind,Level1,drone_2,192.168.0.102,B03,2,front_2,2,1,0,node_segment_1,2026-05-07T11:42:07.675,52.643,0.105,0.105,2,-12,13,89,38,13,89,50,250,80,7,250,10,12,237,-9,237.474,6.716,13.0,68,68,,4,0,1,0,0,0,-1.0,-14.0,-1009.0,61,65,87,70,23.51,69
20260507_114115,front_50_head_lv1_prepare,front,head wind,Level1,drone_2,192.168.0.102,B03,2,front_2,2,1,0,node_segment_1,2026-05-07T11:42:07.783,52.751,0.213,0.213,2,-12,13,89,38,13,89,50,250,80,7,250,10,12,237,-9,237.474,6.716,13.0,68,68,,4,0,0,0,0,0,-4.0,-19.0,-981.0,61,65,87,70,23.51,69
20260507_114115,front_50_head_lv1_prepare,front,head wind,Level1,drone_2,192.168.0.102,B03,2,front_2,2,1,0,node_segment_1,2026-05-07T11:42:07.890,52.858,0.32,0.32,2,-12,13,89,38,13,89,50,250,80,7,250,10,12,237,-9,237.474,6.716,13.0,68,68,,4,-1,0,0,0,0,4.0,-43.0,-964.0,61,65,87,70,23.5,69
20260507_114115,front_50_head_lv1_prepare,front,head wind,Level1,drone_2,192.168.0.102,B03,2,front_2,2,1,0,node_segment_1,2026-05-07T11:42:07.998,52.966,0.428,0.428,2,-14,14,88,36,14,88,50,250,80,7,250,10,14,236,-8,236.55,8.255,15.873,68,68,,4,-2,1,0,0,0,-29.0,0.0,-1011.0,61,65,87,70,23.43,69
20260507_114115,front_50_head_lv1_prepare,front,head wind,Level1,drone_2,192.168.0.102,B03,2,front_2,2,1,0,node_segment_1,2026-05-07T11:42:08.106,53.074,0.536,0.536,2,-14,14,88,36,14,88,50,250,80,7,250,10,14,236,-8,236.55,8.255,15.873,68,68,,4,-1,1,0,0,0,-24.0,-3.0,-987.0,61,65,85,60,23.53,69
20260507_114115,front_50_head_lv1_prepare,front,head wind,Level1,drone_2,192.168.0.102,B03,2,front_2,2,1,0,node_segment_1,2026-05-07T11:42:08.210,53.178,0.64,0.64,2,-14,14,88,36,14,88,50,250,80,7,250,10,14,236,-8,236.55,8.255,15.873,68,68,,4,0,1,0,0,0,-16.0,-11.0,-992.0,61,65,84,60,23.54,69
20260507_114115,front_50_head_lv1_prepare,front,head wind,Level1,drone_2,192.168.0.102,B03,2,front_2,2,1,0,node_segment_1,2026-05-07T11:42:08.318,53.286,0.748,0.748,2,-14,14,88,36,14,88,50,250,80,7,250,10,14,236,-8,236.55,8.629,16.676,68,68,,4,0,1,0,0,0,-30.0,6.0,-999.0,61,65,86,60,23.53,69
20260507_114115,front_50_head_lv1_prepare,front,head wind,Level1,drone_2,192.168.0.102,B03,2,front_2,2,1,0,node_segment_1,2026-05-07T11:42:08.425,53.393,0.855,0.855,2,-15,15,87,35,15,87,50,250,80,7,250,10,15,235,-7,235.582,8.565,17.765,68,68,,4,0,1,0,0,0,-18.0,-25.0,-1017.0,61,65,85,60,23.53,69
20260507_114115,front_50_head_lv1_prepare,front,head wind,Level1,drone_2,192.168.0.102,B03,2,front_2,2,1,0,node_segment_1,2026-05-07T11:42:08.529,53.497,0.959,0.959,2,-15,15,87,35,15,87,50,250,80,7,250,10,15,235,-7,235.582,8.565,17.765,68,68,,4,0,1,0,0,0,-44.0,10.0,-1001.0,61,65,82,60,23.48,70
