run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260508_144810,front_head_lv2_1,front,head wind,Level2,drone_5,192.168.0.107,B10,5,front_5,5,4,0,node_segment_1,2026-05-08T14:48:30.322,19.918,0.0,0.0,5,1,0,86,201,0,86,200,250,80,2,250,10,-1,250,-6,250.074,8.985,16.301,65,65,,2,0,2,0,0,0,1.0,-26.0,-992.0,61,65,82,70,10.42,215
20260508_144810,front_head_lv2_1,front,head wind,Level2,drone_5,192.168.0.107,B10,5,front_5,5,4,0,node_segment_1,2026-05-08T14:48:30.432,20.027,0.109,0.109,5,1,0,86,201,0,86,200,250,80,2,250,10,-1,250,-6,250.074,10.563,20.266,65,65,,2,0,1,0,0,0,5.0,-28.0,-1028.0,61,65,81,70,10.39,215
20260508_144810,front_head_lv2_1,front,head wind,Level2,drone_5,192.168.0.107,B10,5,front_5,5,4,0,node_segment_1,2026-05-08T14:48:30.540,20.135,0.217,0.217,5,-18,0,83,182,0,83,200,250,80,2,250,10,18,250,-3,250.665,11.226,22.926,65,65,,2,0,1,0,0,0,7.0,-35.0,-1025.0,61,65,81,70,10.4,215
20260508_144810,front_head_lv2_1,front,head wind,Level2,drone_5,192.168.0.107,B10,5,front_5,5,4,0,node_segment_1,2026-05-08T14:48:30.646,20.242,0.324,0.324,5,-18,0,83,182,0,83,200,250,80,2,250,10,18,250,-3,250.665,11.226,22.926,65,65,,2,0,2,0,0,0,-13.0,-45.0,-992.0,61,65,81,70,10.38,215
20260508_144810,front_head_lv2_1,front,head wind,Level2,drone_5,192.168.0.107,B10,5,front_5,5,4,0,node_segment_1,2026-05-08T14:48:30.753,20.349,0.431,0.431,5,-18,0,83,182,0,83,200,250,80,2,250,10,18,250,-3,250.665,11.654,22.926,65,65,,2,-2,2,-1,0,0,11.0,-54.0,-982.0,61,65,81,70,10.41,215
20260508_144810,front_head_lv2_1,front,head wind,Level2,drone_5,192.168.0.107,B10,5,front_5,5,4,0,node_segment_1,2026-05-08T14:48:30.859,20.455,0.537,0.537,5,-18,0,83,182,0,83,200,250,80,2,250,10,18,250,-3,250.665,11.4,22.981,65,65,,2,-1,2,-1,0,0,3.0,-45.0,-1006.0,61,65,81,70,10.35,215
20260508_144810,front_head_lv2_1,front,head wind,Level2,drone_5,192.168.0.107,B10,5,front_5,5,4,0,node_segment_1,2026-05-08T14:48:30.964,20.559,0.641,0.641,5,0,0,83,200,0,83,200,250,80,2,250,10,0,250,-3,250.018,9.305,17.505,65,65,,2,0,2,-1,0,0,0.0,-64.0,-1010.0,61,65,81,70,10.31,215
20260508_144810,front_head_lv2_1,front,head wind,Level2,drone_5,192.168.0.107,B10,5,front_5,5,4,0,node_segment_1,2026-05-08T14:48:31.070,20.666,0.748,0.748,5,0,0,83,200,0,83,200,250,80,2,250,10,0,250,-3,250.018,8.549,15.774,65,65,,3,0,3,-1,0,0,-26.0,-42.0,-1027.0,61,65,81,70,10.26,215
20260508_144810,front_head_lv2_1,front,head wind,Level2,drone_5,192.168.0.107,B10,5,front_5,5,4,0,node_segment_1,2026-05-08T14:48:31.177,20.772,0.854,0.854,5,0,0,83,200,0,83,200,250,80,2,250,10,0,250,-3,250.018,8.143,15.097,65,65,,3,0,3,-1,0,0,-48.0,-5.0,-1016.0,61,63,81,70,10.18,216
20260508_144810,front_head_lv2_1,front,head wind,Level2,drone_5,192.168.0.107,B10,5,front_5,5,4,0,node_segment_1,2026-05-08T14:48:31.281,20.877,0.959,0.959,5,0,0,83,200,0,83,200,250,80,2,250,10,0,250,-3,250.018,8.143,15.097,65,65,,3,0,1,-1,0,0,-48.0,-13.0,-992.0,61,63,82,70,10.24,216
