run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260508_145231,front_50_head_lv2_003,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,node_segment_1,2026-05-08T14:52:50.930,19.064,0.0,0.0,5,8,13,82,208,13,82,200,250,80,2,250,10,-8,237,-2,237.143,8.177,14.478,31,31,,1,-2,0,0,0,0,-63.0,-19.0,-1019.0,62,65,80,70,10.1,383
20260508_145231,front_50_head_lv2_003,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,node_segment_1,2026-05-08T14:52:51.034,19.169,0.105,0.105,5,8,13,82,208,13,82,200,250,80,2,250,10,-8,237,-2,237.143,8.9,16.595,31,31,,1,-3,0,0,0,0,-51.0,6.0,-989.0,62,65,81,70,10.12,384
20260508_145231,front_50_head_lv2_003,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,node_segment_1,2026-05-08T14:52:51.142,19.277,0.213,0.213,5,5,14,82,205,14,82,200,250,80,2,250,10,-5,236,-2,236.061,7.656,13.768,31,31,,1,-2,1,0,0,0,-55.0,3.0,-995.0,62,65,80,70,10.24,384
20260508_145231,front_50_head_lv2_003,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,node_segment_1,2026-05-08T14:52:51.250,19.384,0.32,0.32,5,5,14,82,205,14,82,200,250,80,2,250,10,-5,236,-2,236.061,7.656,13.768,31,31,,1,-3,0,0,0,0,-34.0,13.0,-972.0,62,65,81,70,10.1,384
20260508_145231,front_50_head_lv2_003,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,node_segment_1,2026-05-08T14:52:51.358,19.492,0.428,0.428,5,5,14,82,205,14,82,200,250,80,2,250,10,-5,236,-2,236.061,7.498,12.635,31,31,,1,-6,0,0,0,0,-51.0,28.0,-1008.0,62,64,81,70,10.14,384
20260508_145231,front_50_head_lv2_003,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,node_segment_1,2026-05-08T14:52:51.463,19.598,0.534,0.534,5,6,12,83,206,12,83,200,250,80,2,250,10,-6,238,-3,238.095,8.869,14.394,31,31,,1,-4,0,0,0,0,-75.0,44.0,-1034.0,62,64,81,70,9.97,384
20260508_145231,front_50_head_lv2_003,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,node_segment_1,2026-05-08T14:52:51.571,19.706,0.641,0.641,5,6,12,83,206,12,83,200,250,80,2,250,10,-6,238,-3,238.095,8.869,14.394,31,31,,1,-3,-3,0,0,0,-74.0,2.0,-986.0,62,64,82,70,10.08,384
20260508_145231,front_50_head_lv2_003,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,node_segment_1,2026-05-08T14:52:51.679,19.814,0.75,0.75,5,6,12,83,206,12,83,200,250,80,2,250,10,-6,238,-3,238.095,8.869,14.394,31,31,,1,-2,-2,0,0,0,-68.0,-14.0,-975.0,62,64,81,70,10.12,384
20260508_145231,front_50_head_lv2_003,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,node_segment_1,2026-05-08T14:52:51.788,19.922,0.858,0.858,5,6,12,83,206,12,83,200,250,80,2,250,10,-6,238,-3,238.095,8.749,14.394,31,31,,1,-3,-2,0,0,0,-59.0,5.0,-1014.0,62,64,81,70,10.12,384
20260508_145231,front_50_head_lv2_003,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,node_segment_1,2026-05-08T14:52:51.896,20.031,0.966,0.966,5,8,18,82,208,18,82,200,250,80,2,250,10,-8,232,-2,232.147,9.492,16.373,31,31,,1,-3,0,0,0,0,-57.0,15.0,-1001.0,62,64,81,70,10.16,384
20260508_145231,front_50_head_lv2_003,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,node_segment_1,2026-05-08T14:52:52.000,20.134,1.07,1.07,5,8,18,82,208,18,82,200,250,80,2,250,10,-8,232,-2,232.147,9.492,16.373,31,31,,1,-2,0,-1,0,0,-51.0,17.0,-1013.0,62,64,81,70,9.92,385
20260508_145231,front_50_head_lv2_003,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,node_segment_1,2026-05-08T14:52:52.106,20.241,1.177,1.177,5,8,18,82,208,18,82,200,250,80,2,250,10,-8,232,-2,232.147,9.89,19.012,31,31,,1,-2,0,-1,0,0,-58.0,7.0,-974.0,62,64,81,70,10.02,385
20260508_145231,front_50_head_lv2_003,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,node_segment_1,2026-05-08T14:52:52.214,20.348,1.284,1.284,5,8,18,82,208,18,82,200,250,80,2,250,10,-8,232,-2,232.147,9.784,19.012,31,31,,1,-2,0,-1,0,0,-50.0,20.0,-994.0,62,64,81,70,10.12,385
20260508_145231,front_50_head_lv2_003,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,node_segment_1,2026-05-08T14:52:52.320,20.455,1.391,1.391,5,13,19,82,213,19,82,200,250,80,2,250,10,-13,231,-2,231.374,12.271,24.106,31,31,,1,-2,-1,-1,0,0,-62.0,31.0,-979.0,62,64,81,70,9.98,385
20260508_145231,front_50_head_lv2_003,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,node_segment_1,2026-05-08T14:52:52.424,20.559,1.495,1.495,5,13,19,82,213,19,82,200,250,80,2,250,10,-13,231,-2,231.374,12.271,24.106,31,31,,0,-2,-2,-1,0,0,-54.0,-7.0,-992.0,62,65,80,70,10.01,385
20260508_145231,front_50_head_lv2_003,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,node_segment_1,2026-05-08T14:52:52.533,20.667,1.603,1.603,5,13,19,82,213,19,82,200,250,80,2,250,10,-13,231,-2,231.374,11.851,23.666,31,31,,0,-2,-1,-1,0,0,-51.0,-26.0,-1010.0,62,65,80,70,10.15,385
20260508_145231,front_50_head_lv2_003,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,node_segment_1,2026-05-08T14:52:52.641,20.776,1.712,1.712,6,7,-12,83,207,38,83,200,250,80,2,250,10,-7,212,-3,212.137,12.455,21.479,31,31,,0,-2,-1,-1,0,0,-21.0,-29.0,-998.0,62,65,79,70,10.09,385
20260508_145231,front_50_head_lv2_003,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,node_segment_1,2026-05-08T14:52:52.749,20.884,1.82,1.82,6,7,-12,83,207,38,83,200,250,80,2,250,10,-7,212,-3,212.137,12.455,21.479,31,31,,0,-2,0,-1,0,0,-24.0,-20.0,-1009.0,62,65,79,60,10.1,385
20260508_145231,front_50_head_lv2_003,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,node_segment_1,2026-05-08T14:52:52.858,20.992,1.928,1.928,6,7,-12,83,207,38,83,200,250,80,2,250,10,-7,212,-3,212.137,12.262,21.479,31,31,,0,-1,0,-1,0,0,-28.0,-13.0,-997.0,62,65,78,60,10.01,385
20260508_145231,front_50_head_lv2_003,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,node_segment_1,2026-05-08T14:52:52.966,21.101,2.036,2.036,6,7,-12,83,207,38,83,200,250,80,2,250,10,-7,212,-3,212.137,11.972,20.988,31,31,,0,-1,0,-1,0,0,-49.0,2.0,-1027.0,62,65,78,60,10.09,386
20260508_145231,front_50_head_lv2_003,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,node_segment_1,2026-05-08T14:52:53.070,21.205,2.141,2.141,6,7,-6,80,207,44,80,200,250,80,2,250,10,-7,206,0,206.119,11.539,22.525,31,31,,0,-1,0,-1,0,0,-25.0,-32.0,-1016.0,62,65,78,60,9.96,386
20260508_145231,front_50_head_lv2_003,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,node_segment_1,2026-05-08T14:52:53.177,21.311,2.247,2.247,6,7,-6,80,207,44,80,200,250,80,2,250,10,-7,206,0,206.119,11.441,22.957,31,31,,0,-1,0,-1,0,0,-63.0,2.0,-970.0,62,65,77,60,10.07,386
20260508_145231,front_50_head_lv2_003,front,head wind,Level2,drone_5,192.168.0.107,B04,5,front_5,5,4,0,node_segment_1,2026-05-08T14:52:53.283,21.417,2.353,2.353,6,7,-6,80,207,44,80,200,250,80,2,250,10,-7,206,0,206.119,12.63,22.957,31,31,,0,0,0,-1,0,0,-63.0,-1.0,-1016.0,62,65,78,60,10.07,386
