run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260516_140608,front_50_head_lv2_new_001,front,head wind,Level2,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-05-16T14:08:58.580,169.691,0.0,0.0,3,1,1,81,101,1,81,100,250,80,8,250,10,-1,249,-1,249.004,11.749,28.493,71,71,,0,-2,0,0,0,0,-29.0,3.0,-985.0,59,60,79,20,-48.12,59
20260516_140608,front_50_head_lv2_new_001,front,head wind,Level2,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-05-16T14:08:58.690,169.801,0.11,0.11,3,1,1,81,101,1,81,100,250,80,8,250,10,-1,249,-1,249.004,9.574,23.294,71,71,,1,-1,0,0,0,0,-7.0,19.0,-978.0,59,60,79,20,-48.12,59
20260516_140608,front_50_head_lv2_new_001,front,head wind,Level2,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-05-16T14:08:58.792,169.903,0.212,0.212,3,0,3,82,100,3,82,100,250,80,8,250,10,0,247,-2,247.008,9.798,23.294,71,71,,1,-1,0,0,0,0,-44.0,21.0,-1015.0,59,60,78,20,-48.11,59
20260516_140608,front_50_head_lv2_new_001,front,head wind,Level2,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-05-16T14:08:58.900,170.011,0.32,0.32,3,0,3,82,100,3,82,100,250,80,8,250,10,0,247,-2,247.008,10.163,23.294,71,71,,0,-1,0,0,0,0,-44.0,15.0,-1003.0,59,60,78,20,-48.03,59
20260516_140608,front_50_head_lv2_new_001,front,head wind,Level2,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-05-16T14:08:59.006,170.117,0.426,0.426,3,0,3,82,100,3,82,100,250,80,8,250,10,0,247,-2,247.008,10.163,23.294,71,71,,0,-2,-1,0,0,0,-28.0,17.0,-1021.0,59,60,77,20,-48.13,59
20260516_140608,front_50_head_lv2_new_001,front,head wind,Level2,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-05-16T14:08:59.109,170.22,0.529,0.529,3,0,3,82,100,3,82,100,250,80,8,250,10,0,247,-2,247.008,10.344,23.323,71,71,,0,-3,-1,0,0,0,-49.0,13.0,-1021.0,59,60,77,20,-48.11,59
20260516_140608,front_50_head_lv2_new_001,front,head wind,Level2,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-05-16T14:08:59.217,170.328,0.637,0.637,3,-3,2,81,97,2,81,100,250,80,8,250,10,3,248,-1,248.02,10.766,23.323,71,71,,0,-2,0,-1,0,0,-47.0,-3.0,-997.0,59,60,76,20,-48.12,59
20260516_140608,front_50_head_lv2_new_001,front,head wind,Level2,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-05-16T14:08:59.324,170.434,0.744,0.744,3,-3,2,81,97,2,81,100,250,80,8,250,10,3,248,-1,248.02,11.16,23.323,71,71,,1,-2,0,0,0,0,-43.0,0.0,-1016.0,59,60,77,20,-48.2,60
20260516_140608,front_50_head_lv2_new_001,front,head wind,Level2,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-05-16T14:08:59.430,170.541,0.85,0.85,3,0,6,80,100,6,80,100,250,80,8,250,10,0,244,0,244.0,12.506,28.37,71,71,,0,-2,0,0,0,0,-50.0,18.0,-993.0,59,60,77,20,-48.05,60
20260516_140608,front_50_head_lv2_new_001,front,head wind,Level2,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-05-16T14:08:59.537,170.648,0.957,0.957,3,0,6,80,100,6,80,100,250,80,8,250,10,0,244,0,244.0,12.506,28.37,71,71,,0,-3,-1,0,0,0,-37.0,25.0,-953.0,59,60,77,20,-48.15,60
