run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_logging,2026-05-12T14:25:57.788,21.398,0.0,0.0,6,11,3,85,11,253,85,0,0,80,1,250,10,-11,-253,-5,253.288,26.791,73.24,54,54,,-2,0,1,0,0,0,6.0,-19.0,-1020.0,65,68,83,80,-132.14,307
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:25:57.897,21.507,0.109,0.109,6,11,3,85,11,253,85,0,0,80,1,250,10,-11,-253,-5,253.288,27.499,86.029,54,54,,-2,0,2,0,0,0,39.0,-36.0,-1029.0,65,68,83,80,-132.06,307
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:25:58.004,21.614,0.216,0.216,6,12,1,85,12,251,85,0,0,80,1,250,10,-12,-251,-5,251.336,28.025,86.029,54,54,,-2,1,1,0,0,0,9.0,-6.0,-943.0,65,68,83,80,-132.13,307
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:25:58.111,21.721,0.323,0.323,6,12,1,85,12,251,85,0,0,80,1,250,10,-12,-251,-5,251.336,28.025,86.029,54,54,,-2,0,1,0,0,0,29.0,-59.0,-972.0,65,68,82,80,-132.12,307
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:25:58.219,21.829,0.431,0.431,6,12,1,85,12,251,85,0,0,80,1,250,10,-12,-251,-5,251.336,28.035,86.029,54,54,,-2,-1,0,0,0,0,5.0,0.0,-956.0,65,68,82,80,-132.12,307
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:25:58.323,21.933,0.535,0.535,6,12,1,85,12,251,85,0,0,80,1,250,10,-12,-251,-5,251.336,4.681,11.403,54,54,,-2,-1,1,0,0,0,22.0,-19.0,-977.0,65,68,81,80,-132.06,307
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:25:58.430,22.04,0.642,0.642,6,12,1,85,12,251,85,0,0,80,1,250,10,-12,-251,-5,251.336,4.681,11.403,54,54,,-2,0,1,-1,0,0,-2.0,35.0,-1015.0,65,68,82,80,-131.98,307
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:25:58.533,22.144,0.746,0.746,6,11,1,85,11,251,85,0,0,80,1,250,10,-11,-251,-5,251.291,4.284,10.406,54,54,,-1,2,0,-1,0,0,43.0,-58.0,-958.0,65,67,81,80,-132.19,308
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:25:58.642,22.252,0.854,0.854,6,11,1,85,11,251,85,0,0,80,1,250,10,-11,-251,-5,251.291,4.812,11.233,54,54,,-1,1,0,-1,0,0,13.0,-60.0,-993.0,65,67,81,80,-132.13,308
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:25:58.750,22.36,0.962,0.962,6,11,1,85,11,251,85,0,0,80,1,250,10,-11,-251,-5,251.291,5.274,11.233,54,54,,-2,0,3,-1,0,0,0.0,6.0,-1032.0,65,67,79,80,-132.19,308
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:25:58.854,22.464,1.066,1.066,6,11,1,85,11,251,85,0,0,80,1,250,10,-11,-251,-5,251.291,5.274,11.233,54,54,,-2,1,3,-1,0,0,19.0,-39.0,-1038.0,65,67,78,80,-132.21,308
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:25:58.959,22.569,1.171,1.171,6,10,0,83,10,250,83,0,0,80,1,250,10,-10,-250,-3,250.218,4.912,10.324,54,54,,-2,2,3,-1,0,0,5.0,-40.0,-1024.0,65,67,78,70,-132.1,308
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:25:59.067,22.677,1.279,1.279,6,10,0,83,10,250,83,0,0,80,1,250,10,-10,-250,-3,250.218,6.641,15.91,54,54,,-2,1,3,0,0,0,4.0,-24.0,-1036.0,65,67,77,70,-132.18,308
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:25:59.176,22.787,1.389,1.389,6,10,0,83,10,250,83,0,0,80,1,250,10,-10,-250,-3,250.218,6.641,15.91,54,54,,-2,0,3,0,0,0,-18.0,-2.0,-981.0,65,67,77,70,-132.16,308
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:25:59.283,22.893,1.495,1.495,6,10,0,83,10,250,83,0,0,80,1,250,10,-10,-250,-3,250.218,6.641,15.91,54,54,,-2,0,2,0,0,0,7.0,3.0,-1023.0,65,67,77,70,-132.14,308
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:25:59.388,22.999,1.601,1.601,6,10,0,83,10,250,83,0,0,80,1,250,10,-10,-250,-3,250.218,6.641,15.91,54,54,,-2,0,1,0,0,0,4.0,0.0,-989.0,65,67,77,70,-132.18,308
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:25:59.496,23.106,1.708,1.708,6,19,-8,79,19,242,79,0,0,80,1,250,10,-19,-242,1,242.747,27.739,67.614,54,54,,-2,0,0,0,0,0,7.0,-13.0,-1009.0,65,67,77,70,-132.21,309
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:25:59.603,23.213,1.815,1.815,6,19,-8,79,19,242,79,0,0,80,1,250,10,-19,-242,1,242.747,27.739,67.614,54,54,,-2,0,0,0,0,0,7.0,-19.0,-996.0,64,67,78,70,-132.19,309
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:25:59.710,23.32,1.922,1.922,6,19,-8,79,19,242,79,0,0,80,1,250,10,-19,-242,1,242.747,27.739,67.614,54,54,,-2,0,0,0,0,0,19.0,-17.0,-1011.0,64,67,79,70,-132.18,309
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:25:59.817,23.427,2.029,2.029,6,19,-8,79,19,242,79,0,0,80,1,250,10,-19,-242,1,242.747,27.739,67.614,54,54,,-2,0,1,0,0,0,3.0,1.0,-996.0,64,67,79,80,-132.19,309
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:25:59.925,23.535,2.137,2.137,6,19,-13,79,19,237,79,0,0,80,1,250,10,-19,-237,1,237.762,28.583,70.88,54,54,,-2,0,1,0,0,0,15.0,-23.0,-1001.0,64,67,79,80,-132.21,309
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:26:00.033,23.643,2.245,2.245,6,19,-13,79,19,237,79,0,0,80,1,250,10,-19,-237,1,237.762,28.588,70.88,54,54,,-2,1,0,0,0,0,-1.0,-33.0,-960.0,64,67,79,80,-132.2,309
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:26:00.141,23.751,2.353,2.353,6,19,-13,79,19,237,79,0,0,80,1,250,10,-19,-237,1,237.762,28.588,70.88,54,54,,-2,0,0,0,0,0,7.0,-8.0,-999.0,64,67,79,80,-132.1,309
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:26:00.246,23.856,2.458,2.458,6,18,-13,80,18,237,80,0,0,80,1,250,10,-18,-237,0,237.683,28.877,73.329,54,54,,-2,0,1,0,0,0,-7.0,0.0,-986.0,64,67,79,80,-132.19,309
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:26:00.354,23.965,2.567,2.567,6,18,-13,80,18,237,80,0,0,80,1,250,10,-18,-237,0,237.683,29.067,73.329,54,54,,-2,0,0,0,0,0,-10.0,-10.0,-998.0,64,67,79,80,-132.18,309
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:26:00.463,24.073,2.675,2.675,6,18,-13,80,18,237,80,0,0,80,1,250,10,-18,-237,0,237.683,29.067,73.329,54,54,,-2,0,0,0,0,0,26.0,-17.0,-1003.0,64,67,79,80,-132.13,310
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:26:00.568,24.178,2.78,2.78,6,18,-13,80,18,237,80,0,0,80,1,250,10,-18,-237,0,237.683,29.067,73.329,54,54,,-2,0,1,-1,0,0,5.0,3.0,-1029.0,64,67,79,80,-132.18,310
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:26:00.676,24.287,2.889,2.889,6,18,-13,80,18,237,80,0,0,80,1,250,10,-18,-237,0,237.683,27.975,74.258,54,54,,-2,0,0,-1,0,0,26.0,-41.0,-948.0,64,67,80,80,-132.15,310
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:26:00.784,24.394,2.996,2.996,6,15,-19,82,15,231,82,0,0,80,1,250,10,-15,-231,-2,231.495,27.518,74.258,54,54,,-2,1,0,-1,0,0,14.0,-53.0,-967.0,64,67,79,80,-132.12,310
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:26:00.892,24.502,3.104,3.104,6,15,-19,82,15,231,82,0,0,80,1,250,10,-15,-231,-2,231.495,27.518,74.258,54,54,,-2,1,1,0,0,0,18.0,-8.0,-1015.0,64,67,79,80,-132.15,310
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:26:01.000,24.611,3.213,3.213,6,15,-19,82,15,231,82,0,0,80,1,250,10,-15,-231,-2,231.495,27.518,74.258,54,54,,-2,0,1,0,0,0,-1.0,0.0,-1015.0,64,67,79,80,-132.15,310
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:26:01.108,24.718,3.32,3.32,5,9,18,82,9,218,82,0,0,80,1,250,10,-9,-218,-2,218.195,27.598,78.141,54,54,,-2,0,1,0,0,0,7.0,-21.0,-1015.0,64,67,79,80,-132.22,310
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:26:01.217,24.827,3.429,3.429,5,9,18,82,9,218,82,0,0,80,1,250,10,-9,-218,-2,218.195,28.218,78.141,54,54,,-2,0,1,-1,0,0,-1.0,-21.0,-979.0,64,67,80,80,-132.16,310
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:26:01.325,24.935,3.537,3.537,5,9,18,82,9,218,82,0,0,80,1,250,10,-9,-218,-2,218.195,28.218,78.141,54,54,,-2,0,1,-1,0,0,26.0,-22.0,-992.0,64,67,79,80,-132.15,310
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:26:01.434,25.044,3.646,3.646,5,9,18,82,9,218,82,0,0,80,1,250,10,-9,-218,-2,218.195,28.218,78.141,54,54,,-2,0,1,-1,0,0,9.0,-27.0,-988.0,64,67,79,80,-132.14,311
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:26:01.541,25.151,3.753,3.753,5,9,12,82,9,212,82,0,0,80,1,250,10,-9,-212,-2,212.2,29.188,79.53,54,54,,-2,1,1,-1,0,0,10.0,-3.0,-1006.0,64,67,79,80,-132.17,311
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:26:01.646,25.256,3.858,3.858,5,9,12,82,9,212,82,0,0,80,1,250,10,-9,-212,-2,212.2,29.626,79.53,54,54,,-2,1,1,-1,0,0,10.0,-16.0,-1015.0,64,67,79,80,-132.16,311
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:26:01.757,25.367,3.969,3.969,5,9,12,82,9,212,82,0,0,80,1,250,10,-9,-212,-2,212.2,29.626,79.53,54,54,,-2,1,1,-1,0,0,9.0,-17.0,-1016.0,64,67,79,80,-132.13,311
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:26:01.863,25.474,4.075,4.075,5,9,12,82,9,212,82,0,0,80,1,250,10,-9,-212,-2,212.2,30.223,81.826,54,54,,-2,0,1,0,0,0,-9.0,0.0,-1012.0,64,67,79,80,-132.1,311
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:26:01.972,25.582,4.184,4.184,5,9,12,82,9,212,82,0,0,80,1,250,10,-9,-212,-2,212.2,30.631,81.826,54,54,,-2,0,1,0,0,0,-1.0,-30.0,-983.0,64,67,80,80,-132.08,311
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:26:02.080,25.691,4.293,4.293,5,4,7,82,4,207,82,0,0,80,1,250,10,-4,-207,-2,207.048,30.089,81.826,54,54,,-2,0,0,0,0,0,-9.0,4.0,-993.0,64,67,80,80,-132.03,311
20260512_142536,front_50_tail_lv1_006,front,tail wind,Level1,drone_1,192.168.0.101,B06,1,front_1,6,0,5,node_segment_1,2026-05-12T14:26:02.190,25.8,4.402,4.402,5,4,7,82,4,207,82,0,0,80,1,250,10,-4,-207,-2,207.048,30.089,81.826,54,54,,-2,0,0,0,0,0,12.0,-11.0,-985.0,64,67,80,80,-132.14,311
