run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260518_180852,front_50_tail_lv1_new_004,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T18:09:14.186,21.501,0.0,0.0,6,7,2,81,7,252,81,0,0,80,1,250,10,-7,-252,-1,252.099,6.612,18.447,73,73,,-6,2,0,0,0,0,62.0,-11.0,-1001.0,59,62,78,30,13.03,85
20260518_180852,front_50_tail_lv1_new_004,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T18:09:14.292,21.607,0.106,0.106,6,6,2,80,6,252,80,0,0,80,1,250,10,-6,-252,0,252.071,5.445,15.742,73,73,,-6,2,0,0,0,0,31.0,-23.0,-953.0,59,62,78,30,12.76,85
20260518_180852,front_50_tail_lv1_new_004,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T18:09:14.395,21.711,0.21,0.21,6,6,2,80,6,252,80,0,0,80,1,250,10,-6,-252,0,252.071,5.247,14.637,73,73,,-6,2,0,0,0,0,83.0,-59.0,-1031.0,59,62,79,30,12.83,85
20260518_180852,front_50_tail_lv1_new_004,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T18:09:14.502,21.817,0.316,0.316,6,6,2,80,6,252,80,0,0,80,1,250,10,-6,-252,0,252.071,5.247,14.637,73,73,,-6,1,1,0,0,0,26.0,-37.0,-986.0,59,62,78,30,12.78,85
20260518_180852,front_50_tail_lv1_new_004,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T18:09:14.603,21.918,0.417,0.417,6,6,2,80,6,252,80,0,0,80,1,250,10,-6,-252,0,252.071,5.973,14.351,73,73,,-6,0,2,0,0,0,20.0,-31.0,-970.0,59,62,78,30,12.8,85
20260518_180852,front_50_tail_lv1_new_004,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T18:09:14.709,22.024,0.523,0.523,6,6,2,81,6,252,81,0,0,80,1,250,10,-6,-252,-1,252.073,5.973,14.351,73,73,,-7,0,1,0,0,0,-7.0,6.0,-968.0,59,62,79,30,12.81,85
20260518_180852,front_50_tail_lv1_new_004,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T18:09:14.814,22.129,0.628,0.628,6,6,2,81,6,252,81,0,0,80,1,250,10,-6,-252,-1,252.073,6.199,13.6,73,73,,-7,0,1,0,0,0,29.0,-22.0,-995.0,59,62,80,30,12.84,86
20260518_180852,front_50_tail_lv1_new_004,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T18:09:14.919,22.234,0.733,0.733,6,6,2,81,6,252,81,0,0,80,1,250,10,-6,-252,-1,252.073,6.199,13.6,73,73,,-7,1,1,0,0,0,51.0,-40.0,-997.0,59,62,81,30,12.75,86
20260518_180852,front_50_tail_lv1_new_004,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T18:09:15.027,22.343,0.842,0.842,6,6,2,81,6,252,81,0,0,80,1,250,10,-6,-252,-1,252.073,7.172,15.513,73,73,,-7,1,1,0,0,0,22.0,6.0,-992.0,59,62,81,30,12.83,86
20260518_180852,front_50_tail_lv1_new_004,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T18:09:15.133,22.449,0.948,0.948,6,7,0,82,7,250,82,0,0,80,1,250,10,-7,-250,-2,250.106,7.442,15.513,73,73,,-7,2,1,-1,0,0,50.0,-15.0,-955.0,59,62,82,30,12.88,86
