run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_logging,2026-05-18T18:14:38.707,17.27,0.0,0.0,6,3,-14,86,3,236,86,0,0,80,1,250,10,-3,-236,-6,236.095,9.943,21.902,56,56,,-1,5,1,0,0,0,18.0,16.0,-1035.0,65,67,77,80,12.42,260
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-05-18T18:14:38.707,17.27,0.0,0.0,7,15,-8,78,65,242,78,50,0,80,2,250,10,-15,-242,2,242.473,9.943,21.902,56,56,,2,3,0,0,0,0,52.0,33.0,-1025.0,65,66,81,60,13.19,265
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_3,192.168.0.103,B13,3,front_3,8,2,5,node_segment_1_of_5,2026-05-18T18:14:38.707,17.27,0.0,0.0,8,6,0,85,106,250,85,100,0,80,3,250,10,-6,-250,-5,250.122,9.943,21.902,51,51,,1,2,1,0,0,0,22.0,-26.0,-982.0,67,69,88,70,13.0,256
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_4,192.168.0.106,B14,4,front_4,1,3,5,node_segment_1_of_5,2026-05-18T18:14:38.707,17.27,0.0,0.0,1,-3,5,88,147,255,88,150,0,80,4,250,10,3,-255,-8,255.143,9.943,21.902,54,54,,0,1,1,0,0,0,98.0,-9.0,-1051.0,59,62,86,80,13.6,294
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_5,192.168.0.107,B15,5,front_5,2,4,5,node_segment_1_of_5,2026-05-18T18:14:38.707,17.27,0.0,0.0,2,-7,-13,86,193,237,86,200,0,80,5,250,10,7,-237,-6,237.179,9.943,21.902,47,47,,-3,1,0,0,0,0,40.0,23.0,-990.0,62,64,83,70,12.75,298
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T18:14:38.816,17.379,0.109,0.109,5,1,19,81,1,219,81,0,0,80,1,250,10,-1,-219,-1,219.005,10.024,20.903,56,56,,-1,5,3,0,0,0,87.0,0.0,-1000.0,65,67,77,80,12.58,260
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-05-18T18:14:38.816,17.379,0.109,0.109,7,15,-8,78,65,242,78,50,0,80,2,250,10,-15,-242,2,242.473,10.024,20.903,56,56,,2,3,0,0,-1,0,66.0,28.0,-967.0,65,66,81,60,13.2,265
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_3,192.168.0.103,B13,3,front_3,8,2,5,node_segment_1_of_5,2026-05-18T18:14:38.816,17.379,0.109,0.109,8,6,1,87,106,251,87,100,0,80,3,250,10,-6,-251,-7,251.169,10.024,20.903,51,51,,0,2,1,0,0,0,35.0,-31.0,-975.0,67,69,88,70,12.96,256
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_4,192.168.0.106,B14,4,front_4,1,3,5,node_segment_1_of_5,2026-05-18T18:14:38.816,17.379,0.109,0.109,1,-3,5,88,147,255,88,150,0,80,4,250,10,3,-255,-8,255.143,10.024,20.903,54,54,,0,4,0,0,0,0,30.0,-52.0,-1000.0,59,62,85,80,13.74,295
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_5,192.168.0.107,B15,5,front_5,2,4,5,node_segment_1_of_5,2026-05-18T18:14:38.816,17.379,0.109,0.109,2,-6,-13,87,194,237,87,200,0,80,5,250,10,6,-237,-7,237.179,10.024,20.903,47,47,,-4,2,0,0,0,0,37.0,0.0,-985.0,61,65,82,70,12.79,299
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T18:14:38.921,17.484,0.214,0.214,5,1,19,81,1,219,81,0,0,80,1,250,10,-1,-219,-1,219.005,10.024,20.903,56,56,,-1,4,2,0,0,0,67.0,-42.0,-984.0,65,68,77,80,12.44,260
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-05-18T18:14:38.921,17.484,0.214,0.214,7,15,-8,78,65,242,78,50,0,80,2,250,10,-15,-242,2,242.473,10.024,20.903,56,56,,2,3,-2,0,-1,0,56.0,1.0,-976.0,65,66,81,60,13.2,265
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_3,192.168.0.103,B13,3,front_3,8,2,5,node_segment_1_of_5,2026-05-18T18:14:38.921,17.484,0.214,0.214,8,6,1,87,106,251,87,100,0,80,3,250,10,-6,-251,-7,251.169,10.024,20.903,51,51,,0,1,2,0,0,0,20.0,-12.0,-966.0,67,69,88,70,13.07,256
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_4,192.168.0.106,B14,4,front_4,1,3,5,node_segment_1_of_5,2026-05-18T18:14:38.921,17.484,0.214,0.214,1,-3,5,88,147,255,88,150,0,80,4,250,10,3,-255,-8,255.143,10.024,20.903,54,54,,0,4,2,0,0,0,60.0,-19.0,-974.0,59,62,87,80,13.75,295
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_5,192.168.0.107,B15,5,front_5,2,4,5,node_segment_1_of_5,2026-05-18T18:14:38.921,17.484,0.214,0.214,2,-6,-13,87,194,237,87,200,0,80,5,250,10,6,-237,-7,237.179,10.024,20.903,47,47,,-2,2,-1,0,0,0,29.0,13.0,-1022.0,61,65,82,70,12.7,299
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T18:14:39.027,17.59,0.32,0.32,5,1,19,81,1,219,81,0,0,80,1,250,10,-1,-219,-1,219.005,10.063,20.903,56,56,,0,5,0,0,0,0,95.0,-100.0,-1002.0,65,68,78,80,12.36,260
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-05-18T18:14:39.027,17.59,0.32,0.32,7,15,-8,78,65,242,78,50,0,80,2,250,10,-15,-242,2,242.473,10.063,20.903,56,56,,2,3,-1,0,0,0,75.0,11.0,-1001.0,65,66,82,70,13.25,265
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_3,192.168.0.103,B13,3,front_3,8,2,5,node_segment_1_of_5,2026-05-18T18:14:39.027,17.59,0.32,0.32,8,6,1,87,106,251,87,100,0,80,3,250,10,-6,-251,-7,251.169,10.063,20.903,51,51,,1,0,0,0,0,0,15.0,-21.0,-978.0,67,69,88,70,13.06,257
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_4,192.168.0.106,B14,4,front_4,1,3,5,node_segment_1_of_5,2026-05-18T18:14:39.027,17.59,0.32,0.32,1,-2,1,88,148,251,88,150,0,80,4,250,10,2,-251,-8,251.135,10.063,20.903,54,54,,0,3,2,0,0,0,29.0,-21.0,-992.0,60,62,86,80,13.81,295
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_5,192.168.0.107,B15,5,front_5,2,4,5,node_segment_1_of_5,2026-05-18T18:14:39.027,17.59,0.32,0.32,2,-6,-13,87,194,237,87,200,0,80,5,250,10,6,-237,-7,237.179,10.063,20.903,47,47,,0,0,0,0,0,0,-6.0,43.0,-1010.0,61,65,81,70,12.6,299
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T18:14:39.134,17.697,0.427,0.427,5,1,19,81,1,219,81,0,0,80,1,250,10,-1,-219,-1,219.005,8.761,17.966,56,56,,-1,5,0,0,0,0,64.0,-33.0,-994.0,65,68,78,80,12.46,261
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-05-18T18:14:39.134,17.697,0.427,0.427,7,12,-10,79,62,240,79,50,0,80,2,250,10,-12,-240,1,240.302,8.761,17.966,56,56,,2,2,0,0,0,0,83.0,19.0,-926.0,65,67,83,70,13.31,265
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_3,192.168.0.103,B13,3,front_3,8,2,5,node_segment_1_of_5,2026-05-18T18:14:39.134,17.697,0.427,0.427,8,6,1,87,106,251,87,100,0,80,3,250,10,-6,-251,-7,251.169,8.761,17.966,51,51,,1,0,0,0,0,0,15.0,-21.0,-978.0,67,69,88,70,13.06,257
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_4,192.168.0.106,B14,4,front_4,1,3,5,node_segment_1_of_5,2026-05-18T18:14:39.134,17.697,0.427,0.427,1,-2,1,88,148,251,88,150,0,80,4,250,10,2,-251,-8,251.135,8.761,17.966,54,54,,0,1,1,0,0,0,37.0,-35.0,-961.0,60,62,86,80,13.87,295
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_5,192.168.0.107,B15,5,front_5,2,4,5,node_segment_1_of_5,2026-05-18T18:14:39.134,17.697,0.427,0.427,2,-6,-13,87,194,237,87,200,0,80,5,250,10,6,-237,-7,237.179,8.761,17.966,47,47,,1,-1,-2,0,0,0,34.0,-23.0,-1065.0,61,65,81,70,12.62,299
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-05-18T18:14:39.242,17.805,0.535,0.535,5,3,17,81,3,217,81,0,0,80,1,250,10,-3,-217,-1,217.023,10.738,22.858,56,56,,-1,6,3,0,0,0,33.0,-46.0,-964.0,65,68,77,80,12.4,261
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-05-18T18:14:39.242,17.805,0.535,0.535,7,12,-10,79,62,240,79,50,0,80,2,250,10,-12,-240,1,240.302,10.738,22.858,56,56,,3,3,0,-1,0,0,83.0,-1.0,-942.0,65,67,82,70,13.25,265
20260518_181421,front_50_tail_lv1_new_007,front,tail wind,Level1,drone_3,192.168.0.103,B13,3,front_3,8,2,5,node_segment_1_of_5,2026-05-18T18:14:39.242,17.805,0.535,0.535,8,7,3,89,107,253,89,100,0,80,3,250,10,-7,-253,-9,253.257,10.738,22.858,51,51,,1,0,0,0,0,0,29.0,-24.0,-983.0,67,68,87,70,12.95,257
