run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260605_185044,front_75_head_lv1_new_001,front,head wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_logging,2026-06-05T18:52:49.173,125.048,0.0,0.0,6,-10,-3,85,-10,247,85,0,0,80,1,250,10,10,-247,-5,247.253,6.438,14.027,70,70,,179,-1,-1,0,0,0,-24.0,-41.0,-977.0,61,64,85,70,1.48,71
20260605_185044,front_75_head_lv1_new_001,front,head wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-06-05T18:52:49.278,125.153,0.105,0.105,6,-11,0,86,-11,250,86,0,0,80,1,250,10,11,-250,-6,250.314,6.807,15.014,70,70,,179,0,-1,0,0,0,-39.0,-41.0,-969.0,61,64,85,70,1.45,71
20260605_185044,front_75_head_lv1_new_001,front,head wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-06-05T18:52:49.384,125.259,0.212,0.212,6,-11,0,86,-11,250,86,0,0,80,1,250,10,11,-250,-6,250.314,6.807,15.014,70,70,,179,-1,0,0,0,0,-32.0,-30.0,-982.0,61,64,85,70,1.46,71
20260605_185044,front_75_head_lv1_new_001,front,head wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-06-05T18:52:49.491,125.366,0.318,0.318,6,-11,0,86,-11,250,86,0,0,80,1,250,10,11,-250,-6,250.314,6.611,15.014,70,70,,179,-3,1,0,0,0,-5.0,-61.0,-978.0,61,64,83,70,1.5,71
20260605_185044,front_75_head_lv1_new_001,front,head wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-06-05T18:52:49.598,125.472,0.425,0.425,6,-11,0,86,-11,250,86,0,0,80,1,250,10,11,-250,-6,250.314,6.959,15.014,70,70,,179,-4,1,0,0,0,-25.0,-25.0,-1000.0,61,64,83,70,1.48,71
20260605_185044,front_75_head_lv1_new_001,front,head wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-06-05T18:52:49.706,125.581,0.533,0.533,6,-13,-1,85,-13,249,85,0,0,80,1,250,10,13,-249,-5,249.389,7.791,17.048,70,70,,179,-3,1,0,0,0,-19.0,-49.0,-1020.0,61,64,82,70,1.45,71
20260605_185044,front_75_head_lv1_new_001,front,head wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-06-05T18:52:49.813,125.688,0.64,0.64,6,-13,-1,85,-13,249,85,0,0,80,1,250,10,13,-249,-5,249.389,7.791,17.048,70,70,,-179,-2,1,1,0,0,-26.0,-9.0,-1011.0,61,64,83,70,1.51,71
20260605_185044,front_75_head_lv1_new_001,front,head wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-06-05T18:52:49.919,125.794,0.747,0.747,6,-13,-1,85,-13,249,85,0,0,80,1,250,10,13,-249,-5,249.389,7.87,17.003,70,70,,-179,-2,1,1,0,0,-58.0,-15.0,-963.0,61,64,82,70,1.58,71
20260605_185044,front_75_head_lv1_new_001,front,head wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-06-05T18:52:50.025,125.9,0.852,0.852,6,-13,-1,85,-13,249,85,0,0,80,1,250,10,13,-249,-5,249.389,7.41,17.003,70,70,,-179,-2,0,1,0,0,-44.0,15.0,-1021.0,61,64,82,70,1.55,71
20260605_185044,front_75_head_lv1_new_001,front,head wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-06-05T18:52:50.128,126.003,0.955,0.955,6,-10,-4,85,-10,246,85,0,0,80,1,250,10,10,-246,-5,246.254,6.062,14.012,70,70,,-179,-2,0,1,0,0,-26.0,-38.0,-999.0,61,64,82,70,1.56,71
