run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260605_200159,front_75_head_lv2_new_001,front,head wind,Level2,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_logging,2026-06-05T20:04:42.012,162.581,0.0,0.0,6,6,-9,82,6,241,82,0,0,80,1,250,10,-6,-241,-2,241.083,8.537,19.812,75,75,,68,0,5,0,0,0,-68.0,16.0,-1057.0,60,63,79,60,-7.69,96
20260605_200159,front_75_head_lv2_new_001,front,head wind,Level2,75,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-06-05T20:04:42.012,162.581,0.0,0.0,7,1,2,84,76,252,84,75,0,80,2,250,10,-1,-252,-4,252.034,8.537,19.812,75,75,,103,-2,0,0,0,0,-30.0,-17.0,-988.0,60,63,86,70,-7.3,95
20260605_200159,front_75_head_lv2_new_001,front,head wind,Level2,75,drone_3,192.168.0.103,B13,3,front_3,8,2,5,node_segment_1_of_5,2026-06-05T20:04:42.012,162.581,0.0,0.0,8,9,-2,92,159,248,92,150,0,80,3,250,10,-9,-248,-12,248.453,8.537,19.812,74,74,,148,-3,1,0,0,0,-84.0,5.0,-964.0,61,63,89,90,-7.47,75
20260605_200159,front_75_head_lv2_new_001,front,head wind,Level2,75,drone_4,192.168.0.106,B14,4,front_4,1,3,5,node_segment_1_of_5,2026-06-05T20:04:42.012,162.581,0.0,0.0,1,2,8,87,227,258,87,225,0,80,4,250,10,-2,-258,-7,258.103,8.537,19.812,73,73,,-146,-4,0,0,0,0,-17.0,-33.0,-1002.0,56,58,86,80,-6.87,87
20260605_200159,front_75_head_lv2_new_001,front,head wind,Level2,75,drone_5,192.168.0.107,B15,5,front_5,2,4,5,node_segment_1_of_5,2026-06-05T20:04:42.012,162.581,0.0,0.0,2,-11,-9,91,289,241,91,300,0,80,5,250,10,11,-241,-11,241.502,8.537,19.812,73,73,,171,-1,-1,-1,0,0,-43.0,-10.0,-1021.0,57,59,88,70,-7.9,92
20260605_200159,front_75_head_lv2_new_001,front,head wind,Level2,75,drone_1,192.168.0.101,B11,1,front_1,6,0,5,node_segment_1_of_5,2026-06-05T20:04:42.116,162.685,0.105,0.105,6,5,-6,82,5,244,82,0,0,80,1,250,10,-5,-244,-2,244.059,8.762,20.938,75,75,,68,0,4,0,0,0,-14.0,-42.0,-1011.0,60,63,79,60,-7.78,96
20260605_200159,front_75_head_lv2_new_001,front,head wind,Level2,75,drone_2,192.168.0.109,B10,2,front_2,7,1,5,node_segment_1_of_5,2026-06-05T20:04:42.116,162.685,0.105,0.105,7,1,2,84,76,252,84,75,0,80,2,250,10,-1,-252,-4,252.034,8.762,20.938,75,75,,103,-3,0,0,0,0,-60.0,-23.0,-985.0,60,63,86,70,-7.18,95
20260605_200159,front_75_head_lv2_new_001,front,head wind,Level2,75,drone_3,192.168.0.103,B13,3,front_3,8,2,5,node_segment_1_of_5,2026-06-05T20:04:42.116,162.685,0.105,0.105,8,10,-5,91,160,245,91,150,0,80,3,250,10,-10,-245,-11,245.451,8.762,20.938,74,74,,148,-3,1,0,0,0,-65.0,17.0,-1004.0,61,63,88,80,-7.35,75
20260605_200159,front_75_head_lv2_new_001,front,head wind,Level2,75,drone_4,192.168.0.106,B14,4,front_4,1,3,5,node_segment_1_of_5,2026-06-05T20:04:42.116,162.685,0.105,0.105,1,2,8,87,227,258,87,225,0,80,4,250,10,-2,-258,-7,258.103,8.762,20.938,73,73,,-147,-4,0,0,0,0,-49.0,-5.0,-969.0,56,59,85,80,-6.94,88
20260605_200159,front_75_head_lv2_new_001,front,head wind,Level2,75,drone_5,192.168.0.107,B15,5,front_5,2,4,5,node_segment_1_of_5,2026-06-05T20:04:42.116,162.685,0.105,0.105,2,-11,-9,91,289,241,91,300,0,80,5,250,10,11,-241,-11,241.502,8.762,20.938,73,73,,171,-1,-1,-1,0,0,-30.0,-9.0,-956.0,57,59,88,70,-7.92,92
