run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-06-10T21:33:31.456,20.429,0.0,0.0,1,-12,23,78,-12,23,78,0,250,80,6,250,10,12,227,2,227.326,14.582,27.116,55,55,,1,1,0,0,0,0,-19.0,-2.0,-986.0,65,67,77,60,-94.41,264
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_2,192.168.0.109,B10,2,front_2,2,1,0,node_segment_1_of_5,2026-06-10T21:33:31.456,20.429,0.0,0.0,2,-3,-3,75,72,-3,75,75,250,80,7,250,10,3,253,5,253.067,14.582,27.116,52,52,,74,0,1,0,0,0,0.0,-11.0,-1013.0,64,67,76,70,-93.7,315
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-06-10T21:33:31.456,20.429,0.0,0.0,3,5,-10,85,155,-10,85,150,250,80,8,250,10,-5,260,-5,260.096,14.582,27.116,59,59,,173,0,-1,0,0,0,-15.0,31.0,-987.0,66,68,84,70,-93.72,227
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-06-10T21:33:31.456,20.429,0.0,0.0,4,12,-12,81,237,-12,81,225,250,80,1,250,10,-12,262,-1,262.277,14.582,27.116,50,50,,97,-1,2,0,0,0,16.0,-7.0,-1003.0,61,63,83,70,-93.12,313
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_5,192.168.0.107,B15,5,front_5,5,4,0,node_segment_1_of_5,2026-06-10T21:33:31.456,20.429,0.0,0.0,5,14,-4,85,314,-4,85,300,250,80,2,250,10,-14,254,-5,254.435,14.582,27.116,45,45,,111,0,1,0,0,0,12.0,-32.0,-1023.0,63,66,83,70,-94.44,309
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-06-10T21:33:31.564,20.537,0.108,0.108,1,-12,23,78,-12,23,78,0,250,80,6,250,10,12,227,2,227.326,13.087,27.116,55,55,,1,1,0,0,0,0,-27.0,9.0,-978.0,65,67,76,60,-94.35,264
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_2,192.168.0.109,B10,2,front_2,2,1,0,node_segment_1_of_5,2026-06-10T21:33:31.564,20.537,0.108,0.108,2,-3,-3,75,72,-3,75,75,250,80,7,250,10,3,253,5,253.067,13.087,27.116,52,52,,74,0,1,0,0,0,-11.0,-21.0,-994.0,64,67,76,70,-93.76,315
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-06-10T21:33:31.564,20.537,0.108,0.108,3,5,-10,85,155,-10,85,150,250,80,8,250,10,-5,260,-5,260.096,13.087,27.116,59,59,,173,0,0,0,0,0,-7.0,24.0,-996.0,66,68,84,70,-93.78,227
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-06-10T21:33:31.564,20.537,0.108,0.108,4,5,-8,84,230,-8,84,225,250,80,1,250,10,-5,258,-4,258.079,13.087,27.116,50,50,,97,-1,1,0,0,0,10.0,-9.0,-997.0,61,63,82,70,-93.19,313
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_5,192.168.0.107,B15,5,front_5,5,4,0,node_segment_1_of_5,2026-06-10T21:33:31.564,20.537,0.108,0.108,5,14,-4,85,314,-4,85,300,250,80,2,250,10,-14,254,-5,254.435,13.087,27.116,45,45,,112,0,1,0,0,0,-27.0,-9.0,-1018.0,63,66,82,70,-94.53,310
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-06-10T21:33:31.672,20.645,0.215,0.215,1,-12,23,78,-12,23,78,0,250,80,6,250,10,12,227,2,227.326,13.087,27.116,55,55,,1,1,0,0,0,0,0.0,-6.0,-1004.0,65,67,76,60,-94.39,264
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_2,192.168.0.109,B10,2,front_2,2,1,0,node_segment_1_of_5,2026-06-10T21:33:31.672,20.645,0.215,0.215,2,-3,-3,75,72,-3,75,75,250,80,7,250,10,3,253,5,253.067,13.087,27.116,52,52,,74,0,0,0,0,0,26.0,-17.0,-971.0,64,67,76,70,-93.74,315
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-06-10T21:33:31.672,20.645,0.215,0.215,3,5,-10,85,155,-10,85,150,250,80,8,250,10,-5,260,-5,260.096,13.087,27.116,59,59,,173,0,-1,0,0,0,-9.0,23.0,-1013.0,66,68,84,70,-93.77,227
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-06-10T21:33:31.672,20.645,0.215,0.215,4,5,-8,84,230,-8,84,225,250,80,1,250,10,-5,258,-4,258.079,13.087,27.116,50,50,,98,0,0,0,0,0,-35.0,9.0,-1001.0,61,63,81,70,-93.24,314
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_5,192.168.0.107,B15,5,front_5,5,4,0,node_segment_1_of_5,2026-06-10T21:33:31.672,20.645,0.215,0.215,5,14,-4,85,314,-4,85,300,250,80,2,250,10,-14,254,-5,254.435,13.087,27.116,45,45,,111,0,0,0,0,0,-10.0,1.0,-975.0,63,66,83,70,-94.48,310
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-06-10T21:33:31.777,20.75,0.321,0.321,1,-12,25,78,-12,25,78,0,250,80,6,250,10,12,225,2,225.329,12.931,26.038,55,55,,1,0,0,0,0,0,-29.0,-3.0,-1063.0,65,68,75,60,-94.3,265
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_2,192.168.0.109,B10,2,front_2,2,1,0,node_segment_1_of_5,2026-06-10T21:33:31.777,20.75,0.321,0.321,2,-3,-3,75,72,-3,75,75,250,80,7,250,10,3,253,5,253.067,12.931,26.038,52,52,,74,-1,0,0,0,0,0.0,-10.0,-1033.0,64,67,76,70,-93.72,315
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-06-10T21:33:31.777,20.75,0.321,0.321,3,2,-12,84,152,-12,84,150,250,80,8,250,10,-2,262,-4,262.038,12.931,26.038,59,59,,173,0,-1,0,0,0,6.0,12.0,-972.0,66,68,84,70,-93.73,227
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-06-10T21:33:31.777,20.75,0.321,0.321,4,5,-8,84,230,-8,84,225,250,80,1,250,10,-5,258,-4,258.079,12.931,26.038,50,50,,98,0,0,0,0,0,-3.0,-6.0,-1011.0,61,63,81,70,-93.22,314
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_5,192.168.0.107,B15,5,front_5,5,4,0,node_segment_1_of_5,2026-06-10T21:33:31.777,20.75,0.321,0.321,5,13,-1,84,313,-1,84,300,250,80,2,250,10,-13,251,-4,251.368,12.931,26.038,45,45,,111,0,0,0,0,0,19.0,-22.0,-967.0,63,66,82,70,-94.41,310
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-06-10T21:33:31.885,20.858,0.429,0.429,1,-12,25,78,-12,25,78,0,250,80,6,250,10,12,225,2,225.329,14.525,26.038,55,55,,1,-2,0,0,0,0,14.0,-14.0,-1007.0,65,68,75,60,-94.43,265
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_2,192.168.0.109,B10,2,front_2,2,1,0,node_segment_1_of_5,2026-06-10T21:33:31.885,20.858,0.429,0.429,2,-4,-5,74,71,-5,74,75,250,80,7,250,10,4,255,6,255.102,14.525,26.038,52,52,,74,-2,0,0,0,0,15.0,-21.0,-1007.0,64,67,77,70,-93.67,315
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-06-10T21:33:31.885,20.858,0.429,0.429,3,2,-12,84,152,-12,84,150,250,80,8,250,10,-2,262,-4,262.038,14.525,26.038,59,59,,173,-1,-1,0,0,0,1.0,17.0,-959.0,66,68,83,70,-93.77,227
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-06-10T21:33:31.885,20.858,0.429,0.429,4,12,-4,83,237,-4,83,225,250,80,1,250,10,-12,254,-3,254.301,14.525,26.038,50,50,,98,-1,0,0,0,0,-3.0,-2.0,-995.0,61,63,81,70,-93.28,314
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_5,192.168.0.107,B15,5,front_5,5,4,0,node_segment_1_of_5,2026-06-10T21:33:31.885,20.858,0.429,0.429,5,13,-1,84,313,-1,84,300,250,80,2,250,10,-13,251,-4,251.368,14.525,26.038,45,45,,111,-2,0,0,0,0,-6.0,-33.0,-1009.0,63,66,82,70,-94.42,310
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-06-10T21:33:31.993,20.966,0.536,0.536,1,-12,25,78,-12,25,78,0,250,80,6,250,10,12,225,2,225.329,14.362,26.038,55,55,,1,-3,0,0,0,0,-19.0,24.0,-1039.0,65,68,75,60,-94.44,265
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_2,192.168.0.109,B10,2,front_2,2,1,0,node_segment_1_of_5,2026-06-10T21:33:31.993,20.966,0.536,0.536,2,-4,-5,74,71,-5,74,75,250,80,7,250,10,4,255,6,255.102,14.362,26.038,52,52,,74,-1,1,0,0,0,12.0,-23.0,-997.0,64,67,77,70,-93.71,316
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_3,192.168.0.103,B13,3,front_3,3,2,0,node_segment_1_of_5,2026-06-10T21:33:31.993,20.966,0.536,0.536,3,4,-8,84,154,-8,84,150,250,80,8,250,10,-4,258,-4,258.062,14.362,26.038,59,59,,172,-1,-1,1,0,0,-11.0,16.0,-1006.0,66,68,82,70,-93.74,228
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_4,192.168.0.106,B14,4,front_4,4,3,0,node_segment_1_of_5,2026-06-10T21:33:31.993,20.966,0.536,0.536,4,12,-4,83,237,-4,83,225,250,80,1,250,10,-12,254,-3,254.301,14.362,26.038,50,50,,98,-1,1,0,0,0,4.0,-23.0,-972.0,61,63,81,70,-93.21,314
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_5,192.168.0.107,B15,5,front_5,5,4,0,node_segment_1_of_5,2026-06-10T21:33:31.993,20.966,0.536,0.536,5,13,-1,84,313,-1,84,300,250,80,2,250,10,-13,251,-4,251.368,14.362,26.038,45,45,,111,0,2,0,0,0,-34.0,2.0,-933.0,63,66,82,70,-94.3,310
20260610_213311,front_75_side_lv2_new_003,front,side wind,Level2,75,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-06-10T21:33:32.099,21.072,0.643,0.643,1,-12,25,78,-12,25,78,0,250,80,6,250,10,12,225,2,225.329,15.161,28.113,55,55,,0,-1,0,0,0,0,-30.0,34.0,-949.0,65,68,75,60,-94.33,265
