run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260609_195427,front_75_tail_lv1_new_003,front,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_logging,2026-06-09T19:57:52.847,205.466,0.0,0.0,1,-12,13,82,-12,13,82,0,250,80,6,250,10,12,237,-2,237.312,13.415,25.841,73,73,,117,1,0,0,0,0,-6.0,30.0,-987.0,63,66,83,70,-94.27,147
20260609_195427,front_75_tail_lv1_new_003,front,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-06-09T19:57:52.957,205.577,0.111,0.111,1,-12,13,82,-12,13,82,0,250,80,6,250,10,12,237,-2,237.312,13.415,25.841,73,73,,117,1,0,0,0,0,12.0,7.0,-992.0,63,65,83,70,-94.24,148
20260609_195427,front_75_tail_lv1_new_003,front,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-06-09T19:57:53.064,205.683,0.217,0.217,1,-9,16,83,-9,16,83,0,250,80,6,250,10,9,234,-3,234.192,13.278,26.71,73,73,,117,1,0,0,0,0,21.0,-5.0,-979.0,63,65,84,70,-94.23,148
20260609_195427,front_75_tail_lv1_new_003,front,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-06-09T19:57:53.167,205.787,0.321,0.321,1,-9,16,83,-9,16,83,0,250,80,6,250,10,9,234,-3,234.192,13.499,26.71,73,73,,117,0,0,0,0,0,-6.0,13.0,-995.0,63,65,84,70,-94.27,148
20260609_195427,front_75_tail_lv1_new_003,front,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-06-09T19:57:53.274,205.894,0.428,0.428,1,-9,16,83,-9,16,83,0,250,80,6,250,10,9,234,-3,234.192,11.893,22.329,73,73,,117,-2,0,0,0,0,33.0,8.0,-994.0,63,65,83,70,-94.3,148
20260609_195427,front_75_tail_lv1_new_003,front,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-06-09T19:57:53.379,205.998,0.532,0.532,1,-9,16,83,-9,16,83,0,250,80,6,250,10,9,234,-3,234.192,11.893,22.329,73,73,,117,-1,0,0,0,0,57.0,-63.0,-1019.0,63,65,83,70,-94.24,148
20260609_195427,front_75_tail_lv1_new_003,front,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-06-09T19:57:53.485,206.105,0.639,0.639,1,-10,13,85,-10,13,85,0,250,80,6,250,10,10,237,-5,237.264,11.64,21.13,73,73,,117,0,0,0,0,0,-43.0,30.0,-971.0,63,65,83,70,-94.3,148
20260609_195427,front_75_tail_lv1_new_003,front,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-06-09T19:57:53.591,206.21,0.744,0.744,1,-10,13,85,-10,13,85,0,250,80,6,250,10,10,237,-5,237.264,11.64,21.13,73,73,,117,0,0,0,0,0,-12.0,16.0,-1000.0,63,65,84,70,-94.3,148
20260609_195427,front_75_tail_lv1_new_003,front,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-06-09T19:57:53.699,206.319,0.853,0.853,1,-10,13,85,-10,13,85,0,250,80,6,250,10,10,237,-5,237.264,11.765,22.329,73,73,,117,0,0,0,0,0,-16.0,12.0,-994.0,63,65,83,70,-94.28,148
20260609_195427,front_75_tail_lv1_new_003,front,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,1,0,0,node_segment_1_of_5,2026-06-09T19:57:53.806,206.426,0.96,0.96,1,-10,13,85,-10,13,85,0,250,80,6,250,10,10,237,-5,237.264,10.173,18.343,73,73,,117,0,0,0,0,0,-10.0,-12.0,-1002.0,63,65,82,70,-94.27,148
