run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,target_pad,phase,timestamp,elapsed_time,node_elapsed_time,battery,battery_start,battery_drop_from_start
20260606_205017,front_75_tail_lv1_new_prepare,front,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,1,6,node_segment_1_of_5,2026-06-06T20:50:36.390,19.018,0.0,58,58,0
20260606_205017,front_75_tail_lv1_new_prepare,front,tail wind,Level1,75,drone_2,192.168.0.109,B10,2,front_2,2,7,node_segment_1_of_5,2026-06-06T20:50:36.390,19.018,0.0,69,69,0
20260606_205017,front_75_tail_lv1_new_prepare,front,tail wind,Level1,75,drone_3,192.168.0.103,B13,3,front_3,3,8,node_segment_1_of_5,2026-06-06T20:50:36.390,19.018,0.0,58,58,0
20260606_205017,front_75_tail_lv1_new_prepare,front,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,front_4,4,1,node_segment_1_of_5,2026-06-06T20:50:36.390,19.018,0.0,84,84,0
20260606_205017,front_75_tail_lv1_new_prepare,front,tail wind,Level1,75,drone_5,192.168.0.107,B15,5,front_5,5,2,node_segment_1_of_5,2026-06-06T20:50:36.390,19.018,0.0,69,69,0
20260606_205017,front_75_tail_lv1_new_prepare,front,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,1,6,node_segment_1_of_5,2026-06-06T20:50:36.500,19.128,0.11,58,58,0
20260606_205017,front_75_tail_lv1_new_prepare,front,tail wind,Level1,75,drone_2,192.168.0.109,B10,2,front_2,2,7,node_segment_1_of_5,2026-06-06T20:50:36.500,19.128,0.11,69,69,0
20260606_205017,front_75_tail_lv1_new_prepare,front,tail wind,Level1,75,drone_3,192.168.0.103,B13,3,front_3,3,8,node_segment_1_of_5,2026-06-06T20:50:36.500,19.128,0.11,58,58,0
20260606_205017,front_75_tail_lv1_new_prepare,front,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,front_4,4,1,node_segment_1_of_5,2026-06-06T20:50:36.500,19.128,0.11,84,84,0
20260606_205017,front_75_tail_lv1_new_prepare,front,tail wind,Level1,75,drone_5,192.168.0.107,B15,5,front_5,5,2,node_segment_1_of_5,2026-06-06T20:50:36.500,19.128,0.11,69,69,0
20260606_205017,front_75_tail_lv1_new_prepare,front,tail wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,1,6,node_segment_1_of_5,2026-06-06T20:50:36.606,19.234,0.217,58,58,0
20260606_205017,front_75_tail_lv1_new_prepare,front,tail wind,Level1,75,drone_2,192.168.0.109,B10,2,front_2,2,7,node_segment_1_of_5,2026-06-06T20:50:36.606,19.234,0.217,69,69,0
20260606_205017,front_75_tail_lv1_new_prepare,front,tail wind,Level1,75,drone_3,192.168.0.103,B13,3,front_3,3,8,node_segment_1_of_5,2026-06-06T20:50:36.606,19.234,0.217,58,58,0
20260606_205017,front_75_tail_lv1_new_prepare,front,tail wind,Level1,75,drone_4,192.168.0.106,B14,4,front_4,4,1,node_segment_1_of_5,2026-06-06T20:50:36.606,19.234,0.217,84,84,0
