run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260525_191655,vee_50_head_lv2_new_002,vee,head wind,Level2,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-25T19:17:12.335,17.034,0.0,0.0,3,-4,0,84,66.71067811865476,70.71067811865476,84,70.71067811865476,320.71067811865476,80,8,250,10,4.0,250.0,-4,250.064,6.394,14.043,65,65,,18,-4,-1,0,0,0,-68.0,15.0,-982.0,65,67,82,70,-24.46,170
20260525_191655,vee_50_head_lv2_new_002,vee,head wind,Level2,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-25T19:17:12.442,17.141,0.107,0.107,3,-4,0,84,66.71067811865476,70.71067811865476,84,70.71067811865476,320.71067811865476,80,8,250,10,4.0,250.0,-4,250.064,4.53,7.507,65,65,,18,-3,-1,0,0,0,-91.0,0.0,-1013.0,65,67,82,70,-24.49,170
20260525_191655,vee_50_head_lv2_new_002,vee,head wind,Level2,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-25T19:17:12.550,17.249,0.215,0.215,3,-4,0,84,66.71067811865476,70.71067811865476,84,70.71067811865476,320.71067811865476,80,8,250,10,4.0,250.0,-4,250.064,4.505,7.507,65,65,,17,-3,0,0,0,0,-112.0,21.0,-1005.0,65,67,83,70,-24.59,170
20260525_191655,vee_50_head_lv2_new_002,vee,head wind,Level2,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-25T19:17:12.655,17.354,0.32,0.32,3,-4,0,84,66.71067811865476,70.71067811865476,84,70.71067811865476,320.71067811865476,80,8,250,10,4.0,250.0,-4,250.064,5.48,9.399,65,65,,17,-4,0,0,0,0,-126.0,14.0,-1057.0,64,67,83,70,-24.52,170
20260525_191655,vee_50_head_lv2_new_002,vee,head wind,Level2,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-25T19:17:12.763,17.462,0.428,0.428,3,1,-7,83,71.71067811865476,63.710678118654755,83,70.71067811865476,320.71067811865476,80,8,250,10,-1.0,257.0,-3,257.019,5.433,9.399,65,65,,17,-5,0,0,0,0,-72.0,1.0,-993.0,64,67,83,70,-24.64,170
20260525_191655,vee_50_head_lv2_new_002,vee,head wind,Level2,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-25T19:17:12.871,17.571,0.536,0.536,3,1,-7,83,71.71067811865476,63.710678118654755,83,70.71067811865476,320.71067811865476,80,8,250,10,-1.0,257.0,-3,257.019,5.433,9.399,65,65,,17,-5,0,0,0,0,-81.0,4.0,-1049.0,64,67,83,70,-24.58,170
20260525_191655,vee_50_head_lv2_new_002,vee,head wind,Level2,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-25T19:17:12.978,17.677,0.643,0.643,3,1,-7,83,71.71067811865476,63.710678118654755,83,70.71067811865476,320.71067811865476,80,8,250,10,-1.0,257.0,-3,257.019,4.78,11.846,65,65,,17,-5,0,0,0,0,-87.0,0.0,-952.0,64,67,82,70,-24.56,171
20260525_191655,vee_50_head_lv2_new_002,vee,head wind,Level2,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-25T19:17:13.080,17.779,0.745,0.745,3,1,-7,83,71.71067811865476,63.710678118654755,83,70.71067811865476,320.71067811865476,80,8,250,10,-1.0,257.0,-3,257.019,4.409,10.355,65,65,,17,-5,0,0,0,0,-63.0,-22.0,-1003.0,64,67,82,70,-24.63,171
20260525_191655,vee_50_head_lv2_new_002,vee,head wind,Level2,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-25T19:17:13.189,17.888,0.854,0.854,3,2,-7,83,72.71067811865476,63.710678118654755,83,70.71067811865476,320.71067811865476,80,8,250,10,-2.0,257.0,-3,257.025,4.396,10.355,65,65,,17,-5,0,0,0,0,-100.0,7.0,-985.0,64,67,81,70,-24.64,171
20260525_191655,vee_50_head_lv2_new_002,vee,head wind,Level2,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-25T19:17:13.297,17.996,0.962,0.962,3,2,-7,83,72.71067811865476,63.710678118654755,83,70.71067811865476,320.71067811865476,80,8,250,10,-2.0,257.0,-3,257.025,4.396,10.355,65,65,,17,-4,0,0,0,0,-88.0,-5.0,-989.0,64,67,81,70,-24.53,171
20260525_191655,vee_50_head_lv2_new_002,vee,head wind,Level2,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-25T19:17:13.406,18.105,1.071,1.071,3,2,-7,83,72.71067811865476,63.710678118654755,83,70.71067811865476,320.71067811865476,80,8,250,10,-2.0,257.0,-3,257.025,4.156,8.271,65,65,,17,-4,0,0,0,0,-45.0,8.0,-989.0,64,67,80,70,-24.53,171
20260525_191655,vee_50_head_lv2_new_002,vee,head wind,Level2,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-25T19:17:13.514,18.213,1.179,1.179,3,2,-7,83,72.71067811865476,63.710678118654755,83,70.71067811865476,320.71067811865476,80,8,250,10,-2.0,257.0,-3,257.025,4.582,9.053,65,65,,18,-4,0,-1,0,0,-80.0,8.0,-1023.0,64,67,80,70,-24.55,171
20260525_191655,vee_50_head_lv2_new_002,vee,head wind,Level2,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-25T19:17:13.622,18.321,1.287,1.287,3,3,-5,82,73.71067811865476,65.71067811865476,82,70.71067811865476,320.71067811865476,80,8,250,10,-3.0,255.0,-2,255.025,4.743,11.118,65,65,,17,-4,0,-1,0,0,-96.0,-21.0,-950.0,64,66,80,70,-24.63,171
20260525_191655,vee_50_head_lv2_new_002,vee,head wind,Level2,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-25T19:17:13.730,18.429,1.395,1.395,3,3,-5,82,73.71067811865476,65.71067811865476,82,70.71067811865476,320.71067811865476,80,8,250,10,-3.0,255.0,-2,255.025,4.278,9.053,65,65,,17,-4,0,-1,0,0,-114.0,4.0,-1019.0,64,66,80,70,-24.65,171
