run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260525_191829,vee_50_head_lv2_new_003,vee,head wind,Level2,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_logging,2026-05-25T19:18:47.590,17.816,0.0,0.0,1,-16,0,87,-16.0,0.0,87,0.0,250.0,80,6,250,10,16.0,250.0,-7,250.609,7.375,16.241,55,55,,-26,0,-1,0,0,0,-42.0,73.0,-952.0,64,66,82,80,-24.97,253
20260525_191829,vee_50_head_lv2_new_003,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-25T19:18:47.590,17.816,0.0,0.0,5,-2,4,85,33.35533905932738,39.35533905932738,85,35.35533905932738,285.3553390593274,80,2,250,10,2.0,246.0,-5,246.059,7.375,16.241,52,52,,-51,-2,1,0,0,0,-56.0,-3.0,-1004.0,63,66,85,80,-24.25,305
20260525_191829,vee_50_head_lv2_new_003,vee,head wind,Level2,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-25T19:18:47.590,17.816,0.0,0.0,3,3,-5,80,73.71067811865476,65.71067811865476,80,70.71067811865476,320.71067811865476,80,8,250,10,-3.0,255.0,0,255.018,7.375,16.241,57,57,,16,-5,-1,0,0,0,-122.0,21.0,-983.0,65,67,78,70,-24.88,231
20260525_191829,vee_50_head_lv2_new_003,vee,head wind,Level2,drone_4,192.168.0.106,B14,4,vee_4,5,3,0,node_segment_1_of_5,2026-05-25T19:18:47.590,17.816,0.0,0.0,5,1,0,86,107.06601717798213,35.35533905932738,86,106.06601717798213,285.3553390593274,80,2,250,10,-1.0,250.0,-6,250.074,7.375,16.241,58,58,,-12,-2,1,0,0,0,-43.0,-32.0,-1029.0,59,62,80,60,-24.05,229
20260525_191829,vee_50_head_lv2_new_003,vee,head wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-25T19:18:47.590,17.816,0.0,0.0,1,-2,-1,83,139.4213562373095,-1.0,83,141.4213562373095,250.0,80,8,250,10,2.0,251.0,-3,251.026,7.375,16.241,50,50,,13,1,1,0,0,0,35.0,-1.0,-1033.0,62,65,79,80,-25.01,292
20260525_191829,vee_50_head_lv2_new_003,vee,head wind,Level2,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-05-25T19:18:47.697,17.923,0.108,0.108,1,-16,0,87,-16.0,0.0,87,0.0,250.0,80,6,250,10,16.0,250.0,-7,250.609,7.571,16.241,55,55,,-26,0,-2,0,0,0,-56.0,110.0,-998.0,64,66,81,80,-24.98,254
20260525_191829,vee_50_head_lv2_new_003,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-25T19:18:47.697,17.923,0.108,0.108,5,-5,2,84,30.355339059327378,37.35533905932738,84,35.35533905932738,285.3553390593274,80,2,250,10,5.0,248.0,-4,248.083,7.571,16.241,52,52,,-51,-2,0,0,0,0,-53.0,-8.0,-998.0,63,66,86,80,-24.21,305
20260525_191829,vee_50_head_lv2_new_003,vee,head wind,Level2,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-25T19:18:47.697,17.923,0.108,0.108,3,3,-7,80,73.71067811865476,63.710678118654755,80,70.71067811865476,320.71067811865476,80,8,250,10,-3.0,257.0,0,257.018,7.571,16.241,57,57,,16,-6,-1,0,0,0,-52.0,9.0,-993.0,65,67,78,70,-24.73,232
20260525_191829,vee_50_head_lv2_new_003,vee,head wind,Level2,drone_4,192.168.0.106,B14,4,vee_4,5,3,0,node_segment_1_of_5,2026-05-25T19:18:47.697,17.923,0.108,0.108,5,1,0,86,107.06601717798213,35.35533905932738,86,106.06601717798213,285.3553390593274,80,2,250,10,-1.0,250.0,-6,250.074,7.571,16.241,58,58,,-12,-3,2,0,0,0,-6.0,-60.0,-1034.0,60,63,80,60,-23.93,229
20260525_191829,vee_50_head_lv2_new_003,vee,head wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-25T19:18:47.697,17.923,0.108,0.108,1,-2,-1,83,139.4213562373095,-1.0,83,141.4213562373095,250.0,80,8,250,10,2.0,251.0,-3,251.026,7.571,16.241,50,50,,13,2,1,0,0,0,33.0,-47.0,-1016.0,62,65,79,80,-25.13,292
20260525_191829,vee_50_head_lv2_new_003,vee,head wind,Level2,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-05-25T19:18:47.816,18.042,0.226,0.226,1,-16,0,87,-16.0,0.0,87,0.0,250.0,80,6,250,10,16.0,250.0,-7,250.609,6.735,14.003,55,55,,-26,0,-2,0,0,0,21.0,34.0,-1091.0,64,66,79,80,-24.95,254
20260525_191829,vee_50_head_lv2_new_003,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-25T19:18:47.816,18.042,0.226,0.226,5,-5,2,84,30.355339059327378,37.35533905932738,84,35.35533905932738,285.3553390593274,80,2,250,10,5.0,248.0,-4,248.083,6.735,14.003,52,52,,-51,-1,0,0,0,0,-36.0,2.0,-989.0,63,66,85,80,-24.22,306
20260525_191829,vee_50_head_lv2_new_003,vee,head wind,Level2,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-25T19:18:47.816,18.042,0.226,0.226,3,3,-7,80,73.71067811865476,63.710678118654755,80,70.71067811865476,320.71067811865476,80,8,250,10,-3.0,257.0,0,257.018,6.735,14.003,57,57,,17,-5,0,0,0,0,-79.0,6.0,-1036.0,65,67,77,60,-24.74,232
20260525_191829,vee_50_head_lv2_new_003,vee,head wind,Level2,drone_4,192.168.0.106,B14,4,vee_4,5,3,0,node_segment_1_of_5,2026-05-25T19:18:47.816,18.042,0.226,0.226,5,-3,-3,85,103.06601717798213,32.35533905932738,85,106.06601717798213,285.3553390593274,80,2,250,10,3.0,253.0,-5,253.067,6.735,14.003,58,58,,-12,-1,2,0,0,0,-54.0,-59.0,-1008.0,60,63,80,60,-23.87,230
20260525_191829,vee_50_head_lv2_new_003,vee,head wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-25T19:18:47.816,18.042,0.226,0.226,1,-2,-1,83,139.4213562373095,-1.0,83,141.4213562373095,250.0,80,8,250,10,2.0,251.0,-3,251.026,6.735,14.003,50,50,,13,2,1,0,0,0,21.0,-42.0,-1000.0,62,65,81,80,-25.09,292
20260525_191829,vee_50_head_lv2_new_003,vee,head wind,Level2,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-05-25T19:18:47.924,18.15,0.334,0.334,1,-12,1,85,-12.0,1.0,85,0.0,250.0,80,6,250,10,12.0,249.0,-5,249.339,5.12,9.013,55,55,,-27,0,-2,0,0,0,4.0,23.0,-1048.0,64,66,77,80,-25.03,254
20260525_191829,vee_50_head_lv2_new_003,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-25T19:18:47.924,18.15,0.334,0.334,5,-5,2,84,30.355339059327378,37.35533905932738,84,35.35533905932738,285.3553390593274,80,2,250,10,5.0,248.0,-4,248.083,5.12,9.013,52,52,,-52,-2,0,0,0,0,-34.0,0.0,-978.0,63,66,85,80,-24.16,306
20260525_191829,vee_50_head_lv2_new_003,vee,head wind,Level2,drone_3,192.168.0.103,B13,3,vee_3,3,2,0,node_segment_1_of_5,2026-05-25T19:18:47.924,18.15,0.334,0.334,3,3,-7,80,73.71067811865476,63.710678118654755,80,70.71067811865476,320.71067811865476,80,8,250,10,-3.0,257.0,0,257.018,5.12,9.013,57,57,,17,-5,1,0,0,0,-58.0,53.0,-988.0,65,67,78,60,-24.77,232
20260525_191829,vee_50_head_lv2_new_003,vee,head wind,Level2,drone_4,192.168.0.106,B14,4,vee_4,5,3,0,node_segment_1_of_5,2026-05-25T19:18:47.924,18.15,0.334,0.334,5,-3,-3,85,103.06601717798213,32.35533905932738,85,106.06601717798213,285.3553390593274,80,2,250,10,3.0,253.0,-5,253.067,5.12,9.013,58,58,,-12,-3,2,0,0,0,-35.0,-46.0,-953.0,60,63,80,60,-23.92,230
20260525_191829,vee_50_head_lv2_new_003,vee,head wind,Level2,drone_5,192.168.0.107,B15,5,vee_5,1,4,0,node_segment_1_of_5,2026-05-25T19:18:47.924,18.15,0.334,0.334,1,-3,-1,81,138.4213562373095,-1.0,81,141.4213562373095,250.0,80,8,250,10,3.0,251.0,-1,251.02,5.12,9.013,50,50,,13,1,1,0,0,0,28.0,-23.0,-1005.0,61,65,80,80,-25.11,292
20260525_191829,vee_50_head_lv2_new_003,vee,head wind,Level2,drone_1,192.168.0.101,B11,1,vee_1,1,0,0,node_segment_1_of_5,2026-05-25T19:18:48.031,18.256,0.441,0.441,1,-12,1,85,-12.0,1.0,85,0.0,250.0,80,6,250,10,12.0,249.0,-5,249.339,5.071,9.058,55,55,,-27,-1,-1,0,0,0,-7.0,91.0,-1094.0,64,66,76,80,-25.05,254
20260525_191829,vee_50_head_lv2_new_003,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-25T19:18:48.031,18.256,0.441,0.441,5,-5,2,84,30.355339059327378,37.35533905932738,84,35.35533905932738,285.3553390593274,80,2,250,10,5.0,248.0,-4,248.083,5.071,9.058,52,52,,-52,-4,0,0,0,0,-14.0,-5.0,-1005.0,63,66,84,80,-24.25,306
