run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260624_200513,vee_50_side_lv1_new_pre,vee,side wind,Level1,50,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-24T20:05:48.775,35.069,0.0,0.0,5,-15,1,82,126.42135623730951,1.0,82,141.4213562373095,250.0,80,2,250,10,15.0,249.0,-2,249.459,8.965,14.096,43,43,,-2,1,1,0,0,0,46.0,-34.0,-998.0,67,69,80,60,-109.75,75
20260624_200513,vee_50_side_lv1_new_pre,vee,side wind,Level1,50,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-24T20:05:48.883,35.177,0.108,0.108,5,-16,3,80,125.42135623730951,3.0,80,141.4213562373095,250.0,80,2,250,10,16.0,247.0,0,247.518,9.636,15.515,43,43,,-2,1,1,0,0,0,19.0,-32.0,-994.0,67,69,80,50,-109.72,75
20260624_200513,vee_50_side_lv1_new_pre,vee,side wind,Level1,50,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-24T20:05:48.987,35.281,0.212,0.212,5,-16,3,80,125.42135623730951,3.0,80,141.4213562373095,250.0,80,2,250,10,16.0,247.0,0,247.518,9.636,15.515,43,43,,-2,1,1,0,0,0,9.0,-36.0,-1019.0,67,69,80,50,-109.74,75
20260624_200513,vee_50_side_lv1_new_pre,vee,side wind,Level1,50,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-24T20:05:49.093,35.388,0.319,0.319,5,-16,3,80,125.42135623730951,3.0,80,141.4213562373095,250.0,80,2,250,10,16.0,247.0,0,247.518,9.594,15.515,43,43,,-2,1,1,0,0,0,7.0,-23.0,-994.0,67,69,81,50,-109.75,75
20260624_200513,vee_50_side_lv1_new_pre,vee,side wind,Level1,50,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-24T20:05:49.199,35.494,0.425,0.425,5,-16,3,80,125.42135623730951,3.0,80,141.4213562373095,250.0,80,2,250,10,16.0,247.0,0,247.518,9.518,16.871,43,43,,-2,1,1,0,0,0,-12.0,-12.0,-981.0,67,69,81,60,-109.77,76
20260624_200513,vee_50_side_lv1_new_pre,vee,side wind,Level1,50,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-24T20:05:49.303,35.598,0.529,0.529,5,-1,1,81,140.4213562373095,1.0,81,141.4213562373095,250.0,80,2,250,10,1.0,249.0,-1,249.004,5.942,11.701,43,43,,-2,1,1,0,0,0,-7.0,-17.0,-1007.0,67,69,81,60,-109.77,76
20260624_200513,vee_50_side_lv1_new_pre,vee,side wind,Level1,50,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-24T20:05:49.409,35.704,0.635,0.635,5,-1,1,81,140.4213562373095,1.0,81,141.4213562373095,250.0,80,2,250,10,1.0,249.0,-1,249.004,5.942,11.701,43,43,,-2,1,0,0,0,0,12.0,-13.0,-990.0,67,69,82,60,-109.79,76
20260624_200513,vee_50_side_lv1_new_pre,vee,side wind,Level1,50,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-24T20:05:49.515,35.809,0.74,0.74,5,-1,1,81,140.4213562373095,1.0,81,141.4213562373095,250.0,80,2,250,10,1.0,249.0,-1,249.004,5.798,11.078,43,43,,-2,1,0,0,0,0,27.0,8.0,-987.0,67,69,82,60,-109.8,76
20260624_200513,vee_50_side_lv1_new_pre,vee,side wind,Level1,50,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-24T20:05:49.622,35.917,0.848,0.848,5,-1,1,81,140.4213562373095,1.0,81,141.4213562373095,250.0,80,2,250,10,1.0,249.0,-1,249.004,5.614,11.078,43,43,,-2,1,0,0,0,0,3.0,-22.0,-987.0,67,69,81,60,-109.74,76
20260624_200513,vee_50_side_lv1_new_pre,vee,side wind,Level1,50,drone_5,192.168.0.107,B12,5,vee_5,5,4,0,node_segment_1_of_5,2026-06-24T20:05:49.727,36.021,0.952,0.952,5,0,0,82,141.4213562373095,0.0,82,141.4213562373095,250.0,80,2,250,10,0.0,250.0,-2,250.008,5.553,11.078,43,43,,-2,1,0,0,0,0,31.0,-15.0,-1007.0,66,69,81,60,-109.77,76
